blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
15245141,0,0,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659202233,0,0,0,null,null
15250541,0,23.72984864812538622835614629703994,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659274798,0,23.72984864812538622835614629703994,23.72984864812538622835614629703994,0,0
15250802,0,2362737.10694079322105262898048095,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659278089,0,2362760.836789441346438857336627247,2362760.836789441346438857336627247,0,0
15254185,0,27.26003046684964052463012252407918,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659324748,0,2301953.197842572242934018243783274,2301953.197842572242934018243783274,0,0
15256133,0,2282193.769600125376127396142276414,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659350106,0,4560296.79282219378205919507717131,4560296.79282219378205919507717131,0,0
15257068,997.9560125633661992865728541543819,0,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659362324,997.9560125633661992865728541543819,4590277.994430555778043329942698284,4590277.994430555778043329942698284,0.0000005881936554,0
15257262,1196.062020312706364490111083406778,417195.6917288555972526787286805127,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659364712,2211.353933198313886997911745321572,5056836.264454201213163766909926139,5056836.264454201213163766909926139,0.0000023797659479,0
15263928,0,11372.73640965390764331746671164223,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659454499,2137.528036779305830416372619002983,4899385.929533425970871567521647946,4899385.929533425970871567521647946,0.0000023687315885,0
15266091,190.0267300441311048694502699101783,0,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659483462,2356.332015673757456997302085409557,4965345.385130304468767410657167615,4965345.385130304468767410657167615,0.0000028025253867,0
15269961,31.8395861015929722636107726556716,27.85963783889385073065942607371265,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659536249,2499.408403615248935803404065235236,5199774.688891791971425310546047453,5199774.688891791971425310546047453,0.0000028752850967,0
15275140,7174.662484769700077579347238341217,0,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659605827,9677.823816162320299589133078190515,5207581.429338127381532406110725655,5207581.429338127381532406110725655,0.0000429792464848,0
15277838,0,35924.47695212363141981401806089443,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659642575,9483.547346016060178281655191446414,5138965.137326237369885271162058528,5138965.137326237369885271162058528,0.0000423804734216,0
15291642,0,3671.477610550996363386382894266496,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659827967,9909.162967451408768969858665784871,5373261.083061662965531337935454708,5373261.083061662965531337935454708,0.0000423227197664,0
15302112,936.4146129058228887891081249194352,0,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659969034,11271.06237667830375432243165454181,5603973.785831872885736722947761569,5603973.785831872885736722947761569,0.0000503399789508,0
15305108,50560.306694443205941942956993643,0,0,0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660008921,61717.3206746006721929207974669462,5547266.71646901850611779818166105,5547266.71646901850611779818166105,0.0015403930332701,0
