blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
12891319,41741.32039252976739716052925611993,42624.45833928210102066030785767861,0,0,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627160365,41741.45218613201843088952135162614,42624.59013274872199213597652742904,42624.59013274872199213597652742904,30.3000985288054321,0
12891578,158226.9011010997442836587815058639,157343.7631543474106601590029043053,0,0,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627163830,199973.5670232577325296977280189025,199973.5670144464553819300958077325,199973.5670144464553819300958077325,38.4,0
12891820,54873.35688543444808923860828387472,60313.74467849072462689128120233463,0,5440.387793056276537652672918459904,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627167257,254859.3511994909341502580208897911,254859.3511614880142933699157214097,254859.3511614880142933699157214097,38.4,0
12892075,13418.22817814549621813536133819432,15457.5013089006405714939271830514,0,3120.936670543409210531329616673541,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627170741,269904.5298515960852185107747722735,269904.529791547681432731423554348,269904.529791547681432731423554348,38.4,0
12892345,5986.493608746687850850363685055541,7178.173470596632650103053509813851,0,1214.883418255257550236519608552747,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627174473,285406.0345756371616582501064576559,285406.0344228452728223446313602205,285406.0344228452728223446313602205,38.4,0
12892647,13224.2240536446300691439649964471,13224.22405364463006914396499644711,0,0,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627178379,304962.8902281619573975313608643224,304962.8899591733049733420928253052,304962.8899591733049733420928253052,38.4,0
12892911,21374.11373819973234935890975215866,33574.2099654148980864352569346052,0,12531.55950783793798829402008354686,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627181814,326021.8062429475201708293049503671,326022.5563627650268191777754742576,326022.5563627650268191777754742576,38.4,0
12893180,3249.188570397250456101018776512134,66025.48012046773754494555656639607,0,62776.29155007048708884453778988394,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627185375,337516.0562209273367689492418014255,337516.8250530021840533154446825004,337516.8250530021840533154446825004,38.4,0
12893477,482965.3554590995285236402962059388,668539.2473142144811240834661592128,0,227162.3308775705034033833800068904,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627189168,774642.2195782963049503679754010465,786104.665593787962551243053883422,786104.665593787962551243053883422,32.6677241268556125,0
12893637,28424.75234569465237413871689886091,279.1448073430182856010652656058224,0,17.43265360073712883012855020348399,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627191596,786306.9884863378275520916727719041,786395.1591918663187088665559096488,786395.1591918663187088665559096488,38.3557334901055171,0
