blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
11779614,0,311.467789586365951479094184572989,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612306635,0,311.4677895863659514790941845729891,311.4677895863659514790941845729891,0,3
11779853,13.11983180292678251074231375388684,29834.41983828884529179062298534799,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612309681,12.79522841930722715279374236874237,30138.1814175176565270283083028083,30138.1814175176565270283083028083,0.0000022430425607,3.0094344912647141
11780143,0,92346.09386704993947666450001694172,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612313440,12.82342109315134951538956483324951,122550.6807536933045597211580136952,122550.6807536933045597211580136952,0.000000136254817,3.0023252821724742
11780350,0,44299.42519940709329472451343043907,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612316275,12.70809351483506426336523784386453,165451.6476878091283502494866815212,165451.6476878091283502494866815212,0.0000000734165757,3.0017068556406299
11780724,3333.545575932760542562355711142281,0,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612321164,3346.253669471134642341014576995407,165451.6476878326673857647803095304,165451.6476878326673857647803095304,0.0050903898121009,3.4494436513271583
11781126,0,21017.78337377479574758244483015125,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612326427,3337.494023733145044472536139350359,186036.2356051922125115785887366724,186036.2356051922125115785887366724,0.004005174297167,3.3986671393315725
11782184,0,398377.7299520785235833046886300092,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612340550,3332.217986650422532545253637895304,584119.644453432096605519802177616,584119.644453432096605519802177616,0.0004049847757306,3.1267707554357637
11783251,0,292.1143877886912203440967059519037,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612354569,3390.605950131459558831471346832794,594646.6173596886961385899471175484,594646.6173596886961385899471175484,0.0004045873011519,3.1267085302298697
11783911,0,0,0,32662.04123033871334294055889339108,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612363381,3347.560947637718830367727011628087,554435.1716519341731578880108052722,554435.1716519341731578880108052722,0.0004536604855052,3.1341730234378761
11784225,13687.19264342450697983872147904054,0,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612367738,17109.41084822818062322177402429766,566800.1039467019313719795589160297,566800.1039467019313719795589160297,0.0113392878757955,3.6707993299810274
11784560,0,0,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612372353,3442.637127004034526502088109351027,570181.5794015634951518258204660479,570181.5794015634951518258204660479,0.0004536612071814,3.1341731301580272
11786293,10507.32998994411885274549960168262,0,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612395314,14097.02004331535792326454262560076,594536.5943289754135342883604961642,594536.5943289754135342883604961642,0.0069963731689985,3.5269097227349652
11786483,1950.854802108447164809926654112596,0,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612397634,16198.91938550356963276382459790454,600906.6826275023577361754902198044,600906.6826275023577361754902198044,0.0090434373426659,3.5990547230570004
11786971,0,0,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612404419,5591.496050460864348205404217926187,602251.3200855487460570654657293498,602251.3200855487460570654657293498,0.0010726944581957,3.2063182987633241
11788319,0,7178.746538836859538142420531306431,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612422610,5509.761024545562222200303978425403,600626.0246444405338712145107254307,600626.0246444405338712145107254307,0.0010472075063048,3.2038525286200662
11790656,6236.916476459401098025963078195043,0,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612453396,11410.30437828344331993166212352627,563956.7862849386775170959774904872,563956.7862849386775170959774904872,0.0050942272958729,3.4496130300829289
11791437,0,674.6322955633676023778065498275402,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612463658,11822.90762590605362062644889093139,585023.8378690173752651664488305655,585023.8378690173752651664488305655,0.0050824952436044,3.4490950001844257
11792893,0,5706.048662225265973996349654324938,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612482745,11862.82570031361945089928385584612,592704.0275787244570528353981197279,592704.0275787244570528353981197279,0.0049851250307588,3.4447723258651653
11798023,0,0,0,13385.91898870557770345896653550853,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612551029,14.98290076501989687887982192733883,655134.8683173713936274433201193406,655134.8683173713936274433201193406,0.0000000065088744,3.0005082210800179
11798679,0,37317.53399014014470260727798341541,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612560396,15.13808519939382171432101952646138,699237.9190170946784629353263331692,699237.9190170946784629353263331692,0.0000000058326707,3.0004810978983986
11799028,0,0,0,476545.7978618734664077633668106248,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612565091,15.13808520698364098271255921428824,222692.1211552288018744403510622322,222692.1211552288018744403510622322,0.000000057505277,3.0015106142585692
11799115,0,476590.2195801484929063599900103768,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612566137,15.13808521229306783684900816226566,699282.340735382604207654477521557,699282.340735382604207654477521557,0.0000000058319297,3.0004810673371969
11799495,4991.210520874697460446478824523875,0,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612571581,5006.705963300080249558489147271863,715789.949104917693956566092310054,715789.949104917693956566092310054,0.0006088474546898,3.1554368466012477
11799717,0,50324.2709297998961578626383361213,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612574389,5087.972644858724097707372394119562,777732.5423238979750905810465674286,777732.5423238979750905810465674286,0.00053260410077,3.1453791022254909
11802992,0,8593.424820477555837130289592159347,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612617554,4583.063124879153191296267584529028,709146.0126808504442006547937401216,709146.0126808504442006547937401216,0.0005197755667944,3.1436175983483035
11804009,0,997.6841544658377773786256964376162,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612630987,4516.350549085437074527739321289887,699820.8366727082027147297484382915,699820.8366727082027147297484382915,0.0005182950510531,3.1434129141000884
11804700,0,22153.04124148778691623180797474018,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612640379,14.34908521863897092529325791577423,740563.2778007060288207467530305318,740563.2778007060288207467530305318,0.0000000046719652,3.0004305757117218
11805037,0,37904.09956652219053997205022095688,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612644848,14.25843855079151260736321832950274,773789.0583698867191851428485324273,773789.0583698867191851428485324273,0.0000000042254628,3.0004094839369853
11806117,0,7904.504388955717303521037408702553,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612658950,14.25866428344441330354043580861497,781705.8120184358021082253068281702,781705.8120184358021082253068281702,0.0000000041404402,3.0004053432908225
11806477,0,39740.61537146803723421603129138254,0,39503.57374734526279667014184210526,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612663960,13.6265407289091838210878947368421,747050.766395575071167085568618421,747050.766395575071167085568618421,0.0000000041404402,3.0004053432910041
11807116,0,5055.001677032872175230158601715489,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612672190,13.13099438629066134949830069590549,724938.3240627031616976188946431462,724938.3240627031616976188946431462,0.0000000040828989,3.0004025168287634
11807796,0,341117.8541842456550995696450664396,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612680809,13.03668466914395757260150714205376,1060849.509691983061687588540578755,1060849.509691983061687588540578755,0.0000000018793267,3.0002730868998024
11808766,0,1828.479154363330047906988648899394,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612694318,13.63866480051768855351494479825699,1111663.62680350993368511556691167,1111663.62680350993368511556691167,0.0000000018731495,3.000272637723052
11810662,0,14400.70513609807895493046058370582,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612718874,13.49063543173394776826342804205006,1113998.716304308191351125350963474,1113998.716304308191351125350963474,0.0000000018250339,3.0002691133249035
11811888,0,42594.89874415953599698786852852239,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612735005,14.0333265776897288170760258253871,1201580.678715312047308286213523237,1201580.678715312047308286213523237,0.0000000016974262,3.0002595345508217
11811994,0,7060.441878703842994972072109945973,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612736414,14.08136136440719331603944996923986,1212754.020691723164727313170807287,1212754.020691723164727313170807287,0.0000000016777195,3.000258023586063
11812659,611.8957992659392434737483448740236,6549.719418384210669734407655414194,0,34758.09403660264691933270616190593,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612745235,617.0814000445916650237867856368048,1176609.259018351570238298183160796,1176609.259018351570238298183160796,0.0000034229133271,3.0116546082702329
11813589,0,3568.09553621745495212707183387139,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612757699,612.5824057831781513561206407024516,1171598.937619519665042803159181323,1171598.937619519665042803159181323,0.0000034020963817,3.0116191146250042
11814970,0,1135.219732583599852769821313381339,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612776210,625.3709822148370789831212542666054,1197192.985190682304247682292101234,1197192.985190682304247682292101234,0.0000033956477941,3.0116080975331567
11816666,0,25727.44388714908747407604174638575,0,86044.96479430813176689493130786146,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612798881,649.0834120976393429484912921102482,1182028.066173683740488416006203626,1182028.066173683740488416006203626,0.000003752502213,3.0122028200828433
11817760,80371.09405148651313625479537789053,0,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612813881,81024.10220783759519723100877277488,1189175.262404437202721517974075976,1189175.262404437202721517974075976,0.0577713126738944,4.5141044903487413
11818195,0,3000.060077823667952350069973034782,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612819497,81307.75238804031109013321792333686,1196336.303069495308686702004539714,1196336.303069495308686702004539714,0.0574821312090752,4.5103102173861762
11819448,0,0,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612835959,63271.29945734378336811024617738932,1133701.347568919599376660878441557,1133701.347568919599376660878441557,0.0387607074944494,4.2402109954648049
11820063,0,29696.75782191153859448995817345916,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612844490,63130.26589513966586829877932178783,1160868.543916869311517563641812714,1160868.543916869311517563641812714,0.0368031222026563,4.2084872184877534
11824512,0,4837.1906551597048128472956688169,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612903146,67258.47217106030608924670021974907,1241598.70057347156719477808180336,1241598.70057347156719477808180336,0.0365180021573628,4.2037969387469873
11825496,0,5729.149978637331440738112136266856,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612916572,68655.87072840702546072519517388218,1273119.679216024514099683676366217,1273119.679216024514099683676366217,0.0361903188622542,4.198383813465105
11828413,0,0,0,1150.945177081598181603725805839757,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612955546,67112.19238785259668597922760434227,1243331.338943602112268828812225258,1243331.338943602112268828812225258,0.036258063485222,4.1995049158150056
11830245,0,2805.316864489066280105818517735478,0,0,0x272f97b7a56a387ae942350bbc7df5700f8a4576,BAL,Aave interest bearing BAL,Aave v2,1612979927,69905.73281389735666543581538728808,1297882.284678333373849946760124578,1297882.284678333373849946760124578,0.0361019357910417,4.1969195877938126
