blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
13070049,0,0,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629567760,0,0,0,null,null
13070198,427.7813119308112139516811901600342,3254.615954333755438452571149283689,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629569660,427.7813523856690751997326665101713,3254.615994788611797332655124624844,3254.615994788611797332655124624844,0.1934916428425985,0
13070476,0,11719.55555764393547545345128293708,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629573373,427.7822791958420214653924785134427,14974.17247924191724401236156369064,14974.17247924191724401236156369064,0.0091406681088468,0
13071365,0,2721.147371928257342814935778222551,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629585185,422.5584745355300231371127777716327,17512.44327162865008123435124609064,17512.44327162865008123435124609064,0.0065207593350886,0
13071619,0,5043.148496160460023061825613787289,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629588485,422.5586239051705918116766725132903,22555.59191715872955907081437161402,22555.59191715872955907081437161402,0.0039308231453111,0
13071833,0,197760.6945132735019809816558461986,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629591481,422.5587291941709425838444179774824,220316.2865357212214000048274421152,220316.2865357212214000048274421152,0.0000412001666254,0
13072550,0,136870.1824221177136472582664251212,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629601071,422.5587636980248495600808674040602,357186.468992342787827280115161391,357186.468992342787827280115161391,0.0000156748088028,0
13074835,0,300454.0900461086761809029180715176,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629631550,426.8694073130542390137202567935018,661284.2633730606059259452811836107,661284.2633730606059259452811836107,0.0000046669345369,0
13075016,0,109.4153339928081159351213011389876,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629633814,426.8694100825437643728376012076743,661393.6787098229035604096407536974,661393.6787098229035604096407536974,0.0000046653906094,0
13075512,0,2564.896506033855114488936896616513,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629640331,422.4009929613447251603804419849316,657035.1743351104013695929754523102,657035.1743351104013695929754523102,0.0000046290369065,0
13075760,0,7849.547544276058983734093714756133,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629644005,415.8111236104615364709999033698579,654634.3226312153603013319763441324,654634.3226312153603013319763441324,0.0000045186914318,0
13076007,0,0,0,48512.44014160973887767328990848408,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629647490,411.1242853881553649142681835707029,598743.1289309596752583354201692541,598743.1289309596752583354201692541,0.0000052805991413,0
13076100,0,10324.37885954837753817632955244951,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629648677,411.124286875726933069222889814119,609067.5077919956243621999701834584,609067.5077919956243621999701834584,0.0000051030923269,0
13076465,0,12377.4770790706780488230808528602,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629653621,411.1242929666165465997826866120108,621444.9848771571919891970866621128,621444.9848771571919891970866621128,0.0000049018376899,0
13076880,0,0,0,192409.2327777035395785651224670539,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629658658,411.124299048484328360161635564322,429035.7521055355201566246965989261,429035.7521055355201566246965989261,0.0000102843618037,0
13077241,0,3218.87845419343646577891972392884,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629663620,411.1243077267112357577200240921635,432254.6305684071834562102697508053,432254.6305684071834562102697508053,0.0000101317630461,0
13080507,0,21739.05345299348588058782474796279,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629707747,434.7831949886249395844475125608682,478868.4686005322895661197481792217,478868.4686005322895661197481792217,0.0000092327492055,0
13083032,0,38356.06047968127806933026710233883,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629741440,432.1783538254051402583573135484022,514355.5029474649230927984255426942,514355.5029474649230927984255426942,0.0000079071005835,0
13084478,0,45557.0916220178065379152593794518,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629760413,427.8751490540316386044881219417747,554791.1149882321372274956226322989,554791.1149882321372274956226322989,0.0000066618240051,0
13086716,0,19106270.10248142192002524961560431,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629790407,432.2215450688997498623423750270564,19666696.78133637166505250104711225,19666696.78133637166505250104711225,0.0000000054096355,0
13087009,0,6499.013702491791023925540620236035,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629794537,432.2215452430615403879306971103591,19673195.79503903761786738439535343,19673195.79503903761786738439535343,0.0000000054060619,0
13090281,0,0,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629837048,432.2215452430615403879306971103591,19673195.79503903761786738439535343,19673195.79503903761786738439535343,0.0000000054060619,0
13091769,0,0,0,11692.91174703011259246984553196819,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629857491,395.427829171745569580162861752624,17986782.97164134703911540699537416,17986782.97164134703911540699537416,0.0000000054130931,0
13094138,0,4179.304434429125539838176942971477,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629888676,383.4037560869345973586180325375919,17444024.50881456947300434971107024,17444024.50881456947300434971107024,0.0000000054104996,0
13094195,0,1505.298209752794228963580275464146,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629889493,383.4037561174985506092749962796999,17445529.80702435283118618054654954,17445529.80702435283118618054654954,0.000000005409566,0
13094695,0,13729.91456803917710574891807245892,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629896377,383.4037563750066263367439564757937,17459259.72159264951636727353182229,17459259.72159264951636727353182229,0.0000000054010612,0
13099571,0,4134.056809335911949513473842689934,0,0,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,DPI,Aave interest bearing DPI,Aave v2,1629962136,374.9242952212866798016027594358827,17077259.95972286268132036941167381,17077259.95972286268132036941167381,0.0000000053984466,0
