blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
14338029,0,0,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646632976,0,0,0,null,null
14338347,0,3181.896855637906460355938245956447,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646637085,0,3181.896855637906460355938245956447,3181.896855637906460355938245956447,0,0
14339011,0,2156.62425902475745445735555035204,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646647008,0,5275.284150329457785321109746860455,5275.284150329457785321109746860455,0,0
14339825,0,43511.39398101896638527011875492073,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646657934,0,48935.41792269363711985106808184501,48935.41792269363711985106808184501,0,0
14339950,0,16932.98050667870508251852021326864,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646659612,0,66105.46025932460110511480055356919,66105.46025932460110511480055356919,0,0
14340427,28661.58673789921419425626946324576,0,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646665655,28661.58673789921419425626946324576,69234.78148588321551175948837833335,69234.78148588321551175948837833335,2.1326879790879334,0
14340844,0,3239.169013225269284896116038631425,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646671121,28546.8032244056835703032143189434,72196.22971022525060112809502705118,72196.22971022525060112809502705118,1.9456353122625423,0
14341110,0,14115.85387284199809385386435112763,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646674829,27849.38664388220610633903711304887,84547.97575654523896797590596562241,84547.97575654523896797590596562241,1.3502069968529977,0
14341598,0,341415.6505852424548314840353979682,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646681082,27313.94210797121718850894889334054,424337.5048737482895058479089456961,424337.5048737482895058479089456961,0.0515610135280682,0
14342554,0,17441.93288404091724246350276794773,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646693966,27859.89174408698087308585366129959,450249.7750464643457648974176287573,450249.7750464643457648974176287573,0.0476460994934556,0
14343663,0,2099.03339925718468636948139355826,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646708722,28484.10282003666881349573322028863,462434.87456971949259407440966136,462434.87456971949259407440966136,0.0472149402890853,0
14344122,0,14425.85420066505050306781876374725,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646714520,28595.39160128904050993063471054329,478666.7169797249781632170547218545,478666.7169797249781632170547218545,0.0444120835689705,0
14344450,0,2727.000379865485675236077544113535,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646718969,27971.31841806478585682467395941052,470946.5946107881102967856818003322,470946.5946107881102967856818003322,0.0438993475665232,0
14344689,0,3437.523489202990718472223179756707,0,0,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,ENS,Aave interest bearing ENS,Aave v2,1646722204,27831.52874986278281513630482186107,472030.0941767616564868847393337359,472030.0941767616564868847393337359,0.0432623654826476,0
