blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
11576954,721.8970598970449654145110408862139,59541.57835275455327186790828012854,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609616131,721.8970598970449654145110408862139,59541.57835275455327186790828012854,59541.57835275455327186790828012854,0.0007349873502722,4.0606212565965383
11577151,0,100.3952445776674833767185392668161,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609618831,726.0082111634024060387401167079806,59981.05855673177580943378991012787,59981.05855673177580943378991012787,0.0007325289914858,4.0605197897997018
11577469,3011.936221543908325620120302958945,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609622851,3737.963447747067427510850301987199,59982.62953374769313383601263021931,59982.62953374769313383601263021931,0.0194173117654689,4.3115871608833019
11578056,16905.1419914628963148780656495012,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609630696,20607.5172506108423392744344802624,59411.55034521126019415793188142337,59411.55034521126019415793188142337,0.6015608683683065,5.734302263690369
11578516,0,24927.52741964524640859077937528673,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609637012,20729.71264417661046269527149444413,84691.24569925293247734500750371294,84691.24569925293247734500750371294,0.299557107997547,5.2238404879671825
11579318,7575.07361248783250781863564613578,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609647871,28447.2843327840019698840618026018,85273.17300776088404220741351290403,85273.17300776088404220741351290403,0.5564509490054366,5.6680092161097902
11579550,6594.696541103320799856191577828493,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609651319,34684.44395350081920628692906493263,84201.33605715531609936849345046425,84201.33605715531609936849345046425,0.8484020653268346,6.0596141208085907
11582406,10827.88031909009803103543411228554,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609688521,43481.84809059300282366261985424286,84350.27914665440634713922412631087,84350.27914665440634713922412631087,1.3286575125269029,6.5774575772715515
11582634,0,1000528.129155172057883760508645372,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609691858,43881.55439558008747541811907619716,1085653.683710800316738845566159401,1085653.683710800316738845566159401,0.0081686708665935,4.202097388238858
11583236,4510.148375061691042047531992687385,118.456469525798379920955396450946,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609699454,46400.34811789015665163920789168486,1074255.012722287411378682971666613,1074255.012722287411378682971666613,0.0093281972383856,4.2159652430182469
11583327,348.4754904739150766243164268244648,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609700829,46789.8937139158420593666700253735,1075205.862630782211443972189907391,1075205.862630782211443972189907391,0.0094687116297433,4.2175857489559427
11584350,84924.00941818327076180274957806487,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609714520,131472.3905753317765109144656820178,1075636.729296607121981817506698617,1075636.729296607121981817506698617,0.0746978127159749,4.6111375160959055
11584583,221.7943053148759534389150895660262,0,0,59914.14838948393172379466532460996,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609717567,132811.0672403481522095621540010065,1024854.402798133544727357825868143,1024854.402798133544727357825868143,0.0839680779493545,4.6479509161555155
11584687,29977.3328327768343164656702530023,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609719044,162286.5286269417902217670386125567,1020706.089575459564283764674665419,1020706.089575459564283764674665419,0.1263960617772962,4.7949718918845382
11585070,2987.795225850687837834038073724899,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609724343,164544.3267659677972129574054621425,1016113.591589313890959793331040634,1016113.591589313890959793331040634,0.1311146795695954,4.8096748716910877
11585588,18879.54073963012018647972552082818,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609731180,183057.4738566200699533504058850866,1013849.502779704928017698765041478,1013849.502779704928017698765041478,0.163003885850035,4.902784265065678
11585917,2505.81845974363645668082493219385,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609735522,187150.549788523290883700936492503,1022639.357889933559273814032035209,1022639.357889933559273814032035209,0.1674585093418807,4.915036910025711
11586097,82900.86546901070726887016692946668,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609737777,269447.5468947251383027215500412356,1019248.951003480809989623242267019,1019248.951003480809989623242267019,0.3494281730901936,5.3217945624986388
11586330,73897.49350138700392634125093208435,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609740889,343185.4424578991716125459005829161,1018688.953939644038834380494237135,1018688.953939644038834380494237135,0.5674721142088855,5.6844466661323612
11587025,75941.43105670830576983901707148939,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609750498,374056.4096757340269894975872835651,1018206.659282440448032034386277929,1018206.659282440448032034386277929,0.6747957392253438,5.8368393223487777
11587053,0,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609750913,298184.3814044783516798120438700208,1018443.486315535425083000366942553,1018443.486315535425083000366942553,0.4286135629597306,5.4639220658213508
11587595,10012.31596734003890849591873295743,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609758117,309099.5276939199347204013169054692,1021524.668872084322449759394838807,1021524.668872084322449759394838807,0.457792803129002,5.5129322574540504
11587945,4984.52669236121178464955866019758,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609762787,312749.142785511872216051908575437,1017111.413396668542814052726953879,1017111.413396668542814052726953879,0.4727430974367726,5.5374379620602143
11589464,1338.582165604063570665681802301788,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609782565,316375.3709963969725438248006148748,1024544.39287788521731388558937145,1024544.39287788521731388558937145,0.4767753322864672,5.5439807840230186
11589730,18468.46979982837523380256030758571,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609786221,332925.826813977242579083488296399,1018342.990338998777362907382334212,1018342.990338998777362907382334212,0.5344127526722618,5.6346448431880576
11590311,19867.1441173914658493110712643898,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609793892,352366.7558786833108548916070213073,1017087.582511493269755491842164972,1017087.582511493269755491842164972,0.6001269625660009,5.7322340525546791
11591046,11782.26603401574592185260782769669,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609803389,364455.1204580941525562166431656302,1018605.850182126057672639031760312,1018605.850182126057672639031760312,0.6400969643901416,5.7889898887223228
11592137,2579.441622745078332032129333897317,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609818647,371823.9235788253234541822194442864,1031985.771417045106328896735378321,1031985.771417045106328896735378321,0.6490785048035842,5.8014973005857997
11593449,200.3169322855969034513586072932874,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609835478,368392.273400723357061201037802759,1021899.081974772099071460144734099,1021899.081974772099071460144734099,0.6497929496906582,5.8024884877450094
11594925,10010.3463436186403736377789309808,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609854931,375201.3049367368699870887389724961,1021341.993337343525115433316035288,1021341.993337343525115433316035288,0.6747708149908282,5.8368053993153824
11595694,5202.041066853174577655405436906947,0,0,50228.6230630149803055966412372265,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609865599,381753.4577524248260712913475381936,974725.3175377810790278554161280261,974725.3175377810790278554161280261,0.7669577707592667,5.958261691857433
11596072,39988.94057465542168674698795180723,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609870158,419900.7913557450069542168674698795,970021.5088153870671060240963855421,970021.5088153870671060240963855421,0.9369159754926446,6.1643890309884738
11596372,30008.25266490216787996080025857309,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609874103,450141.854941636789304475740280352,970557.8361940125394080538148942374,970557.8361940125394080538148942374,1.075538443310224,6.3189851695410039
11597026,4971.47547994796516404666703182341,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609882623,452425.0196139181327348414306841211,964758.3073514012248825108177685271,964758.3073514012248825108177685271,1.0995783224568941,6.3447583270530187
11597763,5016.729038094424665233567753743605,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609892121,461563.2421051926081395253286738492,973543.3769278908129361803658151542,973543.3769278908129361803658151542,1.1238848158590777,6.3705324463705169
11598532,2383.562991988815436672305126295417,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609903004,462493.0649701277369348518840824872,970472.9421234597422519248000974067,970472.9421234597422519248000974067,1.1355691425557507,6.3828230552810158
11599183,17028.81067082006437813303521520403,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609911714,477840.8317910190715312903357134946,969564.7616543781274557878487905403,969564.7616543781274557878487905403,1.2144590206883197,6.4642027318062934
11599879,90228.7904294204769456135254843433,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609921109,569653.0120049198982197806625775779,972773.9235727657695067304144451009,972773.9235727657695067304144451009,1.7146163112765914,6.9279825061606771
11600193,1146.253745997883790886390233429659,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609925294,573387.6498048853244516227133050389,977192.4367760777400887732655117063,977192.4367760777400887732655117063,1.7214977931480224,6.9338522399296307
11600584,179345.5834883993734975314437336203,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609930219,749548.9806820450853760459651741889,970567.6052975599818786791445227117,970567.6052975599818786791445227117,2.9820742159380195,7.861394965513124
11600732,15049.24684269649338973711731253107,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609932369,766863.4781129935956922705642449031,973500.2118673312513360497068937196,973500.2118673312513360497068937196,3.1026586348603505,7.9386918100178584
11600987,0,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609935872,760388.9574281293815111429542440377,965280.6050005870978856452173428309,965280.6050005870978856452173428309,3.1026617925261011,7.9386938142778381
11601591,126185.2676696394366899853528955963,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609943629,889010.4537286679541425480769230769,968413.5522199967245891483516483517,968413.5522199967245891483516483517,57.8376574796463372,67.0035033094827421
11601999,0,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609948580,788262.1449619438053253434065934066,966629.5428702546198908653846153846,966629.5428702546198908653846153846,9.5715918656310322,15.737445232880426
11603534,349.6876168502530533971826424502546,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609968922,704823.8463426218725704809066060795,969605.3215977548217354668594881024,969605.3215977548217354668594881024,2.642050813814734,7.6345913207778491
11604168,264672.8549006874152209700631771952,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609977476,969216.6155654038904597258956479923,969216.5856044113839982567924981967,969216.5856044113839982567924981967,104,108
11604253,164808.8907911241301527503938304648,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609978632,705205.9777144927360380857379787759,969303.5334655419029632963572776329,969303.5334655419029632963572776329,2.6465637252420904,7.6376941358792729
11604988,41749.65114408597212860871022292753,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609988341,744393.8898814399820955699363051807,965853.3422627796685820584951481573,965853.3422627796685820584951481573,2.9699777377538147,7.8535553309598491
11605198,37887.92322231259950444917474163777,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1609991009,750116.9964688269556486748813631102,969313.9368064100286271632940275739,969313.9368064100286271632940275739,2.9943259586516936,7.8693190348249223
11606629,30439.65230794708113192856727541697,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1610010033,779800.6012220656293394652052700916,968331.8482604480306576986139271471,968331.8482604480306576986139271471,5.3564875792557061,10.6515179265178407
11607062,22146.55158599490021639817263765329,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1610016096,809499.4571728991923885188747295025,977687.8584762836328692834816061555,977687.8584762836328692834816061555,14.892461360447921,21.9866446802300799
11607468,0,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1610021414,760715.5248416651021167883211678832,966820.5830222314330656934306569343,966820.5830222314330656934306569343,3.0954425789318438,7.9341089073205914
11608249,7344.163203339826206602899065450617,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1610031470,767855.6237895237492232093121186793,966546.9808673252545046278022833817,966546.9808673252545046278022833817,3.1556088846494417,7.9721586603819351
11608300,6326.075755970703425242378243294066,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1610032140,773822.0977418711162320905845721984,966094.1605949582066150926206010845,966094.1605949582066150926206010845,3.596385568800358,8.4899819358977058
11609146,2485.816324012850391369052420471436,0,0,0,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,GUSD,Aave interest bearing GUSD,Aave v2,1610043684,775487.2917900570302873838193039842,965066.4927617149932122956914338988,965066.4927617149932122956914338988,4.6439166825746757,9.7791901576000916
