blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
15435842,0,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661800019,0,0,0,null,null
15436152,0,203118.6028731808182615562289205257,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661804180,0,203119.2066408010401584095311698318,203119.2066408010401584095311698318,0,0
15436442,0,30273.14202636903335396365682692514,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661808301,0,233305.9408036370692864861679206472,233305.9408036370692864861679206472,0,0
15437638,101185.565768724297524663291711879,125795.1594391579292462527025583592,0,125795.1609548469970743115337104772,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661824305,101142.7615707472371849530898556072,232563.2353632480674969965971771692,232563.2353632480674969965971771692,0.8511380522526419,1.0872608627575191
15437882,7565.555427964872193315861686120608,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661828083,108440.0668266463266687417468346124,231946.0912172313278196960106676223,231946.0912172313278196960106676223,0.9468934072707673,1.1688067931793732
15438074,101138.5012875504654907116182969578,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661830999,209863.0565855135201730578310683922,232554.3354683704104678033904902119,232554.3354683704104678033904902119,33.2314020198975341,40.4097142753514579
15438237,0,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661833430,108419.8790953386014725806003481498,231902.1886403053097434171523400011,231902.1886403053097434171523400011,0.9469003332264356,1.1688104334567231
15439375,10168.85445686412667394801237021643,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661848754,119489.2362173987630856782658033401,233826.9364475051731551054273354624,233826.9364475051731551054273354624,1.0777702734580847,1.2775392559493994
15441144,0,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661873385,17724.55244090279860129719528928633,232894.1751560158950785088237073479,232894.1751560158950785088237073479,0.0776638251470789,0.1902640160459517
15441638,65211.37163235883575131844378795579,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661880374,82840.14828047882272845193355800191,231746.1131590130401776443807499653,231746.1131590130401776443807499653,0.1529518607593283,0.893651970118928
15449063,1420.539515056630478320481653901417,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661982619,84819.50289619426929688274068011031,233307.0930567699625346749787398413,233307.0930567699625346749787398413,0.1578504455231684,0.9088825990769734
15449144,768.7602667038219933505654678216849,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1661983751,85049.09807480858170766220371914817,231824.0236888950087323550261367121,231824.0236888950087323550261367121,0.1605630443690777,0.9171730422213598
15451554,30402.80096229155824846639201148886,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1662016994,115896.6588869043047832130523618908,233035.5790903433203447421806850707,233035.5790903433203447421806850707,0.2682559899059513,1.2433365247620383
15455015,6050.98899248903558391407970555405,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1662064966,121385.0665272131278345794684809048,231903.3235058367135080745509802121,231903.3235058367135080745509802121,0.297455050280458,11.3085740279688782
15467962,0,5.621371426213926504550376094685027,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1662244096,123022.7177097733152562742413963208,235033.6217453479689248722373086066,235033.6217453479689248722373086066,0.2974530201248222,11.3085650968415185
15470512,51.1966602192941103163810982096097,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1662278887,123299.3374066026482401967082763783,235463.5084175972355068771723513555,235463.5084175972355068771723513555,0.2996669394175016,11.3091130141977954
15479578,109773.8780449095911588705589942875,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1662405207,121893.7575152801361368859556812949,232776.9515336576013382504613798697,232776.9515336576013382504613798697,0.2996699454230386,11.3091261461134381
15481435,66791.79702788389339030820536934,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1662431205,189277.3930903705308502126001927924,233906.5842699668753945795701715654,233906.5842699668753945795701715654,2.2143530830982358,15.450296428149128
15500833,44663.47895397548949699930599484346,0,0,0,0xce1871f791548600cb59efbeffc9c38719142079,LUSD,Aave interest bearing LUSD,Aave v2,1662698810,189514.2580570871672236791596411132,234187.7573984866779502322143029605,234187.7573984866779502322143029605,2.2189584436171823,15.4652356998581343
