blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
12895389,0,0,0,0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627215456,0,0,0,null,null
12901875,0,98.91841614103410785905245041613699,0,0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627303316,0,98.91841614103410785905245041613699,98.91841614103410785905245041613699,0,0
12902856,0,0,0,9.891841614103410785905245041613699,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627316553,0,89.02657452693069707314720537452329,89.02657452693069707314720537452329,0,0
12903058,0,10005451.33125744735129413714558012,0,0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627319463,0,10005541.38031942866832029879281443,10005541.38031942866832029879281443,0,0
12903907,9998.239110969642189086540542698818,0,0,0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627330984,9998.239110969642189086540542698818,9998329.095121640915866242321563702,9998329.095121640915866242321563702,0.000003999928001,0
12904309,1236132.265370002753955925553125025,0,0,0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627336548,1246021.326674920765468062643701274,9889147.127665086809964595429275624,9889147.127665086809964595429275624,0.0635028572268994,0
12907805,1499359.481379871459167355169975332,0,0,0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627385118,2758832.311524195196149418020959427,9995830.703177766394502768422977775,9995830.703177766394502768422977775,0.304700253115084,0
12921535,2317310.849594059591914549272735842,0,0,0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627573058,5098298.113043686221512325502330632,10075569.47804047045211128639474517,10075569.47804047045211128639474517,1.0241680873934819,0
12927274,35.42277483564090457675040258908296,0,0,0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627652266,5051231.408017496424994905482078819,9982204.81897399383589429355848515,9982204.81897399383589429355848515,1.0242396090549948,0
12942670,3995.929734195053226749886964249577,0,0,0,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,PAX,Aave interest bearing PAX,Aave v2,1627862626,5060138.925514097638693024021150282,9991170.608900529889219038198776098,9991170.608900529889219038198776098,1.0260112355019296,0
