blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
12301900,0,0,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619253613,0,0,0,null,null
12315865,0,1387.691239397169498741450801603206,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619439364,0,1387.691239397169498741450801603206,1387.691239397169498741450801603206,0,0
12323756,0,7677047.21503065558279109737267148,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619544062,0,7678517.341501166449308188175101117,7678517.341501166449308188175101117,0,0
12325806,0,8508.077333509912576418338780512949,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619571457,0,7767854.076628137570600506648563023,7767854.076628137570600506648563023,0,0
12329228,15061.74538311312028958102595964235,0,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619616640,15061.74538311312028958102595964235,7540650.527239735423556441522223688,7540650.527239735423556441522223688,0.000022691039161,0
12331758,1216.650405123793317607550211358687,0,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619650934,16104.79514679753745244496736252445,7453736.094045971251120692711271284,7453736.094045971251120692711271284,0.0000265511780669,0
12337142,0,0,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619723078,14788.74160116428720074647887323943,7403967.895302853771163873239436617,7403967.895302853771163873239436617,0.000022691060684,0
12343809,803.5486418769333093477803841319,0,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619812321,16874.53943297269482449695051130691,8045920.629295973385468126657287112,8045920.629295973385468126657287112,0.0000250169164391,0
12343880,0,803.5486418769333093477803841319,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619813450,16874.5395438348971467630401132299,8046724.178048712520863175807104598,8046724.178048712520863175807104598,0.0000250119206208,0
12346095,0,29744.72292401761419932689831246921,0,29744.72292418510703177036556564345,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619842409,17672.78575521125337766181738964767,8427371.197353689022366846317058112,8427371.197353689022366846317058112,0.0000250119290314,0
12349869,70.26995936589018836615657245729842,0,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1619892727,17215.64638173046031116311220327342,8175870.585212150411465915707200029,8175870.585212150411465915707200029,0.0000252173856198,0
12366429,0,27501.33752650989756966989758162651,0,27501.33752658589082148103982305036,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1620113437,16448.44162466979332441191440137122,7811507.859017826798044373103779593,7811507.859017826798044373103779593,0.000025217450517,0
12368171,12259.23529725635464130755674761837,0,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1620136681,28415.47493073898813207005155045281,7672737.554495745353742211633983376,7672737.554495745353742211633983376,0.000078006458456,0
12424681,0,0,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1620890440,10518.98118665716669677389308108503,6165028.463927590640247636622866094,6165028.463927590640247636622866094,0.0000165576460401,0
12445169,0,0,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1621164156,9294.695024938037960847039653509802,5786131.081744332535078294677386073,5786131.081744332535078294677386073,0.000014676252065,0
12450787,5288.54938262251027794370849291964,0,0,0,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,renFIL,Aave interest bearing RENFIL,Aave v2,1621239673,13795.82582193074944043427638203913,5295945.692994941394296145210443203,5295945.692994941394296145210443203,0.0000385948865645,0
