blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
14289297,0,0,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1645978932,0,0,0,null,null
14289519,0,279.40884367870085117443833796006,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1645982119,0,279.4088436787008483803499011730514,279.4088436787008483803499011730514,0,0
14289742,0,18898.41479712098380200059313311266,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1645985397,0,19175.0300073681558481511350262443,19175.0300073681558481511350262443,0,0
14291398,0,89114.98828883523077487835393897541,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646007313,0,107162.4924804363430727379873985907,107162.4924804363430727379873985907,0,0
14291966,0,117.6243831815432658264480157549234,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646015605,0,109590.6680342226706619321948955117,109590.6680342226706619321948955117,0,0
14292302,0,549128.2367266241844635351384775637,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646020098,0,656433.8954989206892180712969843211,656433.8954989206892180712969843211,0,0
14292858,0,798194.0258267736755692776619807869,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646027942,0,1454627.921325694364782140603830702,1454627.921325694364782140603830702,0,0
14293688,0,2150657.789759546914712354866840816,0,342175.35478357289622085347093696,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646038774,0,3278717.241028935457270520263962949,3278717.241028935457270520263962949,0,0
14294165,0,55358684.48084970998990351321519989,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646045060,0,58637401.72187864544717140136104912,58637401.72187864544717140136104912,0,0
14294481,0,84767.03671301800435477282614322597,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646049213,0,58722168.75859166345152354206907863,58722168.75859166345152354206907863,0,0
14294773,0,316105.6501870334120511710469701008,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646052944,0,59045549.54806567076945737919871485,59045549.54806567076945737919871485,0,0
14295028,0,1316.059056859895754695590272834462,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646056484,0,59046865.60712253066520681055276025,59046865.60712253066520681055276025,0,0
14295497,0,6331230.203926372539499567008940721,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646062813,0,68899439.05114905972869778655364753,68899439.05114905972869778655364753,0,0
14295803,0,608624.9462674540463185178769081983,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646066787,0,70215067.20426461019640970553738742,70215067.20426461019640970553738742,0,0
14296030,0,4759.804897742091153789691852364594,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646069943,0,70219827.00916235228756067752115521,70219827.00916235228756067752115521,0,0
14296455,0,67624.99402971711625792617611030777,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646075351,0,70287452.00319206940381578598918095,70287452.00319206940381578598918095,0,0
14296886,0,1690.624850742927906448154402757694,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646081171,0,70289142.62804281233171941643549914,70289142.62804281233171941643549914,0,0
14298261,0,60491.00060472425914544534130642905,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646099493,0,73403958.61348853574489420756338465,73403958.61348853574489420756338465,0,0
14298590,0,27064380.04166773375795191414749286,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646104034,0,99731588.07744169954608922275807773,99731588.07744169954608922275807773,0,0
14299037,0,2328510.341025362643435198622660259,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646110305,0,102060098.418467062189524421380738,102060098.418467062189524421380738,0,0
14299080,0,5821275.852563406608587996556650648,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646110916,0,107881374.2710304687981095072994624,107881374.2710304687981095072994624,0,0
14299853,0,192797.0771944908103934014653243596,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646121353,0,108074171.3482249596084999981268604,108074171.3482249596084999981268604,0,0
14300106,0,17686.83848667151154665086190167796,0,0,0x1982b2f5814301d4e9a8b0201555376e62f82428,stETH,Aave interest bearing STETH,Aave v2,1646124515,0,108091858.1867116311200437383508358,108091858.1867116311200437383508358,0,0
