blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
11367197,0,0,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1606832623,0,0,0,null,null
11373612,0,69.33035703182580732424387096774192,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1606919287,0,69.33035703182580732424387096774192,69.33035703182580732424387096774192,0,0
11373864,5.05663812687753063879932135165143,0,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1606922476,5.05663812687753063879932135165143,68.19214902505540612195774945312072,68.19214902505540612195774945312072,0.0219945452381144,0
11374379,10.0265377855887521968365553602812,0,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1606929016,15.03981053307625628535848857644992,67.60728973559999331315664323374344,67.60728973559999331315664323374344,0.1979509860397071,0
11379386,0,0,0,2.45695582561282672006736082829709,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1606995421,15.17708361689040099951428774806372,65.76616448884547123306197082882859,65.76616448884547123306197082882859,0.2130255112489363,0
11379522,0,0,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1606997152,13.14403618212259711163325183374084,65.71870610544163686991628361858194,65.71870610544163686991628361858194,0.1600071812412652,0
11379908,0,0,0,15.16577017114914425427872860635698,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607002211,13.144057268254196341079706601467,50.55295702041056283661437652811738,50.55295702041056283661437652811738,0.2704118680714289,0
11380605,0,4426.468958375855912195406387285158,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607011064,13.27882433074603190410696726374306,4495.518422806636816018951778875851,4495.518422806636816018951778875851,0.0000348995380865,0
11382257,171.5424767999999999159052031485346,0,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607033090,144.2090477073680966734485008399116,4455.690958148457383983819727966834,4455.690958148457383983819727966834,0.0041900083382439,0
11383355,0,2.35435835247215777561291487561701,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607047812,143.3218047871079960702610251666918,4430.628541083653839830875276060447,4430.628541083653839830875276060447,0.0041855626466907,0
11383798,0,0,0,0.4986238750583819612590799031476998,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607053857,142.0557308860577069814696472661602,4390.989383147728017576095057819891,4390.989383147728017576095057819891,0.0041865158054079,0
11383946,0,78.38823579012802452654931349083668,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607055634,142.9913308499554891863903157787462,4498.296931835543282625819049357229,4498.296931835543282625819049357229,0.0040418776991961,0
11386920,0,659.71949790235976073935550295858,0,659.7194980498944983664002366863907,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607095131,144.0158508729378951240125443786983,4530.518099119680101565698106508877,4530.518099119680101565698106508877,0.0040418932681979,0
11387478,0,1661.445329659376328817720774193549,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607102470,142.8591844771573670004168445747801,6155.57486602013051853680206451613,6155.57486602013051853680206451613,0.0021544632432725,0
11388940,1103.768518518518518518518518518519,0,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607122122,1246.704770429795177733864814814815,6158.89122883362639426711212962963,6158.89122883362639426711212962963,0.163901212194964,0
11389559,33.36995579123521641557548411230481,0,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607130506,1275.8164985706758673669712753764,6137.841832363429753708130752667443,6137.841832363429753708130752667443,0.1728243904635756,0
11389813,0,4802.99242179911478312949458971538,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607133932,1255.81796898904478915453154711037,10940.83564352816256325707356280869,10940.83564352816256325707356280869,0.0527002152650885,0
11390999,0,151.3632018330472279570380331635798,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607149483,1267.239580028729771185406281891203,11191.6776218378936734507954428587,11191.6776218378936734507954428587,0.0512846109935726,0
11391869,1366.61433425110245312126041626596,212.8509512426610297913626061456536,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607161094,2635.763453666420710735665328538156,11421.36957564824247352194765043776,11421.36957564824247352194765043776,0.2130278997609455,0
11392590,0,10018.02155132646583819983990582696,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607170658,2611.180706595964018624271336080048,21332.83796963672601804755032371984,21332.83796963672601804755032371984,0.0599289375241915,0
11393448,0,0,0,10116.848188525602298187611526128,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607182134,2636.945003416477129112517943206807,11426.4369631574311906232136804676,11426.4369631574311906232136804676,0.2130298587952145,0
11393810,8789.491959773140480625790252713394,0,0,0,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607187261,11426.4490701268609226741539011421,11426.44907008745065043409124258618,11426.44907008745065043409124258618,83.2,0
11394085,0,3609.138413030117044007511054347528,0,2022.106881577046232230591957022366,0x6c5024cd4f8a59110119c56f8933403a539555eb,sUSD,Aave interest bearing SUSD,Aave v2,1607190588,9405.105373191432914294319333875236,13014.24377445878998344866656334844,13014.24377445878998344866656334844,2.0890529459889151,0
