blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
14386651,0,0,0,0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647286566,0,0,0,null,null
14407061,0,5008304.79299297945260471354231981,0,0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647561418,0,5008304.79299297945260471354231981,5008304.79299297945260471354231981,0,0
14407524,687.820612503748575705931610756747,0,0,0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647567940,687.820612503748575705931610756747,4958431.970375017908399208124779152,4958431.970375017908399208124779152,0.0000000769700283,0.00034679341
14408546,198337.2788150007163359683249911661,0,0,0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647581569,199025.0994304795240938992673469623,4958431.970377001281187358131942511,4958431.970377001281187358131942511,0.0064444665266932,0.1003467934114398
14408902,100177.7113322395944730065618932376,0,0,0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647586335,301228.0143812768400446366471487539,5008885.627593157942924536438215164,5008885.627593157942924536438215164,0.0144666668099062,0.1503468220165575
14408999,3576344.294560953522686334259588582,0,0,0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647587595,3877572.345132430358615846806055687,5008885.663782356161696089941588785,5008885.663782356161696089941588785,2.3971630420243198,1.935346804364272
14409617,400710.8453289583778920262475729504,0,0,0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647595572,4278321.155497874969312798898899683,5008923.628670579381729301187039781,5008923.628670579381729301187039781,16.6061418410693028,22.3024346548859294
14410028,0,0,0,0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647601599,3777631.312547008163394237878925745,5009122.338690363662696066316146469,5009122.338690363662696066316146469,2.2749709350561012,1.885375847417474
14410525,701243.9793256771613110459332526632,0,0,0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647608009,1473391.722296138949089179990291056,5009266.16337571654963348345275993,5009266.16337571654963348345275993,0.346057467504648,0.7353331170129716
14411278,251476.7844225869062851097630150605,0,0,0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647618051,1730949.784042725683861153317940291,5029924.782700609925473807015059456,5029924.782700609925473807015059456,0.4737027945969462,0.8603258781169659
14411549,404485.9478121785143136615290072624,0,0,0,0xc2e2152647f4c26028482efaf64b2aa28779efc4,UST,Aave interest bearing UST,Aave v2,1647621812,1749220.60683494875654085236180593,5083010.100756842840963465608021417,5083010.100756842840963465608021417,0.4737041776834835,0.8603271340777547
