blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
11857410,0,2752287.959549468479258308871308531,0,0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613339987,0,2752287.959549468479258308871308531,2752287.959549468479258308871308531,0,0
11857686,0,3988147.047848932615858295227791255,0,17078.72798237242038229160754346913,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613343515,0,6756953.09990931595282068988164163,6756953.09990931595282068988164163,0,0
11857937,0,34719247.4981702123086017645286323,0,5085699.883975479434101746069887652,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613347147,0,35989426.35820026598707600900623948,35989426.35820026598707600900623948,0,0
11858178,0,8179386.611369542548772622743524814,0,4236370.306242950110969401319168849,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613350348,0,39932442.66332685842487923043059545,39932442.66332685842487923043059545,0,0
11858450,0,111232.5624448728470319974227747592,0,2489028.609089106909568322638581316,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613354083,0,35781987.44336054165541773746353461,35781987.44336054165541773746353461,0,0
11858732,0,10995854.12980022276632401329891922,0,725865.1738868925633642189388963477,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613357652,0,43166530.52915230599923374538987436,43166530.52915230599923374538987436,0,0
11858964,0,317399.890664406630019317732588333,0,1763.109924547397305210165903025981,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613360942,0,46263337.35046502646009873039073971,46263337.35046502646009873039073971,0,0
11859267,0,4493391.811762742795265634424490659,0,0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613364900,0,48528241.47679740660255253433505269,48528241.47679740660255253433505269,0,0
11859543,0,1950731.404199092245034521345738109,0,8878.271794928222507375465513959171,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613368387,0,51398440.50487423368472849898294513,51398440.50487423368472849898294513,0,0
11859845,0,36038406.94428270336581758839785085,0,0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613372139,0,92484275.1723050767986306915560953,92484275.1723050767986306915560953,0,0
11860122,0,17509066.22732692032025925699408254,0,214071.9244579962220962853756396703,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613375881,0,109779269.4751740008967936631745382,109779269.4751740008967936631745382,0,0
11860418,1109.425440988595043794312455001899,616729.3497417185574284936578933554,0,0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613379580,1109.425440988595043794312455001899,113328183.5469916390854000865406375,113328183.5469916390854000865406375,0.0000000009689899,0
11860675,0,1058739.752597456707551721261369488,0,0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613383052,1137.858912839133694462249736440654,117293614.8674767195531110036910056,117293614.8674767195531110036910056,0.0000000009515398,0
11860943,0,48259.6257304006035597510942076589,0,0,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,xSUSHI,Aave interest bearing XSUSHI,Aave v2,1613386731,1162.303783118854778920399317737005,119861718.6880567018050544312018456,119861718.6880567018050544312018456,0.0000000009507738,0
