blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
11362821,0,0,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1606774830,0,0,0,null,null
11373651,0,5.052170878834007331592401433691756,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1606919783,0,5.052170878834007331592401433691756,5.052170878834007331592401433691756,0,0
11374001,3.213524445685350767428236672524897,0,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1606924308,3.21352446311492308365363644400703,5.072117506954639453940505927760984,5.072117506954639453940505927760984,54.2978067965551508,110.1272599614402226
11374246,0,3.236043948485119201490773286467487,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1606927258,0.2941704750176542888642355008787346,8.339361876529624506940099589923843,8.339361876529624506940099589923843,0.0154848868465931,0.7838875153805972
11379528,0,0,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1606997301,0.1502273886384705256723716381418093,8.510101275260408459657701711491442,8.510101275260408459657701711491442,0.0038779686304972,0.3922851565728042
11380040,0,0,0,2.224295938079203785471277506112469,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1607003775,0.1510786172900344980790525672371638,6.347210464909715184323429095354523,6.347210464909715184323429095354523,0.0070504318114073,0.5289414335587722
11380474,0,156207.8007946999286851688276650367,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1607009338,0.1475352218174937351390953545232274,156213.9991341320681724282623594132,156213.9991341320681724282623594132,0.0000000000111001,0.0000209876227675
11380949,0,33302.82861723601090431659730205804,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1607015859,0.1456086364106022006535482214950005,187476.9107195718346195630712251779,187476.9107195718346195630712251779,0.0000000000075068,0.0000172594452478
11381448,0,4040.150970560600194756706321395962,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1607022120,0.1477906788248737457125785598584424,194326.5280810426294966870765214458,194326.5280810426294966870765214458,0.0000000000071979,0.0000169006122821
11381931,0,14673.63653698778830633664887772657,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1607028714,0.1451976251111616398906938366470632,205590.6185626637557122930529847885,205590.6185626637557122930529847885,0.0000000000062071,0.0000156943634584
11382052,252.875089849494092559956441347406,0,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1607030306,253.0214211129536390236834861481587,207195.778488137181085590020166047,207195.778488137181085590020166047,0.0000185578768867,0.0271371274452691
11382315,0,81303.9544978338461816796556180497,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1607033746,254.8508592397290562011970527502872,290420.9650406360409677209202852059,290420.9650406360409677209202852059,0.0000095827859875,0.019500494486536
11382777,0,2971.916323347268395670181708668377,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1607039855,258.1026576201101187542113873844841,297098.5327641595119226916014934093,297098.5327641595119226916014934093,0.0000093920295856,0.0193054289444542
11383027,0,3730.067860944290807279558474523917,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1607043555,261.378554427026601842930880480512,304627.5972223868740118342264033805,304627.5972223868740118342264033805,0.0000091617181443,0.0190672558020413
11383046,3170.048021093489757197013371702192,0,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1607043785,3431.426575774951691048320884510629,304627.5972226413093136151418494505,304627.5972226413093136151418494505,0.0015790156857794,0.2503185023331188
11383528,0,3154.190327322936621751067724222087,0,0,0x5165d24277cd063f5ac44efd447b27025e888f37,YFI,Aave interest bearing YFI,Aave v2,1607049979,3377.901565618260470024405125076266,303029.960569692124955222696766321,303029.960569692124955222696766321,0.0015463163721632,0.2477130614241551
