,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,15245141,0.0,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659202233,0.0,0.0,0.0,,
1,15250541,0.0,23.729848648125383,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659274798,0.0,23.729848648125383,23.729848648125383,0.0,0.0
2,15250802,0.0,2362737.106940793,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659278089,0.0,2362760.8367894413,2362760.8367894413,0.0,0.0
3,15254185,0.0,27.26003046684964,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659324748,0.0,2301953.197842572,2301953.197842572,0.0,0.0
4,15256133,0.0,2282193.769600125,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659350106,0.0,4560296.792822193,4560296.792822193,0.0,0.0
5,15257068,997.9560125633662,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659362324,997.9560125633662,4590277.994430556,4590277.994430556,5.881936554e-07,0.0
6,15257262,1196.0620203127064,417195.6917288556,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659364712,2211.353933198314,5056836.264454201,5056836.264454201,2.3797659479e-06,0.0
7,15263928,0.0,11372.736409653908,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659454499,2137.5280367793057,4899385.929533426,4899385.929533426,2.3687315885e-06,0.0
8,15266091,190.0267300441311,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659483462,2356.3320156737573,4965345.385130304,4965345.385130304,2.8025253867e-06,0.0
9,15269961,31.839586101592968,27.85963783889385,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659536249,2499.408403615249,5199774.688891792,5199774.688891792,2.8752850967e-06,0.0
10,15275140,7174.6624847697,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659605827,9677.82381616232,5207581.429338127,5207581.429338127,4.29792464848e-05,0.0
11,15277838,0.0,35924.47695212363,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659642575,9483.547346016061,5138965.137326237,5138965.137326237,4.23804734216e-05,0.0
12,15291642,0.0,3671.477610550996,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659827967,9909.162967451408,5373261.083061663,5373261.083061663,4.23227197664e-05,0.0
13,15302112,936.4146129058228,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1659969034,11271.062376678305,5603973.785831872,5603973.785831872,5.03399789508e-05,0.0
14,15305108,50560.30669444321,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660008921,61717.32067460067,5547266.716469019,5547266.716469019,0.0015403930332701,0.0
15,15311276,7891.879284687912,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660092233,65692.30455427953,5195185.437994137,5195185.437994137,0.0019897678095575,0.0
16,15317375,218.6321042526773,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660175329,73015.08881151721,5756978.066982923,5756978.066982923,0.0020017581209322,0.0
17,15319224,0.0,19020.0509697176,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660200279,74579.956317993,5899373.250278292,5899373.250278292,0.00198887740219,0.0
18,15324602,87.54824433999879,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660273762,73182.73852890193,5781900.132538067,5781900.132538067,0.0019936625684474,0.0
19,15325454,483.7515036846535,15289.84482844356,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660285994,73182.7944362531,5797190.033273848,5797190.033273848,0.0019831630261144,0.0
20,15325792,148832.01537799794,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660290594,222014.83077647004,5797190.054236065,5797190.054236065,0.0182517457202412,0.0
21,15325935,39396.70995299946,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660292618,261411.6256154453,5797190.139122028,5797190.139122028,0.0253040606144448,0.0
22,15328272,25909.77618795098,0.0,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660325277,283792.9568766116,5718901.9744659,5718901.9744659,0.0306445631139266,0.0
23,15329879,0.0,102.28207188990406,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660346167,289736.3298255018,5838744.772408437,5838744.772408437,0.0306437873041088,0.0
24,15332590,0.0,0.0008912165113046,0,0.0,0xb29130cbcc3f791f077eade0266168e808e5151e,1INCH,Aave interest bearing 1INCH,Aave v2,1660382647,292852.22554520174,5901485.988595641,5901485.988595641,0.0306443073975796,0.0
