,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,12891319,41741.32039252977,42624.45833928209,0,0.0,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627160365,41741.45218613202,42624.59013274872,42624.59013274872,30.30009852880543,0
1,12891578,158226.90110109973,157343.7631543474,0,0.0,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627163830,199973.56702325772,199973.56701444645,199973.56701444645,38.4,0
2,12891820,54873.35688543445,60313.74467849072,0,5440.387793056277,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627167257,254859.35119949092,254859.351161488,254859.351161488,38.4,0
3,12892075,13418.228178145497,15457.50130890064,0,3120.9366705434086,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627170741,269904.5298515961,269904.5297915477,269904.5297915477,38.4,0
4,12892345,5986.493608746688,7178.173470596633,0,1214.8834182552575,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627174473,285406.0345756372,285406.0344228453,285406.0344228453,38.4,0
5,12892647,13224.22405364463,13224.22405364463,0,0.0,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627178379,304962.89022816194,304962.8899591733,304962.8899591733,38.4,0
6,12892911,21374.11373819973,33574.2099654149,0,12531.559507837936,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627181814,326021.8062429475,326022.556362765,326022.556362765,38.4,0
7,12893180,3249.1885703972503,66025.48012046774,0,62776.29155007049,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627185375,337516.05622092733,337516.82505300216,337516.82505300216,38.4,0
8,12893477,482965.3554590995,668539.2473142145,0,227162.3308775705,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627189168,774642.2195782963,786104.6655937878,786104.6655937878,32.66772412685561,0
9,12893637,28424.752345694647,279.1448073430183,0,17.43265360073713,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627191596,786306.9884863377,786395.1591918663,786395.1591918663,38.35573349010552,0
10,12893965,700.8114665149051,2378.0387737642545,0,1762.4947691741525,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627196180,768001.8291672403,768002.5947944208,768002.5947944208,38.4,0
11,12894197,8876.671905259644,8873.047112426082,0,0.0,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627199380,801612.1975604953,801612.9876755982,801612.9876755982,38.4,0
12,12894494,25349.34999931395,20927.623030357223,0,3659.458032343669,0x1e6bb68acec8fefbd87d192be09bb274170a0548,AMPL,Aave interest bearing AMPL,Aave v2,1627203388,856387.6285650786,856388.4549595183,856388.4549595183,38.4,0
