,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,11367184,0.0,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1606832522,0.0,0.0,0.0,,
1,11373623,0.0,15.089605734767025,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1606919438,0.0,15.089605734767025,15.089605734767025,0.0,0.0
2,11373988,5.03174578449658,0.0,0,9.95899238429994,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1606924179,4.979500652792741,4.979500652790944,4.979500652790944,93.6,0.0
3,11379250,0.0,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1606993398,2.0052837048415584,4.996103303488412,4.996103303488412,0.7249354043979623,0.0
4,11379543,0.0,0.0,0,0.9969437652811736,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1606997458,2.0052888857893367,3.9991647191380775,3.9991647191380775,1.1314237268017713,0.0
5,11379859,0.0,0.0,0,0.9969437652811736,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607001622,2.0052955241090933,3.0022275921492994,3.0022275921492994,2.007606875768381,0.0
6,11380148,0.0,49847.18826405868,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607005204,2.005303130896296,49850.19049925757,49850.19049925757,7.2818031e-09,0.0
7,11382455,31819.490257496553,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607035706,31821.52874771247,49720.986364927565,49720.986364927565,1.8432112911857697,0.0
8,11386626,5585.801366585225,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607091398,37809.10597512813,50347.734908907645,50347.734908907645,2.5377302440980833,0.0
9,11393471,3221.0875832,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607182481,41057.73523622664,50383.0493373237,50383.0493373237,8.40194539394167,0.0
10,11393774,3221.1818616,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607186680,40723.72938093353,49938.03514794478,49938.03514794478,8.618329314202144,0.0
11,11393848,0.0,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607187729,37502.694004950376,49938.194215275136,49938.194215275136,2.5378840361619206,0.0
12,11394338,2995.713898632661,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607193905,37502.9991851596,49938.49939465573,49938.49939465573,2.5378943216259007,0.0
13,11400167,2516.369047619048,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607270834,40322.394905524496,50340.85736238234,50340.85736238234,3.2394727832638393,0.0
14,11404117,1003.2854530438912,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607323132,41197.99295216601,50180.70056442735,50180.70056442735,10.711285930089868,0.0
15,11404702,0.0,2902.536287426401,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607331129,41199.50743480149,53084.75130942598,53084.75130942598,2.710547226445572,0.0
16,11404808,0.0,0.0,0,2902.53927115426,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607332325,41199.568067814864,50182.27267124441,50182.27267124441,10.71345371629041,0.0
17,11408197,50.265720150755904,50.265720150755904,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607378099,41022.69553825951,49953.99416065981,49953.99416065981,10.794202863706456,0.0
18,11409641,50.55303196548543,50.55303196548543,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607397195,41294.45967086853,50273.12508436358,50273.12508436358,10.867986748632411,0.0
19,11411881,0.0,17009.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607426844,41183.36114743509,67145.64889886489,67145.64889886489,1.69285716922754,0.0
20,11413830,0.0,35.67324160608616,0,35.051674685415456,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607453510,41210.18291451833,67246.47512555265,67246.47512555265,1.6899837379299434,0.0
21,11414115,2002.9528391665976,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607457244,43213.28526637197,67246.62463799209,67246.62463799209,1.8582582910425929,0.0
22,11416510,5974.402076265085,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607488180,48941.24478051417,66862.36830326502,66862.36830326502,2.411009944441208,0.0
23,11416995,3460.01873561751,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607494427,52859.88413015256,67488.79376959929,67488.79376959929,2.760587848657444,0.0
24,11419912,1507.6700861984673,0.0,0,0.0,0xa361718326c15715591c299427c62086f69923d9,BUSD,Aave interest bearing BUSD,Aave v2,1607533182,54373.050808054155,67495.10738457892,67495.10738457892,4.924760099733584,0.0
