,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,13264119,0.0,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632160785,0.0,0.0,0.0,,
1,13264358,0.0,987345.1235373584,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632164008,0.0,987345.1235373584,987345.1235373584,0.0,0.0
2,13269137,1520591.4517267458,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632227440,506893.3037209665,1013757.1206205392,1013757.1206205392,1.0000581735150067,1.2500363579181197
3,13290105,14921.412700097084,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632508506,512441.6159711258,994900.6163930291,994900.6163930291,1.0611807584350648,1.2876703518582653
4,13290635,15078.160187204943,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632515266,532871.2473486329,1005287.7565748872,1005287.7565748872,1.1238899048223447,1.3251709234226783
5,13291551,298212.03787363425,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632527975,825202.4330402786,994188.2502243536,994188.2502243536,12.625142011404971,17.013164939660072
6,13291801,99.40401262454476,24851003.156136192,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632531116,825316.3196539574,25845205.888859984,25845205.888859984,0.0040788793955624,0.0798326315209905
7,13291987,1749713.3565366685,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632533612,2600862.767902593,26105509.43244324,26105509.43244324,0.0397036579818313,0.249072209603182
8,13292386,196794.13659622753,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632538559,2797658.9571490944,26105511.485092968,26105511.485092968,0.0459393790522051,0.2679184199883808
9,13292640,2112524.813257463,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632542248,4910187.257945404,26105514.972631525,26105514.972631525,0.1415114468569815,0.4702250904769264
10,13292861,684778.1942694543,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632545127,5650113.256479909,26377613.948374525,26377613.948374525,0.1835284015102205,0.535502686603643
11,13293021,1945843.268397476,170439.06602483583,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632547475,7595961.1153205745,26548057.604841452,26548057.604841452,0.3274612792358619,0.7153029070303253
12,13293304,367551.3420061799,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632551226,7848707.070582443,26279108.99485616,26279108.99485616,0.3568083095467673,0.7466679206091714
13,13293954,3255083.029696628,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632559653,11029634.344847875,26035359.66722168,26035359.66722168,0.7178852951663267,1.0591013991575051
14,13294053,2985044.120934373,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632560663,14015706.02135296,26037775.022808194,26037775.022808194,1.1589967278121045,1.3457088790694713
15,13294450,2096373.8059022033,0.0,0,0.0,0x683923db55fead99a79fa01a27eec3cb19679cc3,FEI,Aave interest bearing FEI,Aave v2,1632565987,16073350.54746914,26042494.339949876,26042494.339949876,1.5237287675252265,1.542992611537128
