,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,13207515,0.0,36.37786524787197,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631404362,0.0,36.37786524787197,36.37786524787197,0.0,0
1,13226053,10.103293462286825,404131.7384914678,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631652120,10.103293462286825,404169.03681994247,404169.03681994247,2.4995386e-09,0
2,13226289,0.0,0.0,0,37.29832847472436,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631655173,10.103293463509337,404131.73849146895,404131.73849146895,2.5e-09,0
3,13231250,0.0,25.0093157667498,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631721328,10.003726334142172,400174.0615837859,400174.0615837859,2.4996875e-09,0
4,13231324,0.0,606376.7099263415,0,10.10627849877236,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631722325,10.106278526895291,1010643.0092950072,1010643.0092950072,3.99988e-10,0
5,13233392,100960.834570597,5048041.72852985,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631750299,100970.9306540865,6057665.218361033,6057665.218361033,0.0011113277877993,0
6,13234611,131507.35108529127,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631766405,232677.01093206665,6069585.267077332,6069585.267077332,0.0058782616010524,0
7,13234968,222550.9018366468,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631771325,455228.0072208828,6069585.361529495,6069585.361529495,0.0225009000809794,0
8,13236852,218243.497765427,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631796575,671213.1220182152,6010776.043530888,6010776.043530888,0.0498792338611241,0
9,13240709,17038.4758648093,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631847397,688572.5838289125,6013602.434518205,6013602.434518205,0.0524433008503864,0
10,13241477,613385.1311331348,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631858084,1301959.0508940965,6013603.7704492165,6013603.7704492165,0.1874929845710214,0
11,13242599,39691.67316881608,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631873533,1328704.4477321445,5953781.62514916,5953781.62514916,0.1992190964615881,0
12,13243349,173015.61145686905,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631884076,1496862.7372205628,5931999.297595321,5931999.297595321,0.2546957885776811,0
13,13243854,0.0,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1631890444,3095692.6063286527,12558357.009515764,12558357.009515764,0.2430580453770646,0
14,13265886,0.0,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1632184123,1362815.268390713,5988146.7788579315,5988146.7788579315,0.2071806051667793,0
15,13278024,9847.467820896529,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1632346355,1354656.6705015823,5908761.786878768,5908761.786878768,0.2102449177436049,0
16,13278837,251292.63107783408,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1632357496,1634050.6098934072,6031315.66983436,6031315.66983436,0.293607319399608,0
17,13285797,696527.1965121113,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1632450321,2314171.801974592,5970587.186872974,5970587.186872974,0.6009206045030625,0
18,13288090,49625.33236264459,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1632481165,2357951.712868932,5955436.808828679,5955436.808828679,0.6270505634543982,0
19,13290078,30086.806913469914,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1632508104,2412755.5717461826,6017802.754369648,6017802.754369648,0.6429996649355736,0
20,13290487,0.0,0.0,0,405367.91687706247,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1632513350,2437946.853934728,5675253.823407989,5675253.823407989,0.7381385335174286,0
21,13295221,9890.123798427032,0.0,0,0.0,0xd4937682df3c8aef4fe912a96a74121c0829e664,FRAX,Aave interest bearing FRAX,Aave v2,1632576209,2389360.2263569846,5538991.545664918,5538991.545664918,0.7443236955274046,0
