,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,11367197,0.0,0.0,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1606832623,0.0,0.0,0.0,,
1,11373144,0.0,0.5485413159454653,0.0,0.5485413159454653,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1606913119,0.0,0.0,0.0,0.0,3.0
2,11373664,0.0,0.3427409504708794,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1606919962,0.0,0.3427409504708794,0.3427409504708794,0.0,3.0
3,11374251,0.0005533513825424,29.072358488220324,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1606927312,0.0005533513858858,29.41386755447039,29.41386755447039,4.4042631e-09,3.000418057823962
4,11379581,0.0,0.0,0.0,0.125530222145346,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1606997964,0.0002890204840091,30.600732664414426,30.600732664414426,1.1101179e-09,3.0002098863936646
5,11380701,0.0,2.32695943916224,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607012494,0.000290610390783,33.09602725222452,33.09602725222452,9.595024e-10,3.0001951294224787
6,11383759,0.0,57.262123783990624,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607053347,0.0002909163094483,90.39299038044943,90.39299038044943,1.288968e-10,3.0000715188959832
7,11387761,0.0,7.29459154702372,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607106365,0.0002689089665613,90.84950001272297,90.84950001272297,1.090287e-10,3.0000657764193708
8,11389926,0.0,519.3873025537516,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607135342,0.0002612133799018,607.6368884792796,607.6368884792796,2.2997e-12,3.0000095529779145
9,11390078,0.0,0.0,0.0,523.9415272430161,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607137343,0.000263503817921,89.0233985333127,89.0233985333127,1.090287e-10,3.0000657764193988
10,11395202,0.0,2136.190861029224,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607205576,0.0002617066408956,2224.6070925353765,2224.6070925353765,1.722e-13,3.000002614260806
11,11395620,0.0,0.0,0.0,2136.190861029224,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607211157,0.0002617066408967,88.41623150615216,88.41623150615216,1.090287e-10,3.000065776419465
12,11398837,0.0,49.2156024832497,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607253521,0.0002582432933018,136.46175991028372,136.46175991028372,4.45668e-11,3.0000420538314536
13,11399899,0.0,2088.561771644168,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607267296,0.0002558715590178,2223.770252002296,2223.770252002296,1.648e-13,3.0000025569343958
14,11401850,0.0,420.193277113969,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607293426,0.0002621131032362,2698.2085589450744,2698.2085589450744,1.174e-13,3.0000021587418098
15,11402246,0.0,21237.29226268693,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607298559,0.0002654661613845,23970.01741039216,23970.01741039216,1.5e-15,3.00000024610946
16,11402352,0.0,0.0,0.0,2166.878094823407,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607300047,0.0002654661613845,21803.13931556875,21803.13931556875,1.8e-15,3.0000002705687443
17,11407896,20974.878633443714,0.0,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607374188,20974.87888923492,21008.520907030943,21008.520907030943,244.50905576775767,312.12653577059
18,11408080,0.0,1007.5052691741018,0.0,5.120459614760344,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607376451,0.000255846129233,22015.40881379322,22015.40881379322,1.7e-15,3.000000258249553
19,11414971,0.0,0.0,0.0,989.1725620387743,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607467982,0.0002524629593392,20735.116473800128,20735.116473800128,1.8e-15,3.0000002705693958
20,11415708,0.0,2820.3593671966855,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607477719,0.0002494881128527,23311.147767878385,23311.147767878385,1.4e-15,3.0000002378338593
21,11422638,0.0,0.0,0.0,2851.5722598445896,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607568902,0.0002522491956346,20717.559778138148,20717.559778138148,1.8e-15,3.0000002705693958
22,11428220,0.0,14913.22444140144,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607644067,0.0002628894257858,36370.75246903426,36370.75246903426,7e-16,3.000000160623215
23,11428670,0.0,0.0,0.0,1158.0693611521483,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607650026,0.0002533691437444,33895.5520725476,33895.5520725476,7e-16,3.000000166111039
24,11428966,26639.205717074048,1260.1707039191353,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607653997,26640.67195435925,34889.373575645914,34889.373575645914,108.75831963845133,184.0411956905415
25,11429327,0.0,1805.606787945556,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607659067,27136.09653880039,37350.39635326732,37350.39635326732,91.73618778186595,163.83326817010337
26,11429884,0.0,33084.73294777797,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607666398,1548.7122742730426,70740.49537538535,70740.49537538535,0.0059645924556368,3.4865081467056664
27,11429996,14321.716005626404,0.0,0.0,41.968820397171264,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607667752,15857.23838839864,70096.39958667176,70096.39958667176,0.631591856113281,8.027120750512934
28,11430378,50318.99767974363,102.17842966831432,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607673170,65921.08492473893,69063.2949027564,69063.2949027564,169.9907687637883,288.18314475830357
29,11430644,0.0,7482.295819169705,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607677099,66501.72359226574,77153.07495303745,77153.07495303745,126.14339068326537,237.69737228089727
30,11431078,0.0,159072.9070546598,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607682534,66733.51260813994,236491.5231196972,236491.5231196972,0.9473765392600996,9.27069794877632
31,11431704,0.0,0.0,14233.107543913491,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607690784,50871.06016948722,236127.66791038364,236127.66791038364,0.5775948501408991,7.787528648598019
32,11431793,0.0,11.825109084795791,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607692303,50871.14228623325,236139.5751361598,236139.5751361598,0.5775384662555918,7.787294967450891
33,11433115,0.0,0.0,0.0,3541.9179198038873,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607709951,50930.51179625023,232869.76677362708,232869.76677362708,0.595258156448448,7.86018059485663
34,11434590,0.0,453.2277971238032,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607728589,51357.05998644442,235269.61360568745,235269.61360568745,0.5929855630320514,7.8508940553461395
35,11436263,25500.354593624725,0.0,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607752016,77427.10821339619,237874.7219548556,237874.7219548556,1.3184539993440911,10.233229095540596
36,11436565,459.9046976215423,31357.138474196065,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607756094,78453.39878470311,270970.8692869117,270970.8692869117,1.0431669281956506,9.433934490157394
37,11436865,0.0,2186.161394903356,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607759634,78453.79541345217,273157.42730975494,273157.42730975494,1.0265435607363411,9.382464695145242
38,11436987,0.0,5226.189745699344,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607761383,78453.98980803578,278383.81144984177,278383.81144984177,0.9883655738595756,9.262655675154008
39,11439812,0.0,15709.823424097049,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607798471,76651.04535686088,287686.04961384897,287686.04961384897,0.8834338855038666,8.920886776354317
40,11440277,0.0,0.0,0.0,1056.287102627346,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607804533,77402.8579652178,289450.50777025847,289450.50777025847,0.8898992813597428,8.942513234820897
41,11440595,0.0,1024.8797498716879,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607809068,76764.13715746805,288085.61228407884,288085.61228407884,0.8835865611969845,8.9213983802526
42,11441951,0.0,10341.588830454304,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607827319,77629.48412150504,301669.60697209754,301669.60697209754,0.824073180871655,8.718506509680317
43,11442213,0.0,0.0,0.0,2163.0439293590184,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607830761,77629.82328770646,299506.9022083417,299506.9022083417,0.8360245285637439,8.759824348910936
44,11442310,0.0,518.114436380573,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607832227,77629.9687879255,300025.16214482987,300025.16214482987,0.833141868413459,8.749885673167974
45,11444351,0.0,12140.420301240147,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607858122,79100.90966795283,317843.00177231594,317843.00177231594,0.7707493094628611,8.530396916863205
46,11445873,0.0,573.137069422944,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607878539,78946.23408420576,317788.65001732414,317788.65001732414,0.7680006143292541,8.520526682693916
47,11446757,0.0,5344.926648397981,0.0,0.0,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,MKR,Aave interest bearing MKR,Aave v2,1607890431,79507.67349173628,325390.0788358611,325390.0788358611,0.7429934287665083,8.4299048077193
