blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
16496810,0,0,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674806327,0,0,0,null,null
16498767,0,0.00000000000000008648261236,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674829943,0,0.00000000000000008648261236,0.00000000000000008648261236,0,9
16499076,0,0.08826,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674833663,0,0.08826000000000008826,0.08826000000000008826,0,9
16500563,0,5406.76562986776039015007742075,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674851651,0,5406.85354940137039023799695436,5406.85354940137039023799695436,0,9
16503097,0,57583.5366624187091291604,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674882203,0,62952.2902883939508677952,62952.2902883939508677952,0,9
16506378,0,524.9298330508551499434525,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674921707,0,61878.1742598810765097279325,61878.1742598810765097279325,0,9
16507316,0,167.96640168,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674933011,0,61246.65046103545856118340632804,61246.65046103545856118340632804,0,9
16508612,0,6549.54915614642462127349,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674948647,0,67465.69264485287213818442,67465.69264485287213818442,0,9
16512602,0,1445.23316476704935279629,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1674996815,0,71624.73794043167356070775,71624.73794043167356070775,0,9
16513087,0,1317.26508375,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675002671,0,73706.69725597889552621963019375,73706.69725597889552621963019375,0,9
16513369,0,649.400705415,0,649.400705415,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675006103,0,73526.481828538135337937286125,73526.481828538135337937286125,0,9
16514010,0,3041.09934337436543114399700616,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675013819,0,75985.97357716002396212332508641,75985.97357716002396212332508641,0,9
16518002,0,0,0,5301.00373898688856322182829,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675061939,0,70063.9824995470873919740425648,70063.9824995470873919740425648,0,9
16519121,0,170923.38066162152221616693393,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675075439,0,237777.60431758729225156742261,237777.60431758729225156742261,0,9
16519977,0,0,0,1359.66872789659419610123709878,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675085747,0,235907.91963160946098467217503736,235907.91963160946098467217503736,0,9
16524168,0,8366.23179675556779219576219,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675136267,0,242357.66142423484395365207141,242357.66142423484395365207141,0,9
16525389,0,0.24162261525,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675151003,0,239777.6201850578148881778574755,239777.6201850578148881778574755,0,9
16525613,0,18729.55466149590864226767,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675153691,0,261570.98477669907516906489,261570.98477669907516906489,0,9
16526781,0,0,0,18632.0449766307163126564784148,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675167791,0,241577.1506515047573498154650168,241577.1506515047573498154650168,0,9
16528249,0,0,0,69666.53657170685824688095,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675185479,0,176092.44413210608029409135,176092.44413210608029409135,0,9
16533048,0,69014.5122774499292104188,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675243415,0,240712.64466016608187996953,240712.64466016608187996953,0,9
16534128,0,0,0,70052.002150175912740604,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675256459,0,174279.2572452218868567809,174279.2572452218868567809,0,9
16535817,0,1907.490959822,0,1907.490959822,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675276835,0,175004.53199997556423170508,175004.53199997556423170508,0,9
16536012,0,2.53066286522899338832,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675279187,0,175007.0626628407932250934,175007.0626628407932250934,0,9
16538166,0,361.25977781200944267292,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675305215,0,194727.038843203755843262695,194727.038843203755843262695,0,9
16540478,0,5136.74788595224458050316957632,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675333187,0,199721.45003679014782414157763104,199721.45003679014782414157763104,0,9
16544131,0,62885.6639299223365498437816,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675377359,0,257854.42973132014539230307136,257854.42973132014539230307136,0,9
16548934,0,29668.89359775808480335786828,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675435487,0,286123.127232789820962397301256,286123.127232789820962397301256,0,9
16554365,0,807.95240066790432535776,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675500947,0,291076.94163169812349528464,291076.94163169812349528464,0,9
16555541,0,0,0,1349.9832882,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675515191,0,290761.97536713698045341513195224,290761.97536713698045341513195224,0,9
16559677,0,1290.06152879834742673399,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675565075,0,287823.38183784503088789361,287823.38183784503088789361,0,9
16559962,0,1380.5985183416335475729064,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675568495,0,288152.57637323678245207425378,288152.57637323678245207425378,0,9
16561138,0,1.6544395394714148890295354,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675582655,0,289569.39528677804250830056839551,289569.39528677804250830056839551,0,9
16561793,0,1.023615,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675590527,0,290255.21142331819191156549,290255.21142331819191156549,0,9
16562250,0,0,0,8762.06382871455169292134125,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675596059,0,281012.9759298234626682680335,281012.9759298234626682680335,0,9
16562633,0,605.267644,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675600691,0,280029.14318547743929823468016,280029.14318547743929823468016,0,9
16565920,0,85.76,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675640363,0,271874.28524151751052528384,271874.28524151751052528384,0,9
16567504,0,1.7154343614,0,0,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,AAVE,Aave Ethereum AAVE,Aave v3,1675659467,0,271913.14901899528259961407569038,271913.14901899528259961407569038,0,9
