blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
17019320,0,0,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681148423,0,0,0,null,null
17032234,0,1.392,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681306247,0,1.392,1.392,0,17
17041814,1.44902,0,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681430987,1.44902,1.44902,1.44902,133.6,187
17042489,140.989446279297,142.4135821003,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681439219,142.469852747415075002939,143.893867175660402285499,143.893867175660402285499,126.3982458181959935,179.5771613089702238
17042832,0,191.1860538590068825,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681443479,145.5075227773988803309337814,338.14136445435624641917783815,338.14136445435624641917783815,3.6250417933048496,27.757687793310823
17044738,0,38.97450227411291287567135,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681466963,144.56299421246729773330692478,374.90362518013842411632289701,374.90362518013842411632289701,3.0069514792276148,26.639788657528917
17045696,228.0457632494821204316146365,0,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681478771,372.61403393502947880707871309,374.90784618446923979767999993,374.90784618446923979767999993,129.1154122453632465,182.3920014497149558
17049815,0,73.1589362013416084,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681529783,357.82214334106102989271922636,432.98930881930449967069459839,432.98930881930449967069459839,24.1306029647028216,56.5162957528313031
17050878,0,0.718863949,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681542947,357.87669001736128314354197372,433.75178683805218029759942009,433.75178683805218029759942009,23.4250376049614397,55.5064567476479504
17051095,0,142.8553112180763696,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681545611,357.88742434561079625189665608,576.61568125523727871048355995,576.61568125523727871048355995,6.8783319256590939,32.5110440201449397
17054714,217.15620964705313187061515904,0,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681590047,575.78442767428217077757163076,577.75239829168814326625807092,577.75239829168814326625807092,130.8245398558483488,184.1536580725077718
17056587,155.73419463977104596253891926,155.11377024575809560390500088,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681613015,732.17936294096132680138831226,733.3942583852966552717690225,733.3942583852966552717690225,132.0300118467008359,185.3920945981469197
17056963,0,1196.9284382570710440630684882,0,1196.93142127940382712222435294,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681617599,732.25818690038419637965724186,733.45430225566640429712370704,733.45430225566640429712370704,132.0331454670637137,185.395309535316013
17057688,0,1812.3488148139621811462500886,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681626443,732.5979140579761217624074474,2546.07469730294591204414374724,2546.07469730294591204414374724,1.8491344622729218,24.1921566424501872
17062521,1801.790356751421103157555465,0,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681685783,2536.951478788084480511783394,2554.685531228769368506167091,2554.685531228769368506167091,128.4051345298082775,181.6578793551925653
17064936,0,3537.642785,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681715399,2487.73629472012736358302276867,6041.98509964948778328653925251,6041.98509964948778328653925251,3.360463383489163,27.291471286841139
17065223,0,0,0,3559.04271336594549432376157476,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681718891,2502.80408891813718417648703332,2519.49159607624584702154789108,2519.49159607624584702154789108,128.4167534673649842,181.66989791429734
17071512,0,363.17933947271106753938779106,0,363.1799289556751343193044725,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681795811,2512.68488571013531661980605516,2527.3762580575026603013094093,2527.3762580575026603013094093,128.4370414529496354,181.6908829203653377
17073219,0,12433.47279637379009992398,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681816631,2540.7851645127710048357,14988.55298498911738129782,14988.55298498911738129782,0.8088239819392821,21.2368019557253288
17073606,0,9.91863550443946633283,0,12404.4504140954865355399,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681821395,2540.80806033936121125111,2594.03951837000350829845,2594.03951837000350829845,117.7830071203548967,170.5337308117251765
17077630,0,186.9180014041,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681870451,2546.76467873478234883651,2785.71026738618927001029,2785.71026738618927001029,74.0564917627005781,121.437922613142281
17079029,0,1056848.592,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681887467,2497.00346581750913663826685472,1059579.46858292351526107362533408,1059579.46858292351526107362533408,0.0057335579488932,17.0589146761846505
17080726,29844.89703,0,0,0,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,BAL,Aave Ethereum BAL,Aave v3,1681908263,32195.41681934774300667353340602,997400.5601804343935846041777122,997400.5601804343935846041777122,0.0920572247762728,17.806979169440357
