blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
16496806,0,0,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674806279,0,0,0,null,null
16496939,1.00015782,1.5850172638370188581869694,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674807887,1.00015782,1.5850172638370188581869694,1.5850172638370188581869694,1.7917672320925019,5.394379702834755
16497464,0,89.9750736,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674814211,0.999729365150616493516196,91.55940753139053279703917408,91.55940753139053279703917408,0.0005365021392541,5.0068243216699312
16498259,0,0.46394653832509215407543451,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674823811,0.99984336203828803667770671,92.0337793139598681598638759,92.0337793139598681598638759,0.0005311068833717,5.0067899210651124
16498525,79974.78,85545.3383480260467463212858975,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674827027,79975.7796912600312702004538235,85637.3581248943582702937111715,85637.3581248943582702937111715,45.5621146391959025,55.7083441230808672
16498829,91241.02067899,156103.26807126423130264180563812,0,64367.80335795835055566449512739,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674830687,171221.10909639203859412465109533,177376.22074011289451510753979553,177376.22074011289451510753979553,57.3261276033185536,67.4857156479906971
16499078,0,11273.28866528138316424174387914,151414.20619645250983090622412147,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674833687,20019.42193353916112953072263933,188868.36025250619286621665247167,188868.36025250619286621665247167,0.050557950174674,5.0662473467594188
16499544,0,0,0,150.015261,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674839315,20004.78905095119318124805384802,188580.13314954560203070671211374,188580.13314954560203070671211374,0.050638504662117,5.0663001020338405
16499905,30999.92963,0,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674843683,51002.65469918868465894673533612,188560.53577931806389638546287633,188560.53577931806389638546287633,0.3292219215388074,5.1690511514312863
16500259,2025.91941075,0,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674847967,53051.94179002579030672540524193,188646.6617506204567668070430742,188646.6617506204567668070430742,0.3558844931738572,5.1757633384513505
16500685,5216.19656549835222726860320168,0,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674853115,58266.79655635278908872510272402,188641.56705747768570763409852061,188641.56705747768570763409852061,0.4293111632518318,5.1930455750134591
16500735,0,0,0,5002.38111655027369853672095501,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674853715,58266.8136768229491715701708545,183639.20134920948794025940544553,183639.20134920948794025940544553,0.4530187899445964,5.1983041798304973
16501338,59003.0474456122654172511120512,0,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674860975,117275.27241826055713294634093282,183577.33722805020207961685441786,183577.33722805020207961685441786,1.8364500350409876,5.3992669101512826
16501865,2530.50897929016429213849633826,0,0,63765.56454401697664656669249318,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674867359,119792.892407214911865279006911,119791.09074059984218662840306746,119791.09074059984218662840306746,71.1,80.5
16502119,0,99992.72060265481854419618007695,0,90007.6365,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674870407,119815.00114883604875011777055715,129797.42677377906588024512206145,129797.42677377906588024512206145,41.665002226128477,51.6525109460392348
16502228,0,10062.6567322093080563860110256,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674871715,119817.49350169456075548268226125,139862.32655430734959321848773285,139862.32655430734959321848773285,19.4668791474813465,26.7489527956342204
16502759,0,216059.7123535763162004116544149,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674878111,119776.8148057455140134798408132,355873.4090609905512685367766078,355873.4090609905512685367766078,0.5097518554595967,5.2103551592156597
16503181,197.03691583,0,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674883223,120031.43059694498857726366318848,356043.80678012309241519600050222,356043.80678012309241519600050222,0.5114313970255052,5.2107014156273111
16503452,0,0,0,215968.20464360114495307887039285,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674886487,119991.28332896443446749872444395,139956.0825604771328185559578101,139956.0825604771328185559578101,19.6743776893960567,26.9982921258353202
16504198,0,15014.7294,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674895439,120135.6909042488447721487357892,155136.93009566196021761090165204,155136.93009566196021761090165204,2.698375334669944,5.4839772412246599
16504564,0,1223.1779106446482073714264818,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674899831,120038.03164654264219788571443726,156233.74307558741517612233525887,156233.74307558741517612233525887,2.6562963584023038,5.4801887973613203
16504967,0,2749.256455,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674904679,119986.74222004923774884642281518,158915.95998808056936055185967106,158915.95998808056936055185967106,2.5651926842176764,5.4718823752383238
16505520,0,0,0,21846.9853530591530136622581606,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674911387,119985.7589786354273683732035408,137067.2634164796345469179836736,137067.2634164796345469179836736,25.411957071878187,33.7562493968403617
16505950,0,51981.01846517199125917009615563,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674916559,119997.49065844358393480998500813,189060.28814003676562749157725425,189060.28814003676562749157725425,1.8127284757698089,5.3966798487578789
16506302,2999.39787,69983.1937,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674920795,123002.05505233112260677066889314,259054.08131142423569965023557694,259054.08131142423569965023557694,1.0144697590373626,5.2967517666797434
16506538,1397.56137365062469594961666027,2865.82504163860414130320770027,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674923639,124396.67618294147404690497051729,261913.46727381003573707550097117,261913.46727381003573707550097117,1.0150729188276444,5.2968399714462879
16507067,0,0,0,1222.39922914124573818498651543,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674930011,124410.46465553128082171939588291,260719.37964348661872237844981628,260719.37964348661872237844981628,1.0246186700407339,5.2982324477408191
16507480,0,0,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674935003,124416.38437328727037921919532746,260731.22341347348715706582882418,260731.22341347348715706582882418,1.0246227164004105,5.2982330366206602
16508717,499.973325,0,0,9984.96829069563188362496927024,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674949919,124920.67226511842392433444479515,250753.2107289799829355766136901,250753.2107289799829355766136901,1.1167844094581401,5.3113568549089563
16508946,50595.16684682712758415336728928,0,0,15000.1819055599307159508082158,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674952679,175509.71941207598677129372558752,235741.11650691463041254877921888,235741.11650691463041254877921888,2.4941585798874783,5.465302934840076
16511114,1505.83047531363443526369792894,0,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674978839,177036.8570047391870474701395678,235767.33354769092242406749166588,235767.33354769092242406749166588,2.5371755176597072,5.469298338322655
16511733,0.000200111284,70038.9494,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674986339,177139.5620199067304040231375679,305942.37631394864359592977039546,305942.37631394864359592977039546,1.5085054050735757,5.3618655133415868
16511746,0,0,0,70038.95462642214064867074828208,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674986495,177139.58738700384908920423062462,235903.44451745218041449839365202,235903.44451745218041449839365202,2.5371871040611682,5.4692994098828815
16512251,0,128365.6299075771512001056769283,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674992579,177067.9747713778648942663756153,364173.2432971847748327092699923,364173.2432971847748327092699923,1.063803647057459,5.3038816654305568
16512597,3000.4341,2.6800617472,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1674996755,180047.08824586454642406344708096,364132.14943747023321348653047808,364132.14943747023321348653047808,1.1001490263742992,5.3090292015786285
16513223,37183.59715338635438406940086684,0,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1675004315,217190.22531698447654227637862027,364049.12441230053413385985947234,364049.12441230053413385985947234,1.6016133463358369,5.3728658422460748
16513264,0,13569.32490621414768305822541327,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1675004819,217190.3288566829034558756036261,377618.54250256844127610828382895,377618.54250256844127610828382895,1.4885793202097406,5.3594675992065457
16513552,1400.015848,0,0,0,0x018008bfb33d285247a21d44e50697654f754e63,DAI,Aave Ethereum DAI,Aave v3,1675008311,218638.595814283834993142939677,377701.85426692587590003215370052,377701.85426692587590003215370052,1.507831822852218,5.3617847137000578
