blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
17539726,0,0,0,0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687492355,0,0,0,null,null
17557023,0,3103.9856227748856,0,0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687702499,0,3103.9856227748856,3103.9856227748856,0,12
17559112,0,0,0,3103.9856227748856,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687727915,0,0,0,0,12
17567013,0,5033.599410055043923917498514,0,0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687824011,0,5033.599410055043923917498514,5033.599410055043923917498514,0,12
17574371,0,418934.72828632910272707313598464,0,0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687913567,0,424173.94038645003677005437988764,424173.94038645003677005437988764,0,12
17574426,0,10444.50041106774598929614828314,0,0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687914227,0,434618.44079751778275935052817078,434618.44079751778275935052817078,0,12
17575865,2.2054851,0,0,0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687931627,2.2054851,425904.0713048054872198700497512,425904.0713048054872198700497512,0.0000000004290468,12.0001495971001282
17579110,0,8821.9486934579262859772591052,0,8821.9486934579271016009368468,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687970939,2.2054851028463364872148024,425904.0713048077634734379082396,425904.0713048077634734379082396,0.0000000004290468,12.0001495971003213
17582191,0,1174.27513407667797324920326851,0,0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1688008175,2.1136438878125113309194396,409342.77051192134467375849504091,409342.77051192134467375849504091,0.0000000004265887,12.0001491679536671
17583673,0,6041.45537087352467900601419952,0,0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1688026151,2.15642764668943843149651744,423670.02178860651929852476127488,423670.02178860651929852476127488,0.0000000004145093,12.0001470408465984
