blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20139378,0,36.3225541457,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1718964251,0,36.3225541457,36.3225541457,0,7
20162270,0,2396218.764704,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1719240887,0,2388435.3734659064,2388435.3734659064,0,7
20173082,0,102.30969046630371004874751725,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1719371399,0,2466264.90922045400371004874751725,2466264.90922045400371004874751725,0,7
20173838,0,51.24593961781248491405349063,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1719380483,0,2452151.80046218364113948068190488,2452151.80046218364113948068190488,0,7
20203539,84062.61370704,0,84062.61370704,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1719738887,0.00699401942436032547764228,2452014.2246142864244785033538177,2452014.2246142864244785033538177,0.0000000000000001,7
20223907,0,0,0.0069244568016863560702485,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1719984659,0,2427626.45414806832504078599124346,2427626.45414806832504078599124346,0,7
20228486,1689.24245417,0,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720039859,1689.24245417,2365120.76536604901255095457776834,2365120.76536604901255095457776834,0.0000067449973678,7
20237656,441901.284369787901809520541696,0,441901.284369787901809520541696,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720150523,1513.5339674119863235821187902,2119109.1970229374269893713321614,2119109.1970229374269893713321614,0.0000067450026235,7
20239274,11831.1646826,0,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720170071,13310.06094635685675263673456125,2070612.5701494246538878428849309,2070612.5701494246538878428849309,0.0005463448421318,7
20245995,3107.68542198,0,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720251107,17092.3064662713555567673111215,2175546.62175374721770949153392694,2175546.62175374721770949153392694,0.0008161481536019,7
20248289,0,25017.41668834641499310816746336,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720278803,17155.51934505907579745124092096,2208607.58561755688535050190436576,2208607.58561755688535050190436576,0.0007977651661164,7
20249037,221.0206955278,0,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720287803,17586.99434657993167632274536114,2235700.78103432108216262838111558,2235700.78103432108216262838111558,0.0008182016272143,7
20251883,380070.6441768,0,317018.462771,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720322099,80612.32249274900858283122802297,2232281.22084276714784684444761117,2232281.22084276714784684444761117,0.0172428678997506,7
20252250,0,4104.502100881,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720326527,80732.57142005949394169563226507,2239713.89450055457187100577168456,2239713.89450055457187100577168456,0.0171797533351055,7
20253979,22.07211051941446502827681338,0,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720347371,79681.65247899645511248730293756,2209938.62678021462766862805613912,2209938.62678021462766862805613912,0.0171893978187178,7
20256694,0,3964.54611599010839511070373511,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720380167,79142.49152227792535856244979253,2198937.34980050499460717602271107,2198937.34980050499460717602271107,0.0171276634856095,7
20264753,0,0,0.02218538734563185846144751,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720477607,80372.31942531031292511190652217,2233070.71527129512395408150741515,2233070.71527129512395408150741515,0.0171282252836806,7
20265454,0,2208.75363173572465954826732945,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720486079,79832.70265721195744257190091858,2220283.48095784955044088760160878,2220283.48095784955044088760160878,0.0170942132530246,7
20266985,199676.96560257988625803203121152,0,167962.06432967988625803203121152,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720504511,112835.12068406565026407847415263,2256083.50412867676705521577729799,2256083.50412867676705521577729799,0.0330736820432139,7
20268192,0,0,63876.47804149535956049531958578,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720519103,49860.07697955833281445417321096,2276937.59343445129728526314565838,2276937.59343445129728526314565838,0.006340272203165,7
20268471,63692.3026122,0,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720522487,113300.1976418499559491930391827,2265420.50169710282795922456652617,2265420.50169710282795922456652617,0.0330725704527116,7
20272604,94489.3880961,0,0,0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720572395,206546.86565537017425639830810026,2240546.08635662330121331242674456,2240546.08635662330121331242674456,0.1123656693361534,7
