blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
17641336,0,0,0,0,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,FRAX,Aave Ethereum FRAX,Aave v3,1688725751,0,0,0,null,null
17688969,0,0.99948143,0,0,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,FRAX,Aave Ethereum FRAX,Aave v3,1689304499,0,0.99948143,0.99948143,0,5
17690618,0.0099921346,0,0,0,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,FRAX,Aave Ethereum FRAX,Aave v3,1689324563,0.0099921346,0.99921346,0.99921346,0.00045,5.00625
17696522,0,5011.40804027527402554515512856,0,5011.40804027527403202562509666,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,FRAX,Aave Ethereum FRAX,Aave v3,1689396407,0.00999302594672428562081182,0.99930147021203957834190118,0.99930147021203957834190118,0.0004500010117004,5.0062500070256933
17701310,0,9993.5153,0,0,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,FRAX,Aave Ethereum FRAX,Aave v3,1689455039,0.00999353593733253606543383,9994.51465154857358310805431255,9994.51465154857358310805431255,0.0000000000044991,5.0000006249387968
17754849,199.834318,0,199.810254,0,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,FRAX,Aave Ethereum FRAX,Aave v3,1690103591,0.00999403078119319167508158,9991.51175443627303020637428477,9991.51175443627303020637428477,0.0000000000045023,5.0000006251575729
17764837,1995.88962,0,0,0,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,FRAX,Aave Ethereum FRAX,Aave v3,1690224371,1995.89960296228679269996663746,9980.44604797276806981139904031,9980.44604797276806981139904031,0.1799658055508314,5.124988126363439
17765552,2997.07041,0,0,0,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,FRAX,Aave Ethereum FRAX,Aave v3,1690232987,4995.13280216427490930769501957,9991.23863919990777183181223009,9991.23863919990777183181223009,1.1247807628622039,5.3124695489138985
17778271,0,0,0,0,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,FRAX,Aave Ethereum FRAX,Aave v3,1690386791,4995.13280216427490930769501957,9991.23863919990777183181223009,9991.23863919990777183181223009,1.1247807628622039,5.3124695489138985
17783636,2096.764635,0,0,0,0xd4e245848d6e1220dbe62e155d89fa327e43cb06,FRAX,Aave Ethereum FRAX,Aave v3,1690451603,7089.94202022547306613194876485,9986.3760233347474283535422128,9986.3760233347474283535422128,2.2681643516888574,5.4437220601228406
