blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
18626377,0,6.87878615,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1700645207,0,6.87878615,6.87878615,0,12
18636672,0,10346.1510314790398587716997599,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1700769575,0,10353.3163052190398587716997599,10353.3163052190398587716997599,0,12
18636742,0,4865.39704440766998727882320252,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1700770415,0,15218.71334962670984605052296242,15218.71334962670984605052296242,0,12
18644190,4194.51465035159735505370691032,0,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1700860631,4189.57426148642360002715644122,15521.08388925896479423903867906,15521.08388925896479423903867906,1.1657775184579774,19.7979183796299001
18645493,0,3564.97067739600306511583179438,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1700876411,4274.28593150939363292059144224,19399.54986562416169261367605032,19399.54986562416169261367605032,0.7767169545525493,18.3650561594843094
18651719,0,5783.09686795728296708684609903,4274.73412340136509030153968968,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1700951711,0,25183.0052682926569027646289601,25183.0052682926569027646289601,0,12
18660290,1045.33831043739389938217870016,0,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1701055571,1045.33831043739389938217870016,24433.5410237732781181354383296,24433.5410237732781181354383296,0.029285794113828,13.2359455825795149
18660470,0,1023.29224622133961972912132959,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1701057743,1023.29284926885438783750392124,24941.53319465175242731517841507,24941.53319465175242731517841507,0.0269320761835289,13.1852385386594453
18675549,0,15511.72481514369649286831748564,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1701240155,1026.81917722592077494374552862,40538.05989710091435864747050166,40538.05989710091435864747050166,0.0102654854351793,12.7317463971038569
18675831,0,19323.09766842696081689210370252,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1701243551,1026.81973738955891795715530262,59861.15801365736663172143196768,59861.15801365736663172143196768,0.004707783330798,12.495540415471532
18677650,0,6922.38914213269258375082016768,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1701265475,1026.8221863747000942808471791,66783.54911497199268701856483834,66783.54911497199268701856483834,0.0037824216971751,12.4441767481388678
18703827,0,24388.44350892807,0,24388.44351786298060422169346112,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1701581807,1137.53263452835882358039454163,73981.7994983378802555523209042,73981.7994983378802555523209042,0.0037826513612823,12.4441902328737853
18704874,0,1703.1948072536166,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1701594527,1146.24875131666971858037351716,76251.77374936703810694907829388,76251.77374936703810694907829388,0.0036155656318465,12.4342691432989704
18727132,0,114218.21149490500550923956901191,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1701863819,1194.8591441561043056513547563,193701.67433453669254964178125596,193701.67433453669254964178125596,0.0006088158903507,12.1782025181935221
18731326,0,0,0,1194.73205962265485689861407888,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1701914711,1194.86152303892129396024940671,192506.94417801691327977683581108,192506.94417801691327977683581108,0.0006163986108271,12.1793088283803016
18732099,0,0,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1701924071,0,200673.77969645822547038936065965,200673.77969645822547038936065965,0,12
18732747,0,0,0,121710.1702610111201079878246652,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1701931895,0,83423.9533920778130470620516384,83423.9533920778130470620516384,0,12
18745657,0,0,0,4346.161032486506433679350365,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1702088423,0,81723.2019574536180919328744174,81723.2019574536180919328744174,0,12
18774554,0,0,0,15051.52348396411774777775640668,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1702437863,0,62283.9542877983595356441066456,62283.9542877983595356441066456,0,12
18794004,0,59382.9244500078716046652992648,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1702673447,0,122837.77702720019955804492527672,122837.77702720019955804492527672,0,12
18867885,0,848.50164,0,0,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1703569751,0,119798.3786794286654837775535344,119798.3786794286654837775535344,0,12
18868018,0,0,0,848.50164,0x82f9c5ad306bba1ad0de49bb5fa6f01bf61085ef,FXS,Aave Ethereum FXS,Aave v3,1703571359,0,118949.8770394286654837775535344,118949.8770394286654837775535344,0,12
