blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
17699509,2221971.5223024949,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689433007,2221633.886029215806475573,0,0,0,0
17699764,76701.4761362968,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689436163,2292788.745518687974474025,0,0,0,0
17700080,88872.0531741751,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689440063,2381165.099610823714460949,0,0,0,0
17700398,88228.5853650387,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689443915,2439313.090344061719857995,0,0,0,0
17700689,2973,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689447455,2442290.199019509198044729,0,0,0,0
17700937,7042.878314306,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689450503,2448952.622086010899692679,0,0,0,0
17701208,249700,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689453791,2698656.512132560439740212,0,0,0,0
17701585,32174.1176157819,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689458399,2730836.567354694521529228,0,0,0,0
17701825,33438.8494199952,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689461351,1224478.964518370243055731,0,0,0,0
17702094,52997.437665339,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689464687,1276478.388844921292625724,0,0,0,0
17702425,51887.0344658265,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689468743,1328367.961019429715719245,0,0,0,0
17702684,5000,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689471875,1333369.942756279979042257,0,0,0,0
17703196,150,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689478139,1333523.915474013032874348,0,0,0,0
17703629,284502,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689483443,1448529.37697866048941613,0,0,0,0
17703807,420.69,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689485627,1448851.571672059329670681,0,0,0,0
17704118,114.86000154,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689489395,1448969.028406350918603777,0,0,0,0
17704401,20101,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689492875,1392071.206710736503792775,0,0,0,0
17704752,5257.7210128344,0,0,0,0x00907f9921424583e7ffbfedf84f92b7b2be4977,GHO,Aave Ethereum GHO,Aave v3,1689497171,1397331.773846294066142848,0,0,0,0
