blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
18366741,0,0,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1697505179,0,0,0,null,null
18367291,0,6.6624025,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1697511803,0,6.6624025,6.6624025,0,12
18368219,0,0.65929379,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1697523059,0,7.25223169,7.25223169,0,12
18374875,0,2457.488225988905568,0,2457.488225988905568,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1697603495,0,7.5061536,7.5061536,0,12
18419980,0,37643.7215,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1698148823,0,37652.00311873,37652.00311873,0,12
18469737,10451.82123,0,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1698750791,10451.82123,38718.96529878,38718.96529878,1.1658869533116143,19.7982843774369639
18538622,5803.63,0,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1699584011,17012.32204769960315318548678,41476.39251428068564641785744,41476.39251428068564641785744,2.6913991823072446,23.8484053963038347
18558235,0,87.451428,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1699821119,17955.46549165686151457516384724,43845.1102585311507352431696156,43845.1102585311507352431696156,2.6826258403408981,23.82907809534127
18560811,0,42652.0875,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1699852199,17516.0066712355381684155636585,85421.77037325320498806638878475,85421.77037325320498806638878475,0.6726585329205202,17.9233606385385338
18570882,0,124.9583235,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1699973831,17108.32278274651260645883616188,83547.51176061533421246683528328,83547.51176061533421246683528328,0.6708167197655721,17.9152456728768396
18576921,0,205.14293,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700046827,16853.54314203163946230207593244,82501.9295809438830958013619746,82501.9295809438830958013619746,0.6675857607062626,17.9009832189576046
18587625,0,0,0,391.9370484029951052821381877,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700176091,16101.780562797648513249290067,78418.90221409835388976392409815,78418.90221409835388976392409815,0.6744547599441546,17.9312640594367477
18605473,0,0,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700392247,16101.780562797648513249290067,78418.90221409835388976392409815,78418.90221409835388976392409815,0.6744547599441546,17.9312640594367477
18626198,11922.384,0,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700643011,27238.708425810176907754213419,74561.974561056134191941272808,74561.974561056134191941272808,2.1351891852957536,22.5533180715564051
18630681,38703.85242175042958498194,0,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700697191,66200.5821605268084118216326,73002.9679470837536898870822,73002.9679470837536898870822,187.2641764464614014,274.1472858190435068
18631127,6737.49765,0,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700702567,74704.1149667926622709027709713,74941.410612684666341138863431,74941.410612684666341138863431,244.9480238469051156,323.199224185863154
18631714,0,1042.4445627853562704,0,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700709659,72054.4295420525870588578850798,73315.6236050608817338287739246,73315.6236050608817338287739246,235.3933202650132343,315.4725401189448872
18632738,0,1622.9660434881262596,5779.28500187792775131877054524,0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700722067,66359.40233788654654559585358998,75005.94877875811232061567403274,75005.94877875811232061567403274,173.9470741381071769,261.8853003019562938
