blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
17075380,0,0,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1681843139,0,0,0,null,null
17087143,0,23837.84204660683811408077865296,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1681986827,0,23837.84204660683811408077865296,23837.84204660683811408077865296,0,10
17088269,0,0,0,24068.4783330031303066300652248,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1682000543,0,0,0,0,10
17093657,0,10.5934460521295577727265039,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1682066591,0,10.5934460521295577727265039,10.5934460521295577727265039,0,10
17098809,0,3818.81854913362751355878265732,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1682129315,0,3828.80327569404994299929534622,3828.80327569404994299929534622,0,10
17115291,0,0,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1682328959,0,3828.80327569404994299929534622,3828.80327569404994299929534622,0,10
17161480,0,0,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1682889419,0,3828.80327569404994299929534622,3828.80327569404994299929534622,0,10
17185363,3640.658814,0,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1683179711,3640.658814,3794.89498062437689697402864739,3794.89498062437689697402864739,218.603718127804637,300.8310549861621579
17186282,0,64058.77447518272476685116985112,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1683190907,3644.99943395837075847436383357,67857.2995997912900516796825375,67857.2995997912900516796825375,0.0359060679000103,11.5517687648756007
17190684,0,0,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1683244247,3644.99943395837075847436383357,67857.2995997912900516796825375,67857.2995997912900516796825375,0.0359060679000103,11.5517687648756007
17218118,0,0,2996.7526470564120027663666768,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1683577379,0,55784.3222168627336519299147888,55784.3222168627336519299147888,0,10
17240410,0,0,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1683849047,0,55784.3222168627336519299147888,55784.3222168627336519299147888,0,10
17284584,0,0,0,72978.43393574748303283040925,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1684390403,0,4328.363067408468948540809805,4328.363067408468948540809805,0,10
17287261,0,54568.30044146457594448651359975,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1684422911,0,58801.04970770193569930101845825,58801.04970770193569930101845825,0,10
17294642,0,21020.44653539365356690525464782,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1684512767,0,78698.08527226943082966790284924,78698.08527226943082966790284924,0,10
17298393,0.00216082508,0,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1684558475,0.00216082508,76924.15364016340052476636896912,76924.15364016340052476636896912,0.0000000000000098,10.0000008114984876
17305180,0,0,0,27621.12613,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1684640927,0.00212470201002427472046425,48017.06659997516016676570028103,48017.06659997516016676570028103,0.0000000000000244,10.0000012783012919
17305284,0,0,0,44044.77286576536871913129263104,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1684642199,0.00212557824002487351656448,3992.09603781230756498656567296,3992.09603781230756498656567296,0.000000000003528,10.0000153817865839
17306452,0,42807.86205336829713344140304568,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1684656371,0.00212344899010388549493777,46795.95909912820594904927643312,46795.95909912820594904927643312,0.0000000000000256,10.0000013108841243
17307896,0,0.0211898504,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1684673975,0.00211898504011201590616952,46697.6050406894754713900716416,46697.6050406894754713900716416,0.0000000000000256,10.0000013108835295
17314784,0,0,0,41728.36436593435309766179901679,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1684757891,0.00206990139014830015498794,3887.54879945267195774236941495,3887.54879945267195774236941495,0.000000000003528,10.0000153817046855
17326985,0,19.8039967,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1684906211,0.00198039967091333260220862,3739.25671881492596909803428379,3739.25671881492596909803428379,0.0000000000034907,10.0000153002395416
17332685,0,0.40712982,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1684975511,0.0020356491013073508501948,3843.982085740164185565949197,3843.982085740164185565949197,0.0000000000034899,10.0000152986190422
17349299,0,0.198895434,0,0,0x9a44fd41566876a39655f74971a3a6ea0a17a454,LDO,Aave Ethereum LDO,Aave v3,1685177243,0.0019889543423254555800129,3756.0057544428308324022345699,3756.0057544428308324022345699,0.0000000000034896,10.0000152978089279
