blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
16669829,0,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1676896991,0,0,0,null,null
16671482,0,163.6672528099315233460724589,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1676917019,0,163.6672528099315233460724589,163.6672528099315233460724589,0,5
16675009,0,1007.37399527722405402347431703,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1676959883,0,1171.31051147283282889331265908,1171.31051147283282889331265908,0,5
16675617,0,0.100198978,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1676967275,0,1171.08618508642996051701447992,1171.08618508642996051701447992,0,5
16676406,0,60369.107506483520576547852283,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1676976827,0,61540.9623503594102383326114548,61540.9623503594102383326114548,0,5
16679256,0,100151.561,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677011375,0,161623.05274748037155441220215944,161623.05274748037155441220215944,0,5
16680563,3001.77072,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677027263,3001.77072,161473.71795646205091992373280896,161473.71795646205091992373280896,0.0015551198245216,5.0929492043036181
16682165,2001.08508,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677046775,5002.71442622656028554950797784,161466.02175724061259076007772306,161466.02175724061259076007772306,0.0043197801791215,5.1549153923046298
16685208,0,0,0,60287.83888426261406064662640112,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677083855,5006.49899682772634640637498527,101300.04634735119999093421491916,101300.04634735119999093421491916,0.0109916143731761,5.2471123717975741
16686941,2505.251125,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677104891,7515.7724896412289228903887276,101381.27408984868349795284010985,101381.27408984868349795284010985,0.0247311469436737,5.3706686671384397
16688794,50124.0555,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677127379,57642.70282016798460125109997548,101419.80288132740514935580082188,101419.80288132740514935580082188,1.4536358623275057,7.8417872528935668
16689538,2016.66021932010430616181156,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677136355,59665.8030115296524340153636,101430.732969113372473155834645,101430.732969113372473155834645,1.5571266342934142,7.9412078341817841
16694468,0,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677196247,59665.8030115296524340153636,101430.732969113372473155834645,101430.732969113372473155834645,1.5571266342934142,7.9412078341817841
16697159,10016.5266,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677229043,69631.9974956109856371786933489,101341.09709136126367005770934246,101341.09709136126367005770934246,2.1244895518925878,8.4355086570603484
16700530,0,76437.5651848450921415234732714,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677270131,69610.79549224552438008352582045,177746.07475934730543940943497895,177746.07475934730543940943497895,0.6901788212363441,6.9581437088851156
16701132,110.1294469,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677277523,69712.4806847404816965840091434,177723.98475990890226794879431233,177723.98475990890226794879431233,0.692368509013431,6.9612474899260632
16701801,400.573512,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677285647,70131.30085425632650348821575904,177769.92143422739362291466061348,177769.92143422739362291466061348,0.7003503862565332,6.9725200833459117
16707468,750.856485,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677354539,70864.74351684925101872266072208,177720.84143993655419286320148272,177720.84143993655419286320148272,0.715468281211996,6.993696011058629
16710230,105887.08020514867309752824804823,0,105916.07613275620037120628823608,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677388091,70951.54041336864741024356291008,177935.90254253887759573128534308,177935.90254253887759573128534308,0.7154864001875038,6.993721255714081
16713138,2001.65812,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677423359,72848.17264572477932518486527796,177669.97342862536364935297425852,177669.97342862536364935297425852,0.7565077370816885,7.0500782330352508
16715524,3504.982145,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677452291,76397.79155709065301818749548596,177776.72858911730193787528344466,177776.72858911730193787528344466,0.8310272088427142,7.1486781580553118
16715770,2253.03822,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677455267,78645.40412088935803208603354688,177763.88211348915756432538757208,177763.88211348915756432538757208,0.8807710339887167,7.2120516293812914
16716567,1502.45979,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677464987,80171.14055320704729512246088206,177815.76517707840708785565653366,177815.76517707840708785565653366,0.9147422004705544,7.2543072358765347
16717134,7007.28084,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677471839,87130.81072044140102736834595536,177709.64974284209298346551208212,177709.64974284209298346551208212,1.0817437963131976,7.4514664503711941
16729700,20117.1018735,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677624275,107459.36622988815247830820671464,178129.00187617058132453356482031,178129.00187617058132453356482031,1.6376351708328154,8.0162846635046599
16731498,10.0332186,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677646151,107468.6479440532764871385869353,178126.0526304371039085273856017,178126.0526304371039085273856017,1.6379681851783246,8.016591329794391
16731811,10030.6587,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677649931,117472.27531390438300564743248583,178080.95474137896199449020446755,178080.95474137896199449020446755,1.9580888779577344,8.2982224825214014
16738518,20033.3186,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677731387,137351.63653207446631487619292977,177841.40822613778885244902816017,177841.40822613778885244902816017,2.6840685697352432,8.861540114265898
16739817,0.50119105,10.0208063,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677747179,137452.9991481703871263018891754,177980.9769341316376247961370494,177980.9769341316376247961370494,2.6838094588821988,8.8613537197912274
16740670,0,546.02916062491002085299415119,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677757535,137419.93760606203212433681691274,178483.5082920855072580288353181,178483.5082920855072580288353181,2.6674294202820949,8.8495522252465321
16744243,0,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677801059,137419.93760606203212433681691274,178483.5082920855072580288353181,178483.5082920855072580288353181,2.6674294202820949,8.8495522252465321
16750460,200.448532,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677876659,137656.0558401854633561427219938,178526.56593682556427547162108292,178526.56593682556427547162108292,2.675393812317096,8.8552949248166735
16754211,0.0100242722,0.0100242722,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677922379,137689.11045561465075345455498356,178566.37690090981148813128134408,178566.37690090981148813128134408,2.6754623706223429,8.8553443214310695
16757345,0,95950.1529631864986243591934726,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677960443,137598.14595989685629392167512235,274396.01835424901743309391596435,274396.01835424901743309391596435,1.1315435496579,7.5072600690105923
16760345,0,1.56888260984360338291163744,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1677996755,137770.2668799053599525577344214,274736.47598571914746984545928664,274736.47598571914746984545928664,1.1315631988832507,7.5072818381701845
16763771,55176.55605,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1678038419,192988.15665804448694999149763664,274813.90728042800405319357178053,274813.90728042800405319357178053,2.2191309010976757,8.5111970901813812
16763841,0,0,50.1605055,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1678039271,192938.17922333609055673398093324,274814.07204150255700083121022655,274814.07204150255700083121022655,2.217978734524207,8.5102854699710733
16767606,0.000100400026,0,0,0,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,LUSD,Aave Ethereum LUSD,Aave v3,1678084943,193099.95811781625228432285070244,275039.3560480519366232508023199,275039.3560480519366232508023199,2.2180459269032391,8.5103386405993171
