blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
17019320,0,0,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1681148423,0,0,0,null,null
17031111,0,0.36089507003,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1681292567,0,0.36089507003,0.36089507003,0,10
17037183,0,191646.04176601455749928452,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1681370651,0,191646.40453101455749928452,191646.40453101455749928452,0,10
17047245,0,3869.115647801550823188,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1681497935,0,208318.714020033253860204,208318.714020033253860204,0,10
17058783,0,3861.47487578242925862486854028,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1681639895,0,214916.60210145967907359224027762,214916.60210145967907359224027762,0,10
17073563,0,9.50276813521253919981005,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1681820867,0,220186.68916019198587882758535,220186.68916019198587882758535,0,10
17115278,0,0,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1682328791,0,220186.68916019198587882758535,220186.68916019198587882758535,0,10
17143199,0,24534.8143975994,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1682667611,0,216572.93725100791514185906,216572.93725100791514185906,0,10
17143797,3495,0,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1682674859,3495,216059.833783082426118459,216059.833783082426118459,0.0032562804220943,10.4673088232032714
17161468,0,0,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1682889275,3495,216059.833783082426118459,216059.833783082426118459,0.0032562804220943,10.4673088232032714
17187068,0,0,3514.96630887377583846286691955,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1683200423,0,217285.16206520413388180217891795,217285.16206520413388180217891795,0,10
17188037,0,24351.27075,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1683212219,0,239437.56091338050679172845,239437.56091338050679172845,0,10
17190684,0,0,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1683244247,0,239437.56091338050679172845,239437.56091338050679172845,0,10
17260475,196399.06260978999999962798,0,196399.06260978999999962798,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1684096259,0,214872.7419523292070211458,214872.7419523292070211458,0,10
17298640,62771.557,0,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1684561487,62771.557,215992.9630273664302163894211,215992.9630273664302163894211,1.0510469372582241,18.395646367920373
17299084,0,0,62666.48078616610012843118,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1684566839,0,215630.13268473376525404782,215630.13268473376525404782,0,10
17312983,0,113594.495384882239236,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1684736027,0,327142.24482520098471442447112802,327142.24482520098471442447112802,0,10
17339033,4373.0442,0,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685052587,4373.0442,329310.0109377150408760219362,329310.0109377150408760219362,0.0021944875816668,10.3836274240934056
17341503,0,200.77832062,0,200.7783207355424584707,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685082599,4337.83852743232828435348,326658.22919834140090566312,326658.22919834140090566312,0.0021944960950769,10.3836281682248516
17342751,0,1793.22160099443531521922,0,1793.22160115736363499083,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685097719,4351.42286356792317523731,327680.86809997845011469537,327680.86809997845011469537,0.0021945003840109,10.383628543107056
17347089,0,202.4760702565194671079,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685150435,4374.5380372787172758961,329622.89080843127165276556,329622.89080843127165276556,0.0021918201356052,10.3833941995763115
17376227,3857.3487576,0,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685504159,8357.7220260561340726757347692,339096.848426255981936175313194,339096.848426255981936175313194,0.0075596820612901,10.7120243520553585
17382721,3169.8,0,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685583155,11411.49035488571182541592,334385.9613111072377275506,334385.9613111072377275506,0.0144931842841154,10.9858821173002891
17385487,0,33955.43904443476946726944,0,33955.43924965163250199104,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685616779,11399.31436750452525246944,334027.34246401328432287072,334027.34246401328432287072,0.0144933420748552,10.9858874840520731
17390815,0,0.1640542625,3937.4052433430581667479582,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685681567,7874.91478740871106043255855,346125.8944688353425460585386,346125.8944688353425460585386,0.0064416718483819,10.6572678364864507
17390992,0,0,0,120561.33916987394072509051,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685683775,7904.35330553970297979971,226858.38108583157104292179,226858.38108583157104292179,0.0151076821100691,11.0065654073563123
17392552,8.545002528346788390740352,0,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685702759,8000.603483300946119566677604,229374.830269391325188974512852,229374.830269391325188974512852,0.0151401005992381,11.0076447868060811
17392925,0.9019682582102440240052401,0,0,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685707391,8020.38008512140480294324764566,229915.78206705209126381466503998,229915.78206705209126381466503998,0.0151435297662426,11.0077588939283362
17407137,210258,0,210259.22737861375437005586,0,0x8a458a9dc9048e005d22849f470891b840296619,MKR,Aave Ethereum MKR,Aave v3,1685880419,8420.92685595120305770992,241390.66249339504081198608,241390.66249339504081198608,0.0151444163411558,11.0077883930177601
