blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
19211968,0,0.99920103,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1707741179,0,0.99920103,0.99920103,0,9
19220156,0,1649.93204293388133,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1707840335,0,1650.93161176388133,1650.93161176388133,0,9
19224904,1651.08092035897173,0,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1707897935,1651.08092035897173,1651.08092035897173,1651.08092035897173,68.8,322
19227214,0,4998296.15,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1707925991,1652.34464357321315,4999948.24151186231101,4999948.24151186231101,0.000000655271777,9.0053701754101727
19228756,3498.349015,0,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1707944651,5150.4772518003397,4999293.32513324816103,4999293.32513324816103,0.0000063683791987,9.016741416368525
19229551,21989.62238,0,1652.12832176024435,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1707954323,25487.97232855942286,4999293.32594686418909,4999293.32594686418909,0.0001559568813786,9.0828476151226121
19229713,124927.03996330418532,0,124.71121371075201,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1707956291,150290.30168686558478,4999293.32643363446632,4999293.32643363446632,0.0054224540515238,9.4885124994955763
19230515,49976.4145,0,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1707966035,200266.82088645443399,4999293.41019310564003,4999293.41019310564003,0.0096283519608226,9.6509591243765767
19231370,61386.02993035,0,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1707976403,261653.05950631704651,4999293.57714531544702,4999293.57714531544702,0.0164355994390421,9.8504925511012288
19231776,3998.11316,0,3997.25003233809485,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1707981323,261654.08364199401802,4999293.70595152759445,4999293.70595152759445,0.0164357270417196,9.8504958526210942
19233231,299858.487,0,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1707998915,561513.15432153660497,4999294.17289416213572,4999294.17289416213572,0.075692640174497,10.8251752334172424
19233641,65099.67831255655446,0,24.9786217736989,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1708003883,626588.6196240023367,4999294.78538310862534,4999294.78538310862534,0.0942537540505526,11.0367000240983793
19234376,31217.6127003938199,4995642.39342,21.20112849598086,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1708012739,657786.61835886620622,9994938.44853288173275,9994938.44853288173275,0.0259872898004268,10.0694444595930165
19235257,199902.974,0,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1708023359,857681.85405678501783,9994805.12784605837856,9994805.12784605837856,0.0441829726275634,10.3944572546015862
19236145,147378.4675815,0,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1708034111,1005062.24708573931817,9994806.66820242259504,9994806.66820242259504,0.0606719901530805,10.6340745290937532
19236234,17991.26766,0,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1708035215,1023053.7801059426396,9994806.88049038534921,9994806.88049038534921,0.0628635968895527,10.6633259128248387
19236729,6496.846655,0,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1708041299,1029552.14194952242948,9994808.09264004976327,9994808.09264004976327,0.0636647237654376,10.6738909820789241
19236804,6246.9679375,0,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1708042199,1035799.33688384601057,9994808.27423690891922,9994808.27423690891922,0.0644396842412777,10.6840479070760034
19237473,278864.64873,0,0,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1708050275,1314666.06439087942839,9994809.93725773604158,9994809.93725773604158,0.1038084893015083,11.1374411963131503
19238764,357506.52701515027119,0,357.14937902545049,0,0x0c0d01abf3e6adfca0989ebba9d6e85dd58eab1e,PYUSD,Aave Ethereum PYUSD,Aave v3,1708065863,1671822.09411431079801,9994815.25891678652012,9994815.25891678652012,0.1678732538792378,11.7181191751677065
