blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
17722729,0,0,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689715031,0,0,0,null,null
17723137,0,171811.259,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689719975,0,171811.259,171811.259,0,9.5
17723507,0,264225.0451840836724243721907942,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689724439,0,436036.3041840836724243721907942,436036.3041840836724243721907942,0,9.5
17723832,0,128581.686682171748931753501588,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689728363,0,564617.9908662554213561256923822,564617.9908662554213561256923822,0,9.5
17724098,0,1154226.1054660338640234772592996,0,499916.6239896211446377829346232,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689731627,0,1218927.4723426681407418200170586,1218927.4723426681407418200170586,0,9.5
17724229,0,149829.1051250576512056349030916,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689733223,0,1368756.5774677257919474549201502,1368756.5774677257919474549201502,0,9.5
17724534,0,16892.9611848939813737501547166,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689736895,0,1385649.5386526197733212050748668,1385649.5386526197733212050748668,0,9.5
17725057,0,52780.4187648,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689743267,0,1438429.9574174197733212050748668,1438429.9574174197733212050748668,0,9.5
17725354,3436.22518,0,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689746879,3436.22518,1438429.9574174197733212050748668,1438429.9574174197733212050748668,0.0000485070338671,9.5253817659658941
17727796,20316.396834,0,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689776555,23702.46384192745277959277185818,1417433.00260753023066979030072899,1417433.00260753023066979030072899,0.002376844830843,9.6776723681657731
17728176,15982.23217608,0,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689781151,39684.70215544170941197151091192,1417433.00751747699982986752104491,1417433.00751747699982986752104491,0.0066628508475235,9.7974743481691684
17729220,0,3537.51333769872068539828176279,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689793751,39684.74932228842525623809834323,1420970.55858863063382537934950897,1420970.55858863063382537934950897,0.0066297330585918,9.7967341270976797
17730034,0,0,0,238462.15520351523783829665264378,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689803531,38873.66555997154734610438118844,1153465.10934612494419093829574732,1153465.10934612494419093829574732,0.0096543041285635,9.8580799166491797
17730508,1326.7432328,13913.09765497381436984103522578,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689809267,40200.43408603100255378930642194,1167378.22723570042248454008861892,1167378.22723570042248454008861892,0.0100799230322561,9.8658879306183135
17731067,597.03445476,1565.56454164757727655656929804,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689816035,40797.50010722512870468955469144,1168943.81703048513472457197249286,1168943.81703048513472457197249286,0.0103537752194754,9.8708248604579501
17732128,100615.37123,0,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689828875,139587.7392231401141166975,1145381.432484186402526125,1145381.432484186402526125,0.126244701304238,10.7948696610844317
17732737,130000,0,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689836207,269588.159455828758976665,1145381.76866981729708119,1145381.76866981729708119,0.4708904914669086,12.0008027390809697
17733315,40625,0,0,0,0xb76cf92076adbf1d9c39294fa8e7a67579fde357,RPL,Aave Ethereum RPL,Aave v3,1689843215,310214.8058710782117718825,1145383.0857998190710282975,1145383.0857998190710282975,0.6235080842801026,12.3776668925268458
