blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
17019320,0,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1681148423,0,0,0,null,null
17032242,0,1.04812,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1681306343,0,1.04812,1.04812,0,18
17042685,0,63267.7730297488084382651643,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1681441643,0,63268.8646697488084382651643,63268.8646697488084382651643,0,18
17044769,0,27.29,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1681467359,0,63293.836364642005873007817,63293.836364642005873007817,0,18
17055710,0,2.7683122,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1681602191,0,64208.3745390384439321067022706,64208.3745390384439321067022706,0,18
17073536,10.19048,10.19048,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1681820543,10.1904811643626626110892,69527.4003418433215810320908,69527.4003418433215810320908,0.0002860691092181,18.0027481470742649
17090365,2691,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1682026475,2700.151197652495997424495,62424.341992416520459234008,62424.341992416520459234008,0.1071493404751589,18.8110271222684416
17091029,0,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1682034647,2700.151197652495997424495,62424.341992416520459234008,62424.341992416520459234008,0.1071493404751589,18.8110271222684416
17097173,100.2952136,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1682109491,2616.45473585289957467187383154,58164.99848190271644597305955986,58164.99848190271644597305955986,0.1123786606589428,18.8434359676322671
17102470,0,13.1801129007420684,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1682173631,2592.05713983317882521831114584,57631.43624458817803431442805406,57631.43624458817803431442805406,0.112357549358807,18.8433060309274525
17106599,0,31.4536776619897224,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1682223611,2612.64331300535206251485305023,58117.16530212554284456813092333,58117.16530212554284456813092333,0.1122913693429332,18.8428986567202461
17115281,0,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1682328827,2612.64331300535206251485305023,58117.16530212554284456813092333,58117.16530212554284456813092333,0.1122913693429332,18.8428986567202461
17125957,0,0,2449.286333510548414411152,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1682458247,106.29083483333437876776,56831.97575431439313544008,56831.97575431439313544008,0.0036896159563743,18.0350671742665847
17140190,12618.612743190776472606554,0,5500.032664758298509243368,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1682630987,7225.377017696492350768527,57087.366712026715399762249,57087.366712026715399762249,0.4420343999750064,20.3731114503679517
17140460,0,0,7118.627226890011716530636,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1682634287,106.786835429378949278223,57087.390790786320351941072,57087.390790786320351941072,0.0036902544008997,18.0350731729073374
17140885,0,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1682639471,106.786835429378949278223,57087.390790786320351941072,57087.390790786320351941072,0.0036902544008997,18.0350731729073374
17161471,0,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1682889311,106.786835429378949278223,57087.390790786320351941072,57087.390790786320351941072,0.0036902544008997,18.0350731729073374
17185205,0,2519.19737,0,2519.19737108530010541241383204,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1683177803,109.45826408712041912887896796,58485.45507017486524569138951355,58485.45507017486524569138951355,0.0036922039024332,18.0350914897168039
17190684,0,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1683244247,109.45826408712041912887896796,58485.45507017486524569138951355,58485.45507017486524569138951355,0.0036922039024332,18.0350914897168039
17204282,0,70453.1305083728521759976448708,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1683409307,103.74985266637899180415658256,125876.1661758839307006090519444,125876.1661758839307006090519444,0.001615511447976,18.0154541536346579
17204442,0,0,0,70453.1305776683400798152093136,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1683411227,103.75004314017576165424655808,55423.03572202343688226486339152,55423.03572202343688226486339152,0.0036930414399872,18.0350993588488315
17225333,0,4.308,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1683665027,93.634458490673715251928,50011.420021942939334930226,50011.420021942939334930226,0.0036936304725325,18.0351048931136643
17240410,0,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1683849047,93.634458490673715251928,50011.420021942939334930226,50011.420021942939334930226,0.0036936304725325,18.0351048931136643
17274523,1027.320408,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1684267667,1120.41116705608047672475933125,49692.2435672246175948717195783,49692.2435672246175948717195783,0.0501623614374682,18.422756145565938
17281432,56055.165,0,56055.165,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1684352027,1306.412946119356150322235,57928.98262543066035168937,57928.98262543066035168937,0.0501746890499166,18.4228486158605479
17299146,0,5.11915,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1684567595,1247.012865127190330047223,55287.436061001592438871768,55287.436061001592438871768,0.0501823620797845,18.4229061695560862
17300930,0,0.240496271,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1684589279,1259.59261843000669217310447473,55844.11615260001571821574021165,55844.11615260001571821574021165,0.0501834163498532,18.4229140772674839
17304169,0,0.23804,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1684628639,1246.7812294647935673395288,55274.0336780140718175438384,55274.0336780140718175438384,0.0501855280352008,18.4229299161836006
17328750,0,0.051584,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1684927727,1351.3452498564059985726848,59890.6019977289024275041728,59890.6019977289024275041728,0.0502033747338913,18.4230637719976789
17340221,0,2.31126011,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685067059,1211.14406325518633144948796737,53671.30412377708916765320471314,53671.30412377708916765320471314,0.0502092844781783,18.4231080948721617
17347569,975.1574532088378877523533989,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685156279,2250.54942484206337233487627794,56512.93710054834188927547840215,56512.93710054834188927547840215,0.0969833986340149,18.7466860122232611
17347602,0,0.0730087953,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685156675,2250.55048366791168836203026322,56513.01079757405027758772968579,56513.01079757405027758772968579,0.096983300915672,18.7466853848995655
17356190,0,0.58416,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685260751,2251.174215514992577944818,56522.448947754965968259286,56522.448947754965968259286,0.0969959087896717,18.7467663223829879
17360150,0,1.046421211,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685308787,2250.8750968235898520170134008,56512.843312587536699235822455,56512.843312587536699235822455,0.0970001294659536,18.746793416776838
17371624,29792.4418933806844737946788624,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685448263,32070.9198450366891426007978812,57196.6361805520434581545912272,57196.6361805520434581545912272,4.9250134711169797,28.5132300519976961
17377981,0,0,28258.2805758667526407721917504,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685525483,2161.1477660757596898622143168,54239.8884192398690150686582384,54239.8884192398690150686582384,0.0970355550471431,18.7470208164226741
17382706,2335.1421,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685582975,4496.2276977496675830887170845,54234.7191616150954133025508086,54234.7191616150954133025508086,0.2453986374421288,19.5543095536130872
17391843,44823.257947067709762856434,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685694131,49356.523471629693100302708,54673.175218895060153788902,54673.175218895060153788902,40.6845248012493096,84.3397555285272121
17392553,8.181394738801460308,0,21244.061536421599760887552,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685702771,28127.83786625181662276115,54677.850947316083638795006,54677.850947316083638795006,4.2274206058715967,27.6442732005893045
17392924,0.8606451722876239191158772,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685707379,28413.35260596357113286173257038,55230.51226545159712832014644024,55230.51226545159712832014644024,4.2277131986080235,27.644651871837999
17397098,0,51699.08134414702029662370395,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685758223,28106.8575631080126459010665,106326.4079841595344866422451,106326.4079841595344866422451,1.3669201252407072,22.956035023766315
17398090,0,0.235165,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685770247,28107.71018784053219172263195,106327.1972982703866102479752,106327.1972982703866102479752,1.3669647270834404,22.9561346655498619
17402926,0,0,0,42.04037241757984937168315942,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685829095,28111.35062478696578356207380262,106285.85347173714720426079804642,106285.85347173714720426079804642,1.3680847694857339,22.9586363680861768
17414013,0,0.0234601109,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1685964359,28054.05031946100404961789241457,106039.2511777402814743169576303,106039.2511777402814743169576303,1.3686419029935336,22.9598804086487729
17419535,0,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686031679,28054.05031946100404961789241457,106039.2511777402814743169576303,106039.2511777402814743169576303,1.3686419029935336,22.9598804086487729
17424356,34046.79,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686090431,61197.964577033494180574626762,102613.438043639301974339651868,102613.438043639301974339651868,5.4975870055127325,29.1820440207261745
17427032,0,0.2246,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686123095,60565.54251407251198407701,101544.11698519796251951552,101544.11698519796251951552,5.4981482141797347,29.1826822579131365
17429802,0,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686156779,60565.54251407251198407701,101544.11698519796251951552,101544.11698519796251951552,5.4981482141797347,29.1826822579131365
17430039,0,988.92896427212565860352,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686159683,58687.581509101051546257664,99380.460584239082709750528,99380.460584239082709750528,5.4013711031869777,29.0721430879027654
17430623,0,288.833176940328676461740302,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686166835,57460.482213022774980793802384,97589.433227777315570140418746,97589.433227777315570140418746,5.3729703615741727,29.0395187172711475
17442791,0,236.9962402004984058065055614,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686315143,55820.7777199901762522735836314,95002.96189385096034709383465695,95002.96189385096034709383465695,5.3516518123172124,29.014973891668746
17447276,37203.64190340406644978001235241,0,37203.64190340406644978001235241,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686369743,52992.2701477481127060940437541,90175.51769879656572034519495562,90175.51769879656572034519495562,5.352608575051545,29.0160764792397775
17449574,0,77.08131840134611329774890697,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686397691,48157.90891302218354510324664114,82019.80509556720049787898626867,82019.80509556720049787898626867,5.3441195180695466,29.0062901689696809
17455768,0,0.17647582,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686473075,47662.615009518661970033306407,81159.6178344812250793799457192,81159.6178344812250793799457192,5.3454184479852393,29.0077880907317554
17457661,0,26.7007357383437692829825462,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686496103,47667.4905105619772087383535262,81189.4864691359197704997968686,81189.4864691359197704997968686,5.3426835178215979,29.0046339693088277
17460789,0,9.94599141159031974012492,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686534155,47628.31795905571891853533938,81124.23352266180713701093086,81124.23352266180713701093086,5.3421801428255636,29.0040533537655034
17464173,260.529852456719089050576,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686575267,49838.17247887386101996943414,84434.9386891870806522377311704,84434.9386891870806522377311704,5.393154968414954,29.062713796590558
17464585,30.7362973341519095698495,0,884.8116175,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686580331,49009.40015540940205842941125875,84476.0534834119470173452517625,84476.0534834119470173452517625,5.2295053037702836,28.8734035144674363
17465548,0,0,0.9708205765161133276325928,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686592079,48493.1489122928724616205134136,83585.188288609376820326836984,83585.188288609376820326836984,5.2295210779311928,28.8734219016288087
17469201,0,0,0,0,0xc7b4c17861357b8abb91f25581e7263e08dcb59c,SNX,Aave Ethereum SNX,Aave v3,1686636587,48493.1489122928724616205134136,83585.188288609376820326836984,83585.188288609376820326836984,5.2295210779311928,28.8734219016288087
