blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
18359618,0,0,0,0,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,STG,Aave Ethereum STG,Aave v3,1697419295,0,0,0,null,null
18378585,0,43.01834570000000207426641448,0,0,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,STG,Aave Ethereum STG,Aave v3,1697648423,0,43.01834570000000207426641448,43.01834570000000207426641448,0,10
18387924,0,491884.92354,0,0,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,STG,Aave Ethereum STG,Aave v3,1697761271,0,491927.76387380000000206568300432,491927.76387380000000206568300432,0,10
18443398,9678.5838,0,0,0,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,STG,Aave Ethereum STG,Aave v3,1698432119,9678.5838,611255.79918090000000256676042376,611255.79918090000000256676042376,0.0031199896811517,10.4574247514292324
18445971,0,0.99717722133323970377956086,0,0,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,STG,Aave Ethereum STG,Aave v3,1698463127,9678.60723979652841083829725649,611256.81510993584996380228803264,611256.81510993584996380228803264,0.0031199943743318,10.4574250954649715
18456550,0,0,9869.8687393204929549245383356,0,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,STG,Aave Ethereum STG,Aave v3,1698591083,0,623329.87103767820264414957193555,623329.87103767820264414957193555,0,10
18458734,0,19088.79829171900005829666871718,0,0,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,STG,Aave Ethereum STG,Aave v3,1698617531,0,642418.66932939720270244673414004,642418.66932939720270244673414004,0,10
18546839,0,2187.381183379024,0,0,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,STG,Aave Ethereum STG,Aave v3,1699683335,0,739307.07676141035402012331333392,739307.07676141035402012331333392,0,10
18578261,1080.27751648247502094252365384,0,0,0,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,STG,Aave Ethereum STG,Aave v3,1700063075,1080.27751648247502094252365384,749147.23705425078740728464066096,749147.23705425078740728464066096,0.0000258768727756,10.0416580538673246
18580607,136565.83998264622619045310496768,0,136565.83998264622619045310496768,0,0x1ba9843bd4327c6c77011406de5fa8749f7e3479,STG,Aave Ethereum STG,Aave v3,1700091371,1057.47840669186670908295431214,733336.43926633386602082987385144,733336.43926633386602082987385144,0.0000258768831769,10.0416580622396175
