blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
16496802,0,0,0,0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674806231,0,0,0,null,null
16497024,0,499.97712,0,0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674808907,0,499.97712,499.97712,0,5
16497355,104.9951952,1778.24578774897536,0,0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674812903,104.9952101993136,2278.22292174833472,2278.22292174833472,0.008495844041603,5.0256035841578602
16497705,649.970256,51251.51016057062688,0,0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674817115,754.96626516275136,53529.73380128606016,53529.73380128606016,0.0007956552171917,5.0078353780683939
16498004,47267.8369248,99.995424,3289.8494496,0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674820727,44733.041622341088,53629.80831866658144,53629.80831866658144,2.7829423913609916,5.4633931475647359
16498080,0,0,0,99.99550499629344,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674821651,44733.09021111756384,53529.85654266915744,53529.85654266915744,2.7933503595296213,5.4642588643995738
16498594,38811.98079948347808,40948.2356529879072,0,2350.01923419873024,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674827867,83546.29229971229472,92129.17211815862208,92129.17211815862208,6.6127831275371021,9.6023760944927738
16498901,128063.7621690682224,119050.46040263157024,1304.50381217382816,0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674831551,210309.35216964149184,211183.05386922212352,211183.05386922212352,55.1354224004504269,63.016233692616351
16499116,328515.56220893761056,485830.465980512064,0,0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674834143,538828.11405315529344,697016.39954395334976,697016.39954395334976,2.3904158059671168,5.4294713774405375
16499277,5546.50772819156352,0,0,0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674836099,544375.77003280046592,697017.4329676617168,697017.4329676617168,2.4398835514071902,5.4338924056806536
16499732,6999.67968,0,21337.02357312,0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674841583,530041.63971362059296,697020.32517630819264,697020.32517630819264,2.3130631985918783,5.4224654999603882
16500084,24298.888032,100995.37824,0,0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674845855,554342.94594695863584,798017.8797907127424,798017.8797907127424,1.9301459526841737,5.38591581318677
16500583,114624.7545312,0,0,1575.03122527290048,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674851891,668971.2717137314176,796446.0626653558992,796446.0626653558992,2.8220203885090506,5.4666352823862268
16500980,2499.8856,0,0,0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,USDC,Aave Ethereum USDC,Aave v3,1674856679,671474.948925219336,796449.47509819582656,796449.47509819582656,2.8431561088641761,5.4683794715694401
