blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
16620256,0,0,0,0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676296343,0,0,0,null,null
16620386,0,198.02376,0,0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676297903,0,198.02376,198.02376,0,5
16620690,198.02376,0,0,0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676301575,198.02376,198.02376,198.02376,68.4,81
16621155,0,250030,0,250030,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676307227,198.05033418852,198.04767486944,198.04767486944,68.4,81
16621385,0,5468.04609380084,0,0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676310023,198.06367878968,5666.10577811124,5666.10577811124,0.0048876455745722,5.1553593298000227
16621771,5000.6,0,5000.61042425076,0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676314691,198.06413384428,5666.11556928604,5666.11556928604,0.0048876492642548,5.1553593884403729
16622381,400.204336,0,0,0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676322047,598.3459429783696,5668.32991321487688,5668.32991321487688,0.0445711329608431,5.4691528112464637
16624432,1091.20218111019024,2.00102168,0,0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676346743,1689.55184198684128,5670.33428060312584,5670.33428060312584,0.3551279660599792,6.3242803143267959
16624492,10.0051084,0,0,0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676347463,1699.55746164788052,5670.33474083811224,5670.33474083811224,0.3593465308603119,6.3321226556441987
16625130,0,1.00051084,0,0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676355191,1699.56300948048832,5671.34024422720384,5671.34024422720384,0.3592213960428629,6.3318906937000331
16626434,2616.49086775057128,10.0051084,0,0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676371019,4316.06546214607596,5681.35577895066748,5681.35577895066748,2.3085057425069569,8.3763928026903278
16627727,100.051084,30.0153252,0,0,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,USDT,Aave Ethereum USDT,Aave v3,1676386619,4416.18885006295024,5711.43617737570108,5711.43617737570108,2.3914560843916578,8.4365185400355673
