blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
20033499,0,1.00152598,0,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717685519,0,1.00152598,1.00152598,0,9
20033684,0,11578.5913841267833538799354112,0,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717687751,0,11579.5929101067833538799354112,11579.5929101067833538799354112,0,9
20033867,0,4846.36102018502812366393795026,0,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717689959,0,16425.95393029181147754387336146,16425.95393029181147754387336146,0,9
20034386,0,1295980.72072859707596240620776936,0,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717696235,0,1312406.67465888888743995008113082,1312406.67465888888743995008113082,0,9
20034726,0,9700782.0344011122,0,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717700339,0,11013188.70906000108743995008113082,11013188.70906000108743995008113082,0,9
20035219,191291.46218,0,0,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717706279,191291.46268685282709566425092536,11013188.7094401407068059590525525,11013188.7094401407068059590525525,0.0025455334012495,9.195404710840711
20035566,85365.646787627980762253888,116135.15457613236368369699285846,29.142615538159292187842,51077.82498,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717710455,276549.4686775429166474246944,11074640.3019962494526001064072,11074640.3019962494526001064072,0.0052613862132182,9.2809284485385437
20036198,1479.0501348919937196291568,0,0,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717718051,278028.7059880530357002171208,11074640.442377918808875325748,11074640.442377918808875325748,0.0053178218940571,9.2824311038303969
20036502,37028.4317730652970625831,0,36.978029695455362638702,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717721723,315020.2524644300716425474136,11074640.5119276673376994491432,11074640.5119276673376994491432,0.0068270243854038,9.3200083839230738
20036643,510612,6586410.64390904,0,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717723415,825632.2958223044406271884252,17661051.1883551117475725521256,17661051.1883551117475725521256,0.0184397075048036,9.5259235805438407
20037076,200240,0,0,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717728671,1025873.0195217769414812309392,17661051.7311294753152925168688,17661051.7311294753152925168688,0.0284687148840715,9.6534758781019176
20037407,259301.4636500744882724567756,1202.2644325070202824556176,0,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717732643,1285175.3298488706169891996768,17662254.6305696855872367606932,17662254.6305696855872367606932,0.0446731152966601,9.8185943619705074
20037712,715152.3547607005194382990348,733996.9460049264282901749624,8662.5260521029090895862648,0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717736303,1991667.2523535056162770342556,18396253.1469214339223070059036,18396253.1469214339223070059036,0.0988982368034871,10.2179792904858053
