blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
16496792,0,0,0,0,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,WETH,Aave Ethereum WETH,Aave v3,1674806111,0,0,0,null,null
16497089,65.17925701919743369687,4825.93284587568237578822,0,1.58587,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,WETH,Aave Ethereum WETH,Aave v3,1674809687,65.18037337495050919123,4824.37607677332492993379,4824.37607677332492993379,0.012221031312648,6.8675531613572713
16497355,790.5694,774.758012,64.9859905089527826988164,0,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,WETH,Aave Ethereum WETH,Aave v3,1674812903,790.5696489571825292312488,5584.7415759002362352954612,5584.7415759002362352954612,0.2012321219759609,7.5077942710030175
16497705,0,41812.50073310451506541632614,0,0,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,WETH,Aave Ethereum WETH,Aave v3,1674817115,788.3588244759301975064476,47380.4391940302089273309495,47380.4391940302089273309495,0.0152608678290214,6.8831945450492891
16497885,0,6306.8548,0,0,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,WETH,Aave Ethereum WETH,Aave v3,1674819287,788.3594103614534186382143,53687.2944920327137227718035,53687.2944920327137227718035,0.0133522388474473,6.8734214127920156
16498232,28279.62461581679046357732118224,82263.80450859639372096082032876,0,31541.40162477733220384919224136,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,WETH,Aave Ethereum WETH,Aave v3,1674823487,29068.17788142873644308070085648,104421.84406253572392405898246992,104421.84406253572392405898246992,0.549487757941286,8.191862848769878
16498587,23650.1815845,112996.53051124321646810289196,0,240.4049048128320744858434388,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,WETH,Aave Ethereum WETH,Aave v3,1674827783,52507.92576184098631388774969,216312.69608043479914513726126,216312.69608043479914513726126,0.4442317124854368,8.0137040577329689
16498885,74895.79433496807385515325763,87189.03897179135103821239608,0,0,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,WETH,Aave Ethereum WETH,Aave v3,1674831359,128426.50617212310758998241412,306475.05810450451158219256164,306475.05810450451158219256164,1.0651631408078129,8.8952192025933776
16499173,255745.14450150300076189419612,1578381.77071536738319734163224,0,0,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,WETH,Aave Ethereum WETH,Aave v3,1674834851,384172.42556121680488582221912,1884857.487474019491575893302,1884857.487474019491575893302,0.3409761949120029,7.8191019594481928
16499419,0,2371.92693,0,0,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,WETH,Aave Ethereum WETH,Aave v3,1674837815,383641.52474034559680565328988,1884625.73569831440995282637624,1884625.73569831440995282637624,0.3403359043968553,7.8178187161734582
