blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
16575788,0,0,0,0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675759427,0,0,0,null,null
16576349,0,180.02963180391805362881623616,0,0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675766207,0,180.02963180391805362881623616,180.02963180391805362881623616,0,9
16579846,0,332060.23807545288893204818759968,0,0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675808495,0,332242.97884892091312781773429024,332242.97884892091312781773429024,0,9
16580304,0,2577822.43233997830392136375726395,0,0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675814003,0,2926746.3845498520490681059736192,2926746.3845498520490681059736192,0,9
16581266,0,470670.06715991489234781901381676,0,0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675825571,0,3402272.92687467821265797694211572,3402272.92687467821265797694211572,0,9
16582125,162231.24173346,0,0,0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675835915,162166.201321660207374649060974,3397245.37049447765019325522643958,3397245.37049447765019325522643958,0.0301280697519547,9.7425384623099529
16582176,111489.26096484,0,0,0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675836527,273655.50151659441136634219974506,3397245.40384005658683552390290874,3397245.40384005658683552390290874,0.0857944072140684,10.2530338091182567
16582612,0,0,273284.7072247888585371437654256,0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675841795,0,3392636.67016007134042354737694304,3392636.67016007134042354737694304,0,9
16583414,0,14330.45065066456458434939487576,0,0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675851491,0,3401581.10502736022641989695486044,3401581.10502736022641989695486044,0,9
16587738,0,21468.32345474541998087888126339,0,0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675903955,0,3324469.19920265293369081593418717,3324469.19920265293369081593418717,0,9
