blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
18663601,0,10.95761909,0,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701095627,0,10.95761909,10.95761909,0,8
18705344,0,213948.7486789420315173882211916,0,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701600215,0,213959.7059493320315173882211916,213959.7059493320315173882211916,0,8
18707010,50131.44300609373637333078237388,0,0,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701620399,50131.44300609373637333078237388,213870.4224958923517012046250888,213870.4224958923517012046250888,0.3090590629309949,11.8090164097593687
18710246,149354.973,0,149354.973,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701659591,50135.07270304868797518875981724,213873.68919808272359584518616872,213873.68919808272359584518616872,0.3090933268992062,11.8092275480428169
18711541,9956.9982,0,0,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701675239,60092.4353707322432864118810885,213874.01721724897206098904378696,213874.01721724897206098904378696,0.4440628693750547,12.5657731767158391
18713441,44806.4919,0,0,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701698231,104899.81105302461313446890919862,213874.81261607095606858911214368,213874.81261607095606858911214368,1.3531647422998617,15.9701673175082618
18713494,3982.79928,0,0,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701698879,108882.6764080490000425075125927,213874.87208343856525835650576308,213874.87208343856525835650576308,1.4578692251467354,16.2727783027932153
18716168,0,0,0,94466.44485,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701731159,108742.29276567098926482852901761,119128.90249032741040396084044921,119128.90249032741040396084044921,41.1766408052471675,190.2082618659322275
18717981,0,69920.4945447570620736581678199,0,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701753131,108780.27385805259855684903197055,189083.57380684288169040469383048,189083.57380684288169040469383048,1.8616320418714669,17.3484374076972218
18723080,72707.19262,0,0,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701814787,181671.75068908543714026507483424,189396.6301953961043218958170752,189396.6301953961043218958170752,59.2840533131357649,259.7778304687183739
18725446,0,0,32969.20768579998739781108624252,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701843491,148815.70556629526372329866420646,189498.44203915228613171405280332,189498.44203915228613171405280332,3.4684178553741855,20.7602096111988927
18726232,7529.6763864,0,0,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701852995,156347.58303488902603531507196724,189500.42282205071792504509843742,189500.42282205071792504509843742,11.1303366490103109,58.4653935139753182
18728470,0,0,45427.33270460033719371002963716,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701880103,110777.293767775820973540556608,189320.8695578053698241514166854,189320.8695578053698241514166854,1.9254818953316503,17.5074012150629391
18731733,31838.40128,0,0,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701919655,142620.775601236576156372139714,189325.44148990819185393733857504,189325.44148990819185393733857504,3.191392485034151,20.2400223534968758
18739746,40696.08301816095916615541711936,0,39860.23062759057038877651481752,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1702016819,143559.55992468095888211276299814,189451.12510702391096540835804004,189451.12510702391096540835804004,3.2291684020627574,20.3122506737148004
18742405,45604.38099623844099439721468185,0,45604.5123100430112799144172667,0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1702048955,143698.28474502432276989447340805,189631.23915972721678536107329355,189631.23915972721678536107329355,3.2292437072009305,20.3123942354956253
18743323,0,0,0,45953.993366,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1702060067,143700.68252869330661903420479655,143679.4035199060604469143291953,143679.4035199060604469143291953,76.4941997084117721,320.9800675080518711
