blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
19859211,0,29.1975744493,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1715580587,0,29.1975744493,29.1975744493,0,7
19870336,0,1464969.21882489976135110588733397,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1715715251,0,1464998.51725187306135110588733397,1464998.51725187306135110588733397,0,7
19876362,0,151600.9546195,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1715787935,0,1667690.36060661276564126188204551,1667690.36060661276564126188204551,0,7
19945675,0,15242.42301984,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1716625415,0,2111175.95509057479861755689469064,2111175.95509057479861755689469064,0,7
19953904,0,18712.33727230137086801223010613,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1716724703,0,2162728.41669132825640290979329644,2162728.41669132825640290979329644,0,7
19953944,0,0,0,18712.346176214368112953881967,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1716725183,0,2144017.099608667444176977697429,2144017.099608667444176977697429,0,7
19979624,10545.586066125,0,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717035383,10545.586066125,2124557.2505022659180074386078255,2124557.2505022659180074386078255,0.0003257684457511,7
19979927,0,0,10569.90760278506243473092301793,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717039055,0,2129456.9769193948542999302989965,2129456.9769193948542999302989965,0,7
19984084,96.13912583975,0,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717089371,96.13912583975,2130544.3170457489346960126398215,2130544.3170457489346960126398215,0.000000026923012,7
19995126,0,156991.118199364998452733965274,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717222679,96.3349715571874654229698021,2291875.51933538875949262936335735,2291875.51933538875949262936335735,0.0000000233609418,7
20010404,0,167657.331974295697175725648818,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717406927,97.32325782860663809628814276,2483044.77594530622850219803840276,2483044.77594530622850219803840276,0.0000000203127454,7
20031387,93.59683980768065111811372723,0,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717660007,191.41240778449673124570969975,2495605.1472826517690902292544663,2495605.1472826517690902292544663,0.0000000777844668,7
20032533,4544.311273881595878137247571,4544.3194432664916714437692224,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717673843,4736.0278771039989020300843952,2504008.207040640342298521232968,2504008.207040640342298521232968,0.0000473000343444,7
20037684,0,0,0,4494.30084580041766484321810637,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717735967,4683.9018859134560519966739597,2471954.93563065813166622082726264,2471954.93563065813166622082726264,0.0000474721533241,7
20052565,0,2651.32412402536056988658162747,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717915511,4532.5173402118564355217105989,2394708.22823805644500773994991376,2394708.22823805644500773994991376,0.0000473672516412,7
20054122,714.4088038267,0,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717934363,5258.73594807624832272843756431,2400947.39303852972443512963683601,2400947.39303852972443512963683601,0.0000634310486591,7
20054387,2673.14005696790088543881263605,0,0,0,0x927709711794f3de5ddbf1d176bee2d55ba13c21,osETH,Aave Ethereum osETH,Aave v3,1717937543,7931.89710415220428924006351148,2400955.5259321966495816280751227,2400955.5259321966495816280751227,0.0001443079852836,7
