blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
18013572,0,0,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693230899,0,0,0,null,null
18013824,0,8226395.72313956822629035970100956,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693233947,0,8226401.82532034532363604740813216,8226401.82532034532363604740813216,0,8
18014415,0,4358239.88570658651363080555799106,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693241111,0,12584930.51645839856776807020705132,12584930.51645839856776807020705132,0,8
18014548,0,105.06496906291472195347877694,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693242743,0,12585061.92356559383937397676629002,12585061.92356559383937397676629002,0,8
18016037,0,11781354.11505495127685781689035127,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693260731,0,24364961.84289197553897699237425513,24364961.84289197553897699237425513,0,8
18017708,0,8225480.46823402807290713536311563,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693280951,0,32590301.2800388902440543100396537,32590301.2800388902440543100396537,0,8
18018032,0,1372742.22158825323396568070068052,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693284911,0,33967854.90823409877472762066187832,33967854.90823409877472762066187832,0,8
18018290,0,3232437.62732956352775509852939392,0,1625257.01175,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693288019,0,35573148.05951170782405990849990685,35573148.05951170782405990849990685,0,8
18018423,0,45783.67619916138378099824894845,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693289615,0,35622575.5452121637520603046764318,35622575.5452121637520603046764318,0,8
18019168,0,19226.025121192576439425432611,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693298675,0,35645742.432184781595484959314415,35645742.432184781595484959314415,0,8
18019682,0,174988.7167479508766743898559495,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693304903,0,35818584.72921814989736188734995575,35818584.72921814989736188734995575,0,8
18020391,0,805353.2768855570314875084247738,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693313543,0,36623440.0010899197979485613905121,36623440.0010899197979485613905121,0,8
18020439,0,0,0,103.209559,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693314119,0,36624851.68931730897303461989011591,36624851.68931730897303461989011591,0,8
18021308,0,1499992.06960534270388014497045,0,516083.365,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693324631,0,37611359.03172269690921283573620365,37611359.03172269690921283573620365,0,8
18024383,0,5000264.34264987973301329535195614,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693361795,0,42610225.56844919803740441281563215,42610225.56844919803740441281563215,0,8
18025113,0,0,0,5780325.208,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693370603,0,36832820.8776913832951319195947248,36832820.8776913832951319195947248,0,8
18025626,0,0,0,6005519.22682784378149835295463797,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693376819,0,30828208.37515911695958434990406118,30828208.37515911695958434990406118,0,8
18026039,0,5805292.13378099070180768178807994,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693381811,0,36628486.18147938966435551588461138,36628486.18147938966435551588461138,0,8
18026226,0,252347.25240232856468602186486089,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693384091,0,36880983.20465653563405023176213575,36880983.20465653563405023176213575,0,8
18027661,0,248242.6265903305074492566517807,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693401491,0,37131679.7682952735976989220059512,37131679.7682952735976989220059512,0,8
18030614,0,13827.78029781150736062971318988,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693437239,0,37146006.17217112096155022017242028,37146006.17217112096155022017242028,0,8
18031101,0,49139.61320907586928667871567284,0,0,0x4c612e3b15b96ff9a6faed838f8d07d479a8dd4c,sDAI,Aave Ethereum sDAI,Aave v3,1693443191,0,37196147.72259949579932669406357248,37196147.72259949579932669406357248,0,8
