blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
16496795,0,0,0,0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674806147,0,0,0,null,null
16497086,0,316.98527918481777677681294119,0,0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674809651,0,316.98527918481777677681294119,316.98527918481777677681294119,0,7.5
16497333,0,85962.720197133320060146593681,0,0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674812639,0,86278.75979933910272359862464818,86278.75979933910272359862464818,0,7.5
16497613,0,15777.88231886473061009798901343,0,10846.30574009586275211107746651,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674816011,0,91098.23949514724424981788880629,91098.23949514724424981788880629,0,7.5
16497962,0,157311.96259017004001283761167587,0,0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674820223,0,248273.42819787428243843509135776,248273.42819787428243843509135776,0,7.5
16498232,0,66672.52055118646249261661945342,0,0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674823487,0,315041.0287388293044717723216707,315041.0287388293044717723216707,0,7.5
16498600,0,302708.02786902388053122638087352,0,0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674827939,0,615438.40779640197515179550378376,615438.40779640197515179550378376,0,7.5
16498883,832816.20862092710444696672064748,1485386.71263863791180932431986481,249515.21127812929308322433067652,74549.32514749396298730601339432,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674831335,589055.9403889796192160297618732,2022345.18258441431376726590611624,2022345.18258441431376726590611624,0.7830385851383555,10.0890991996645127
16499116,52558.6720692,886279.84600502115502714116788256,0,1576.76025155782279517344510724,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674834143,641052.15260459535928910867819228,2905112.72837485064903629067212192,2905112.72837485064903629067212192,0.4607758286032553,9.4614524427782344
16499277,0,17063.12928524613376451969918206,0,0,0x0b925ed163218f6662a35e0f0371ac234f9e9371,wstETH,Aave Ethereum wstETH,Aave v3,1674836099,636975.10471809976321804564359766,2903695.96580098993989097290721392,2903695.96580098993989097290721392,0.4556513375565831,9.4499285826508395
