,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,17539726,0.0,0.0,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687492355,0.0,0.0,0.0,,
1,17557023,0.0,3103.9856227748855,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687702499,0.0,3103.9856227748855,3103.9856227748855,0.0,12.0
2,17559112,0.0,0.0,0.0,3103.9856227748855,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687727915,0.0,0.0,0.0,0.0,12.0
3,17567013,0.0,5033.599410055044,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687824011,0.0,5033.599410055044,5033.599410055044,0.0,12.0
4,17574371,0.0,418934.72828632913,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687913567,0.0,424173.94038645,424173.94038645,0.0,12.0
5,17574426,0.0,10444.500411067744,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687914227,0.0,434618.4407975178,434618.4407975178,0.0,12.0
6,17575865,2.2054851,0.0,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687931627,2.2054851,425904.0713048055,425904.0713048055,4.290468e-10,12.000149597100128
7,17579110,0.0,8821.948693457927,0.0,8821.948693457927,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1687970939,2.2054851028463363,425904.0713048078,425904.0713048078,4.290468e-10,12.00014959710032
8,17582191,0.0,1174.275134076678,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1688008175,2.1136438878125117,409342.77051192126,409342.77051192126,4.265887e-10,12.000149167953667
9,17583673,0.0,6041.455370873525,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1688026151,2.1564276466894383,423670.0217886065,423670.0217886065,4.145093e-10,12.000147040846597
10,17588956,4312.85528,0.0,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1688090075,4315.011707651139,423670.0217886101,423670.0217886101,0.0016596957016345,12.294228733131334
11,17598322,0.0,1908.25316396328,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1688203715,4609.415773196458,454481.0839514293,454481.0839514293,0.001645811576584,12.292995468533348
12,17601444,0.0,0.0,2.324099069948678,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1688241719,4648.198115886879,458533.0021353759,458533.0021353759,0.0016441749552275,12.292849752608593
13,17618747,0.0,0.0,0.0,432860.6885802061,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1688451719,4650.956683071729,25938.30442318331,25938.30442318331,0.5144237198334516,17.18001884773769
14,17653849,0.0,24001.309929645406,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1688877743,4632.351458199483,49825.135046202086,49825.135046202086,0.1382986592106781,14.685838111290987
15,17668502,0.0,0.0,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1689055799,4632.351458199483,49825.135046202086,49825.135046202086,0.1382986592106781,14.685838111290987
16,17675985,0.0,575.2890367292462,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1689146711,4715.641147234552,51289.304598857125,51289.304598857125,0.1352525049351168,14.656094397564996
17,17692183,0.0,2526.83439624,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1689343583,5017.478075329933,57093.2414081808,57093.2414081808,0.1235712294058414,14.538806087246135
18,17699110,0.0,1001.7244196428823,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1689428063,4881.963691382698,56550.53333438723,56550.53333438723,0.1192424385789688,14.493941555336423
19,17699727,1.1707012944,0.0,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1689435707,4883.154823927857,56550.54967926306,56550.54967926306,0.1193005465300296,14.494549141800272
20,17738890,0.0,4201.289054343937,0.0,4201.289197239552,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1689910703,5066.2450227235795,58656.666181205466,58656.666181205466,0.1193572574733742,14.4951419782583
21,17747585,0.0,331.92588,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1690015811,4940.361473399114,57528.054707798336,57528.054707798336,0.117996321711053,14.480876137624977
22,17747727,0.0,0.0,0.0,331.92590131180634,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1690017527,4940.366090547634,57196.13250016285,57196.13250016285,0.1193700186565072,14.495275359811172
23,17753372,0.230544,0.0,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1690085759,4810.09478691896,55683.335138345785,55683.335138345785,0.1193896156819857,14.495480176600744
24,17761575,0.0,4765.168322929116,0.0,4765.168388982378,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1690184903,4771.93661937822,55238.81079343181,55238.81079343181,0.1194014612279374,14.495603971253004
25,17778271,0.0,0.0,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1690386791,4771.93661937822,55238.81079343181,55238.81079343181,0.1194014612279374,14.495603971253004
26,17810620,0.0,4334.270908191968,0.0,4334.270923428929,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1690777895,4751.427197856814,54985.465375330576,54985.465375330576,0.1194723596793372,14.496344783792969
27,17818266,0.0,0.0,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1690870187,4751.427197856814,54985.465375330576,54985.465375330576,0.1194723596793372,14.496344783792969
28,17825641,7.32228170054e-05,0.0,7.32228170054e-05,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1690959107,4949.404727632878,57271.56952548634,57271.56952548634,0.1194940402188921,14.496571278217385
29,17826213,98.7948071,0.0,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1690966019,5048.218284420684,57271.5845251822,57271.5845251822,0.1243129218712623,14.546413830056352
30,17835628,0.0,43970.078917907886,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1691079695,4746.35303814046,97813.8488553974,97813.8488553974,0.0376736733167414,13.401812185880958
31,17847413,0.0,2238.2831522882416,0.0,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1691222111,4511.1544367668375,95201.19320571682,95201.19320571682,0.0359260000653111,13.368911211379768
32,17847923,0.0,0.0,88.2748637,0.0,0x545bd6c032efdde65a377a6719def2796c8e0f2e,ENS,Aave Ethereum ENS,Aave v3,1691228279,4422.8879348768005,95201.19989514531,95201.19989514531,0.0345338716706161,13.342126596153705
