,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20139378,0.0,36.3225541457,0.0,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1718964251,0.0,36.3225541457,36.3225541457,0.0,7
1,20162270,0.0,2396218.764704,0.0,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1719240887,0.0,2388435.3734659064,2388435.3734659064,0.0,7
2,20173082,0.0,102.30969046630372,0.0,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1719371399,0.0,2466264.909220454,2466264.909220454,0.0,7
3,20173838,0.0,51.24593961781248,0.0,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1719380483,0.0,2452151.800462184,2452151.800462184,0.0,7
4,20203539,84062.61370704,0.0,84062.61370704,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1719738887,0.0069940194243603,2452014.2246142863,2452014.2246142863,1e-16,7
5,20223907,0.0,0.0,0.0069244568016863,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1719984659,0.0,2427626.4541480686,2427626.4541480686,0.0,7
6,20228486,1689.24245417,0.0,0.0,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720039859,1689.24245417,2365120.765366049,2365120.765366049,6.7449973678e-06,7
7,20237656,441901.2843697879,0.0,441901.2843697879,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720150523,1513.5339674119864,2119109.1970229372,2119109.1970229372,6.7450026235e-06,7
8,20239274,11831.1646826,0.0,0.0,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720170071,13310.060946356856,2070612.5701494247,2070612.5701494247,0.0005463448421318,7
9,20245995,3107.68542198,0.0,0.0,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720251107,17092.306466271355,2175546.621753747,2175546.621753747,0.0008161481536019,7
10,20248289,0.0,25017.416688346413,0.0,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720278803,17155.519345059078,2208607.5856175567,2208607.5856175567,0.0007977651661164,7
11,20249037,221.0206955278,0.0,0.0,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720287803,17586.994346579933,2235700.7810343206,2235700.7810343206,0.0008182016272143,7
12,20251883,380070.6441768,0.0,317018.462771,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720322099,80612.322492749,2232281.220842767,2232281.220842767,0.0172428678997506,7
13,20252250,0.0,4104.502100881,0.0,0.0,0x1c0e06a0b1a4c160c17545ff2a951bfca57c0002,ETHx,Aave Ethereum ETHx,Aave v3,1720326527,80732.57142005948,2239713.8945005545,2239713.8945005545,0.0171797533351055,7
