,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,18366741,0.0,0.0,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1697505179,0.0,0.0,0.0,,
1,18367291,0.0,6.6624025,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1697511803,0.0,6.6624025,6.6624025,0.0,12.0
2,18368219,0.0,0.65929379,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1697523059,0.0,7.25223169,7.25223169,0.0,12.0
3,18374875,0.0,2457.488225988905,0.0,2457.488225988905,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1697603495,0.0,7.5061536,7.5061536,0.0,12.0
4,18419980,0.0,37643.7215,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1698148823,0.0,37652.00311873,37652.00311873,0.0,12.0
5,18469737,10451.82123,0.0,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1698750791,10451.82123,38718.96529878,38718.96529878,1.1658869533116143,19.798284377436964
6,18538622,5803.63,0.0,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1699584011,17012.322047699603,41476.39251428069,41476.39251428069,2.691399182307245,23.848405396303836
7,18558235,0.0,87.451428,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1699821119,17955.46549165686,43845.11025853115,43845.11025853115,2.682625840340898,23.82907809534127
8,18560811,0.0,42652.0875,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1699852199,17516.006671235536,85421.7703732532,85421.7703732532,0.6726585329205202,17.923360638538533
9,18570882,0.0,124.9583235,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1699973831,17108.322782746513,83547.51176061532,83547.51176061532,0.6708167197655721,17.91524567287684
10,18576921,0.0,205.14293,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700046827,16853.54314203164,82501.92958094388,82501.92958094388,0.6675857607062626,17.900983218957602
11,18587625,0.0,0.0,0.0,391.9370484029951,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700176091,16101.780562797649,78418.90221409836,78418.90221409836,0.6744547599441546,17.93126405943675
12,18605473,0.0,0.0,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700392247,16101.780562797649,78418.90221409836,78418.90221409836,0.6744547599441546,17.93126405943675
13,18626198,11922.384,0.0,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700643011,27238.708425810175,74561.97456105612,74561.97456105612,2.1351891852957534,22.553318071556404
14,18630681,38703.852421750424,0.0,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700697191,66200.58216052681,73002.96794708374,73002.96794708374,187.2641764464614,274.14728581904353
15,18631127,6737.49765,0.0,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700702567,74704.11496679265,74941.41061268466,74941.41061268466,244.94802384690513,323.19922418586316
16,18631714,0.0,1042.4445627853563,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700709659,72054.42954205259,73315.62360506089,73315.62360506089,235.39332026501324,315.4725401189449
17,18632738,0.0,1622.9660434881262,5779.285001877928,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700722067,66359.40233788655,75005.94877875812,75005.94877875812,173.94707413810715,261.8853003019563
18,18634439,0.0,70.738383425602,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700742587,65792.01844032538,74400.52500211123,74400.52500211123,173.55306361082077,261.5162114709105
19,18635602,0.0,0.0,3005.571245820649,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700756639,62962.98379248719,74576.22083011773,74576.22083011773,150.88924767182027,239.61584994750444
20,18637919,0.0,0.0,5892.514902139261,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700784719,58508.20810670761,76229.69603336358,76229.69603336358,111.39200722719607,197.65067553377153
21,18639869,0.0,33.214314901093594,0.0,17673.045122552154,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700808383,57992.96772381111,57878.7139001499,57878.7139001499,247.2,325.0
22,18640635,0.0,18253.425,0.0,18253.425,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700817671,58629.861464425856,58504.01387504456,58504.01387504456,247.2,325.0
23,18642147,0.0,47.22666242432766,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700835947,58734.946477157966,58635.05301374801,58635.05301374801,246.65109425974168,324.5617719401964
24,18645041,0.0,132.3416316844381,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700870963,58343.16088075856,58336.03521824742,58336.03521824742,245.11220983423007,323.33077180618494
25,18645859,0.0,90.72987651241316,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700880827,59005.61994712258,59077.64533049239,59077.64533049239,244.076229129004,322.5000501356488
26,18646122,0.0,285.2559808717647,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700884019,59023.88452109061,59377.46267181795,59377.46267181795,240.84844365473407,319.9013047973229
27,18646878,0.0,36905.794978737074,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700893139,59075.74163738617,96324.58542965965,96324.58542965965,47.648496115767216,113.3308377778809
28,18647232,0.0,0.0,37104.60836136,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700897423,21978.944717871273,96330.8203254876,96330.8203254876,0.829206142381881,18.57661021128314
29,18655462,0.0,0.0,0.0,0.0,0x5b502e3796385e1e9755d7043b9c945c3accec9c,KNC,Aave Ethereum KNC,Aave v3,1700997023,21978.944717871273,96330.8203254876,96330.8203254876,0.829206142381881,18.57661021128314
