,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20033499,0.0,1.00152598,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717685519,0.0,1.00152598,1.00152598,0.0,9.0
1,20033684,0.0,11578.591384126785,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717687751,0.0,11579.592910106783,11579.592910106783,0.0,9.0
2,20033867,0.0,4846.361020185028,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717689959,0.0,16425.953930291813,16425.953930291813,0.0,9.0
3,20034386,0.0,1295980.720728597,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717696235,0.0,1312406.6746588887,1312406.6746588887,0.0,9.0
4,20034726,0.0,9700782.034401111,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717700339,0.0,11013188.70906,11013188.70906,0.0,9.0
5,20035219,191291.46218,0.0,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717706279,191291.4626868528,11013188.70944014,11013188.70944014,0.0025455334012495,9.195404710840712
6,20035566,85365.64678762798,116135.15457613237,29.142615538159287,51077.82498,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717710455,276549.46867754287,11074640.301996248,11074640.301996248,0.0052613862132182,9.280928448538544
7,20036198,1479.0501348919936,0.0,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717718051,278028.70598805306,11074640.442377917,11074640.442377917,0.0053178218940571,9.2824311038304
8,20036502,37028.4317730653,0.0,36.97802969545536,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717721723,315020.25246443006,11074640.511927668,11074640.511927668,0.0068270243854038,9.320008383923073
9,20036643,510612.0,6586410.64390904,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717723415,825632.2958223043,17661051.18835511,17661051.18835511,0.0184397075048036,9.52592358054384
10,20037076,200240.0,0.0,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717728671,1025873.0195217768,17661051.731129475,17661051.731129475,0.0284687148840715,9.653475878101917
11,20037407,259301.46365007447,1202.2644325070203,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717732643,1285175.3298488706,17662254.630569685,17662254.630569685,0.0446731152966601,9.81859436197051
12,20037712,715152.3547607005,733996.9460049263,8662.526052102909,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717736303,1991667.2523535057,18396253.146921437,18396253.146921437,0.0988982368034871,10.217979290485804
13,20037993,188558.06785558324,50582.25530278544,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717739711,2180228.2516277614,18446837.60078773,18446837.60078773,0.1178619930565557,10.329635249174876
14,20038126,19352.45568231299,0.0,19.32986581504805,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717741307,2199562.84482871,18446838.70132562,18446838.70132562,0.1199616790090014,10.34142654854264
15,20038599,309309.60214048246,0.0,130.9479446941454,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717747007,2508747.167916753,18446842.95299232,18446842.95299232,0.1560570198952251,10.52998539157352
16,20038755,200240.0,1702040.0,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717748879,2708989.520201822,20148884.71720536,20148884.71720536,0.1525198024791773,10.51254654050302
17,20038999,48423.38549486204,0.0,25.63792217024549,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717751807,2757391.0767263845,20148887.573916923,20148887.573916923,0.1580185788788238,10.539570941263298
18,20039482,142470.76,0.0,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717757615,2899869.8185025593,20148893.56024353,20148893.56024353,0.174770480314208,10.619122356313172
19,20039787,4198171.80828559,30940.927148967334,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717761299,7098057.885233064,20179846.681218445,20179846.681218445,1.0438946110748737,12.957072044595993
20,20040059,2865190.3478989243,0.0,11.754796167632955,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717764575,9963276.594186762,20179876.768052835,20179876.768052835,2.056743955592277,14.55438199387512
21,20040955,136108.24793229028,540648.0,83.00120723101331,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717775435,10099492.966037571,20720668.11060923,20720668.11060923,2.0044836993754966,14.483361696134265
22,20041094,487911.8461924353,0.0,487.27191887601543,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717777103,10586946.831468614,20720690.07887241,20720690.07887241,2.202640513335139,14.748009020524156
23,20042485,299148.8718400092,60494.7169310575,255.4160321817521,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717793915,10886164.990778003,20781428.319542248,20781428.319542248,2.315294513033664,14.89316703441409
24,20042541,16409.044073318455,26520.26576120108,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717794587,10902587.715759212,20807958.845904868,20807958.845904868,2.316366573938413,14.894531245915674
25,20043012,1377492.477275167,2455574.341232461,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717800287,12281286.093326097,23265699.19934779,23265699.19934779,2.3510516338972764,14.938499348190511
26,20043964,345448.5,485947.120057814,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717811759,12626999.917498546,23751845.30889405,23751845.30889405,2.3845698612830333,14.980681225349292
27,20044112,326423.8,14978452.6066687,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717813535,12953460.209030205,38730325.28394385,38730325.28394385,0.9437938251377171,12.76256659436956
28,20044581,0.0,19980673.1846429,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717819163,12953544.710970795,58711061.84444493,58711061.84444493,0.4107210211592093,11.482098974132205
29,20044804,50065.0,0.0,0.0,540717.616575683,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717821851,13003637.159257349,58170364.81396751,58170364.81396751,0.4216338918860107,11.514857526439652
30,20045425,2565174.486970069,882824.1224,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717829351,15568901.02572504,59053255.97056633,59053255.97056633,0.586458599478591,11.965953302427208
31,20045548,0.0,0.0,0.0,700910.4549028297,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717830851,15568922.989512123,58352361.98840409,58352361.98840409,0.6006331007150253,12.001582334490488
32,20045901,0.0,103790.46246866496,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717835111,15568986.116156416,58456199.79549924,58456199.79549924,0.5985056864463169,11.996261887201243
33,20046289,1501.95,0.0,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717839767,15570556.938906789,58456251.44964985,58456251.44964985,0.598625053638829,11.996560662590102
34,20046525,112145.6,0.0,0.0,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717842611,15682744.740557164,58456283.10067287,58456283.10067287,0.6072815898294439,12.01814907641118
35,20046799,5764.894022067681,0.0,5.746766226489152,0.0,0x4f5923fc5fd4a93352581b38b7cd26943012decf,USDe,Aave Ethereum USDe,Aave v3,1717845911,15688553.418092595,58456320.248092,58456320.248092,0.6077305011319984,12.019264399978905
