,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,16496800,0.0,0.0,0.0,0.0,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,WBTC,Aave Ethereum WBTC,Aave v3,1674806207,0.0,0.0,0.0,,
1,16498211,0.0,14195.774423905212,0.0,0.0,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,WBTC,Aave Ethereum WBTC,Aave v3,1674823235,0.0,14195.774423905212,14195.774423905212,0.0,9.0
2,16498545,0.0,3406.0515668829344,0.0,0.0,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,WBTC,Aave Ethereum WBTC,Aave v3,1674827267,0.0,17594.31063627186,17594.31063627186,0.0,9.0
3,16498670,0.0,61090.02310788288,0.0,0.0,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,WBTC,Aave Ethereum WBTC,Aave v3,1674828779,0.0,78647.07500060403,78647.07500060403,0.0,9.0
4,16499116,0.0,41823.427695869665,0.0,0.0,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,WBTC,Aave Ethereum WBTC,Aave v3,1674834143,0.0,120948.17211196684,120948.17211196684,0.0,9.0
5,16499351,0.0,1274.1714786989603,0.0,0.0,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,WBTC,Aave Ethereum WBTC,Aave v3,1674836999,0.0,122376.25757662769,122376.25757662769,0.0,9.0
6,16499772,0.0,990.105948774012,0.0,2266.901009526972,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,WBTC,Aave Ethereum WBTC,Aave v3,1674842087,0.0,121351.44127900126,121351.44127900126,0.0,9.0
7,16500685,5797.082467316717,0.0,0.0,0.0,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,WBTC,Aave Ethereum WBTC,Aave v3,1674853115,5797.082467316717,121341.76973054938,121341.76973054938,0.0284036283150906,9.743164028188547
8,16501986,16398.026832019852,0.0,0.0,0.0,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,WBTC,Aave Ethereum WBTC,Aave v3,1674868811,22205.02701890412,121548.93025424537,121548.93025424537,0.4153132738120966,11.841748736197424
9,16502517,0.0,46101.26144115097,0.0,0.0,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,WBTC,Aave Ethereum WBTC,Aave v3,1674875195,22161.286312525543,167410.16222013475,167410.16222013475,0.2180728773003072,11.059200317479087
