,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,16575788,0.0,0.0,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675759427,0.0,0.0,0.0,,
1,16576349,0.0,180.02963180391805,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675766207,0.0,180.02963180391805,180.02963180391805,0.0,9.0
2,16579846,0.0,332060.23807545286,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675808495,0.0,332242.9788489209,332242.9788489209,0.0,9.0
3,16580304,0.0,2577822.4323399784,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675814003,0.0,2926746.384549852,2926746.384549852,0.0,9.0
4,16581266,0.0,470670.0671599149,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675825571,0.0,3402272.9268746786,3402272.9268746786,0.0,9.0
5,16582125,162231.24173346,0.0,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675835915,162166.2013216602,3397245.3704944775,3397245.3704944775,0.0301280697519547,9.742538462309954
6,16582176,111489.26096484,0.0,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675836527,273655.5015165944,3397245.4038400566,3397245.4038400566,0.0857944072140684,10.253033809118255
7,16582612,0.0,0.0,273284.70722478884,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675841795,0.0,3392636.6701600715,3392636.6701600715,0.0,9.0
8,16583414,0.0,14330.450650664565,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675851491,0.0,3401581.10502736,3401581.10502736,0.0,9.0
9,16587738,0.0,21468.323454745416,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675903955,0.0,3324469.199202653,3324469.199202653,0.0,9.0
10,16587934,0.0,512046.64628432726,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675906307,0.0,3835501.1861812337,3835501.1861812337,0.0,9.0
11,16588241,0.0,270943.9101732728,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675910003,0.0,4110656.7743785465,4110656.7743785465,0.0,9.0
12,16588925,0.0,437898.2742772431,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675918259,0.0,4470239.782059487,4470239.782059487,0.0,9.0
13,16589076,0.0,18046.48688710884,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675920083,0.0,4494084.3055466255,4494084.3055466255,0.0,9.0
14,16589550,0.0,920009.7627408152,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675925783,0.0,5446992.720734223,5446992.720734223,0.0,9.0
15,16589672,0.0,889158.9084816877,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675927271,0.0,6334177.975583524,6334177.975583524,0.0,9.0
16,16590756,0.0,168240.1679315054,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675940375,0.0,6501392.516677786,6501392.516677786,0.0,9.0
17,16590912,0.0,0.0,0.0,168240.00614575588,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675942283,0.0,6333152.510532031,6333152.510532031,0.0,9.0
18,16591731,0.0,471234.9529812011,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675952171,0.0,6829944.7904272545,6829944.7904272545,0.0,9.0
19,16592069,0.0,1541661.0140869163,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675956251,0.0,8366838.765106098,8366838.765106098,0.0,9.0
20,16592423,0.0,16237.1377628,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675960499,0.0,8383778.840339197,8383778.840339197,0.0,9.0
21,16592818,0.0,852132.4374490395,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675965299,0.0,9224175.423680209,9224175.423680209,0.0,9.0
22,16592980,0.0,547388.7475581235,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675967255,0.0,9829419.18180514,9829419.18180514,0.0,9.0
23,16593289,0.0,0.0,0.0,190246.975974,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675970987,0.0,9362506.579045856,9362506.579045856,0.0,9.0
24,16593898,157919.569278477,1198153.6148295137,157919.569278477,196436.31036337087,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675978367,0.0046071314139197,10028324.738342475,10028324.738342475,0.0,9.000000007146406
25,16594216,0.0,145552.7013046325,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675982207,0.0046508416884176,10269021.421375863,10269021.421375863,0.0,9.000000007045115
26,16594588,0.0,0.0,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675986683,0.0046508416884176,10269021.421375863,10269021.421375863,0.0,9.000000007045115
27,16595339,0.0,1550.8042043,0.0,341176.924946,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1675995719,0.0046654420795165,9961632.921033174,9961632.921033174,0.0,9.000000007285307
28,16596654,0.0,115348.49700313705,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1676011571,0.0046449112203051,10033144.011091484,10033144.011091484,0.0,9.00000000720155
29,16598134,0.0,628900.0467404478,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1676029415,0.0046298071307867,10629418.782965107,10629418.782965107,0.0,9.000000006775462
30,16601483,0.0,21803.07726551972,0.0,0.0,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,cbETH,Aave Ethereum cbETH,Aave v3,1676069807,0.0045577019207685,10485688.148057828,10485688.148057828,0.0,9.000000006761367
