,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,18663601,0.0,10.95761909,0.0,0.0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701095627,0.0,10.95761909,10.95761909,0.0,8.0
1,18705344,0.0,213948.74867894204,0.0,0.0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701600215,0.0,213959.70594933204,213959.70594933204,0.0,8.0
2,18707010,50131.44300609374,0.0,0.0,0.0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701620399,50131.44300609374,213870.42249589236,213870.42249589236,0.3090590629309949,11.809016409759368
3,18710246,149354.973,0.0,149354.973,0.0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701659591,50135.07270304869,213873.68919808272,213873.68919808272,0.3090933268992062,11.809227548042816
4,18711541,9956.9982,0.0,0.0,0.0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701675239,60092.43537073224,213874.01721724897,213874.01721724897,0.4440628693750547,12.56577317671584
5,18713441,44806.4919,0.0,0.0,0.0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701698231,104899.8110530246,213874.8126160709,213874.8126160709,1.3531647422998616,15.97016731750826
6,18713494,3982.79928,0.0,0.0,0.0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701698879,108882.676408049,213874.87208343856,213874.87208343856,1.4578692251467353,16.272778302793217
7,18716168,0.0,0.0,0.0,94466.44485,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701731159,108742.29276567098,119128.9024903274,119128.9024903274,41.17664080524717,190.20826186593223
8,18717981,0.0,69920.49454475705,0.0,0.0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701753131,108780.2738580526,189083.57380684288,189083.57380684288,1.8616320418714667,17.34843740769722
9,18723080,72707.19262,0.0,0.0,0.0,0xb82fa9f31612989525992fcfbb09ab22eff5c85a,crvUSD,Aave Ethereum crvUSD,Aave v3,1701814787,181671.75068908543,189396.63019539608,189396.63019539608,59.28405331313576,259.7778304687184
