,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,16620261,0.0,0.0,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676296403,0.0,0.0,0.0,,
1,16620393,0.0,32249.783479285805,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676297987,0.0,32249.783479285805,32249.783479285805,0.0,9.0
2,16621595,0.0,3914.02906675,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676312567,0.0,36150.11443886362,36150.11443886362,0.0,9.0
3,16622125,0.0,227.95473147933916,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676318963,0.0,36609.36935173936,36609.36935173936,0.0,9.0
4,16622626,0.0,608.9663778012134,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676324987,0.0,37223.24517171715,37223.24517171715,0.0,9.0
5,16623540,0.0,1763.5045538971365,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676336003,0.0,39500.45534194468,39500.45534194468,0.0,9.0
6,16624876,0.0,550.4545817551502,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676352131,0.0,39821.63228074908,39821.63228074908,0.0,9.0
7,16626541,0.0,14574.251382974511,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676372327,0.0,54626.075437818894,54626.075437818894,0.0,9.0
8,16628015,0.0,1443.7739178857637,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676390087,0.0,57374.528419576374,57374.528419576374,0.0,9.0
9,16628078,0.0,0.0,0.0,1447.21051620621,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676390843,0.0,56023.898361285006,56023.898361285006,0.0,9.0
10,16628594,0.0,3084.25395140347,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676397119,0.0,59012.95298677852,59012.95298677852,0.0,9.0
11,16629943,0.0,7649.49848336264,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676413427,0.0,67097.5416877696,67097.5416877696,0.0,9.0
12,16630571,0.0,17503.36621994879,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676420999,0.0,84604.5691034642,84604.5691034642,0.0,9.0
13,16632976,0.0,33797.51425300629,0.0,237.24624403706767,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676449979,0.0,117775.60151823625,117775.60151823625,0.0,9.0
14,16634990,997.683531636,0.0,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676474363,997.683531636,119424.16305015124,119424.16305015124,0.0009227958789762,9.12995294425224
15,16638911,0.0,10066.924447320453,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676521739,1074.9138878865485,138735.42353346638,138735.42353346638,0.0007937378114016,9.120523527709457
16,16640152,0.0,27805.43636912132,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676536763,1068.3779167363703,165697.20602296636,165697.20602296636,0.0005496976549087,9.100298685755805
17,16643913,0.0,103374.96869505077,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676582135,1066.660259408813,268805.5418503345,268805.5418503345,0.00020819976902,9.061726751504892
18,16644687,0.0,0.0,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676591459,1066.660259408813,268805.5418503345,268805.5418503345,0.00020819976902,9.061726751504892
19,16647337,0.0,1751.13484601,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676623547,1050.6859299288376,266530.8252175031,266530.8252175031,0.0002054733003513,9.06132124992776
20,16648466,0.0,738.7509709180703,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676637311,1058.374714286284,269219.94283580437,269219.94283580437,0.0002043473015232,9.061152998112954
21,16649706,0.0,39359.173406688,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676652479,1063.767125863752,309950.71059692715,309950.71059692715,0.0001557443528757,9.053387484032504
22,16651144,314951.90154992766,0.0,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676670035,316036.66440366145,316068.1595934528,316068.1595934528,260.87780124769137,315.9456467155097
23,16651527,0.0,75850.8293659459,310999.664325899,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676674703,1077.4363291854704,390342.4752644333,390342.4752644333,0.000100733897162,9.042935954131849
24,16651571,0.0,0.0,0.0,42314.90428989369,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676675243,1077.4363371068328,348027.57098127255,348027.57098127255,0.0001267177585243,9.048156181358772
25,16651962,0.0,4943.081383940434,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676680031,1077.2854162854894,352921.8773748708,352921.8773748708,0.0001231930668457,9.047481719025535
26,16653749,0.0,1.79882534035,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676701727,1079.523779085663,353656.85522431566,353656.85522431566,0.0001231918939121,9.047481492985881
27,16657779,0.0,1537.6058565164537,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676750807,1073.3110035208413,353158.86864524754,353158.86864524754,0.0001221217151161,9.047274805179283
28,16658488,1787.69121674,19625.53653977145,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676759375,2860.5340429052762,372630.3105689138,372630.3105689138,0.0007791499262013,9.119410857537332
29,16661185,0.0,29894.404421112326,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676792075,2872.6256302357788,404099.3773216708,404099.3773216708,0.000668138386391,9.110577435142579
30,16661479,0.0,164207.29745117167,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676795639,2870.306670273212,567980.4130965865,567980.4130965865,0.0003376605391512,9.078609214215833
31,16669041,127306.9378735,0.0,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676887415,130217.05339546136,575856.5342167148,575856.5342167148,0.6760791696324409,12.517483572965748
32,16670604,0.0,1687.2616117392342,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676906375,129697.00266460808,575234.1868259062,575234.1868259062,0.6721409376495502,12.507223754879227
33,16671221,0.0,1803.98778208,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676913863,129169.57316118835,574695.0544295234,574695.0544295234,0.6679365011113559,12.496237195921132
34,16674203,0.0,20208.987471501845,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676950031,129003.0785420884,594144.6648570108,594144.6648570108,0.6233109588528833,12.377424749685968
35,16675511,0.0,6314.2316830153595,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676966003,129456.13432742126,602537.2020515207,602537.2020515207,0.6103321338353307,12.3420767434453
36,16675834,0.0,7870.823907484973,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676969903,127382.50993299404,600754.6005699353,600754.6005699353,0.5944484314307446,12.29830180904798
37,16676428,0.0,8942.594384247981,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1676977091,127438.70793440312,609958.5289630105,609958.5289630105,0.5771529497755471,12.249965569824193
38,16686358,0.0,12756.33108573553,0.0,0.0,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,rETH,Aave Ethereum rETH,Aave v3,1677097811,122739.88728083628,600164.840683861,600164.840683861,0.5529885951719042,12.181203030631684
