,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20184634,0,1.08390261,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719510707,0,1.08390261,1.08390261,0,0
1,20186376,0,1854442.7381724908,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719531755,0,1854445.6855408987,1854445.6855408987,0,0
2,20187168,0,2336644.365455752,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719541331,0,4191139.010569965,4191139.010569965,0,0
3,20187596,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719546479,0,4191194.892234071,4191194.892234071,0,0
4,20188203,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719553811,0,4191274.380418332,4191274.380418332,0,0
5,20189007,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719563519,0,4191379.7196771246,4191379.7196771246,0,0
6,20189443,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719568751,0,4191436.452723925,4191436.452723925,0,0
7,20190309,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719579203,0,4191549.531825392,4191549.531825392,0,0
8,20190774,0,34157.85976405764,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719584783,0,4225767.939416004,4225767.939416004,0,0
9,20191658,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719595475,0,4225884.6710338285,4225884.6710338285,0,0
10,20191926,0,213.76631494196323,0,213.76646098367857,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719598715,0,4225920.0572562115,4225920.0572562115,0,0
11,20192154,0,21.2172441976023,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719601451,0,4225971.120652692,4225971.120652692,0,0
12,20193176,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719613763,0,4226267.984068293,4226267.984068293,0,0
13,20193514,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719617855,0,4226312.655984558,4226312.655984558,0,0
14,20200787,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719705659,0,4224982.564308304,4224982.564308304,0,0
15,20202828,0,0.0,0,357385.8123,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719730331,0,3867864.7054763464,3867864.7054763464,0,0
16,20203005,0,0.0,0,1979235.5434883717,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719732455,0,1888648.859787681,1888648.859787681,0,0
17,20206616,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719775991,0,1888860.3967579468,1888860.3967579468,0,0
18,20206904,0,0.0,0,1854695.4156241925,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719779447,0,34180.219744546455,34180.219744546455,0,0
19,20218323,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719917147,0,34192.49039412147,34192.49039412147,0,0
20,20223824,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1719983651,0,34189.63258621716,34189.63258621716,0,0
21,20234456,0,108361.992,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720111883,0,142557.85742233883,142557.85742233883,0,0
22,20237103,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720143875,0,142553.93439062833,142553.93439062833,0,0
23,20244941,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720238363,0,142676.5074246668,142676.5074246668,0,0
24,20247684,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720271543,0,142696.6672294731,142696.6672294731,0,0
25,20252848,0,194056.9174158197,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720333739,0,336799.60067586676,336799.60067586676,0,0
26,20256129,0,1001.114123616236,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720373351,0,337857.4820819161,337857.4820819161,0,0
27,20256695,0,291096.5546111052,0,291096.6136222914,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720380179,0,337867.29831000953,337867.29831000953,0,0
28,20257481,0,19965.85924563017,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720389659,0,357803.64660540276,357803.64660540276,0,0
29,20258334,0,310061.535560373,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720399943,0,667883.0896345659,667883.0896345659,0,0
30,20258862,0,0.0,0,310072.2072967846,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720406315,0,357829.025850239,357829.025850239,0,0
31,20260546,0,0.0,0,108531.53,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720426619,0,249328.45081327943,249328.45081327943,0,0
32,20262739,0,19526.62709325804,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720453151,0,268883.24268784083,268883.24268784083,0,0
33,20263131,0,76986.66861987654,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720457903,0,345875.3778039588,345875.3778039588,0,0
34,20263205,0,120625.23687417708,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720458815,0,466502.1684433735,466502.1684433735,0,0
35,20266464,0,60030.78085227168,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720498223,0,526640.8779601128,526640.8779601128,0,0
36,20266956,0,0.0,0,194185.25853716387,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720504163,0,332468.8131514852,332468.8131514852,0,0
37,20269659,0,0.0,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720536851,0,332515.0636144066,332515.0636144066,0,0
38,20275482,0,94535.139092124,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720607087,0,427115.159742412,427115.159742412,0,0
39,20275705,0,9.617788657194621,0,2.6563767670961007,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720609763,0,427126.97783883754,427126.97783883754,0,0
40,20280110,0,5.156652364759368,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720662863,0,427220.73995091586,427220.73995091586,0,0
41,20280341,0,189976.02894386408,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720665659,0,617201.7948210299,617201.7948210299,0,0
42,20281128,0,8829.826674662942,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720675187,0,626056.3313188392,626056.3313188392,0,0
43,20281716,0,17558.21975003139,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720682267,0,643633.2196767629,643633.2196767629,0,0
44,20282183,0,11217.378617937804,0,0.0,0x4579a27af00a62c0eb156349f31b345c08386419,sUSDe,Aave Ethereum sUSDe,Aave v3,1720687883,0,654865.8059346875,654865.8059346875,0,0
