,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,19653575,2507229.60400168,25125160.503243346,2507229.8623396656,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713095315,0.0,25103675.59580929,25103675.59580929,0.0,7
1,19656310,0.0,9980530.730223242,0.0,7702983.6392802,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713128339,0.0,27696511.924791127,27696511.924791127,0.0,7
2,19656475,2542272.095511367,37664238.0932546,2542272.3080185507,14590400.31104313,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713130343,0.0,50584121.30339258,50584121.30339258,0.0,7
3,19656775,2608841.0604157406,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713133991,2612667.894719008,52304145.997122176,52304145.997122176,0.0329913917486287,7
4,19660204,2638.302912770917,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713175547,2704598.470087632,54091196.88320461,54091196.88320461,0.0330564945711039,7
5,19664050,0.0,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713222119,2587202.1071241214,51742734.080054075,51742734.080054075,0.0330572160018861,7
6,19666620,0.0,572.7571362767442,2496.4777593919357,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713253295,2589412.1758456393,51837691.37651045,51837691.37651045,0.0329925077352196,7
7,19668319,0.0,575.8007206662,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713273839,2557371.3765235147,51196591.34585021,51196591.34585021,0.0329920827311964,7
8,19679230,0.0,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713405755,2489821.4011074076,49842741.93554157,49842741.93554157,0.0329941203708375,7
9,19692000,235342.4257486185,51085613.555789575,234970.19078653568,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713560183,2548003.5778379957,102010424.28687014,102010424.28687014,0.0082492614589309,7
10,19692150,2566399.5460150135,512.7963145344,2499882.0333552,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713561995,2628216.9365812084,102559199.84369394,102559199.84369394,0.0086831495157638,7
11,19692761,2214838.932565,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713569375,4809501.050143938,101249719.57381871,101249719.57381871,0.0298343440916911,7
12,19693093,249930.09667973,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713573407,5058852.741103775,101237451.18419382,101237451.18419382,0.033016099822776,7
13,19693682,791.931368325,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713580499,5066135.035852872,101367166.26814356,101367166.26814356,0.0330265340028528,7
14,19713772,1992.604469560896,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713823139,5305569.188966919,106112003.4917216,106112003.4917216,0.0330551120567719,7
15,19726543,0.0,0.0,1979.1749601731808,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713977567,5268032.907321348,105397013.52493292,105397013.52493292,0.0330326790551097,7
16,19727094,0.0,7902246.474537321,0.0,7902762.461784998,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1713984239,5243166.196742368,104898826.24749427,104898826.24749427,0.0330331074225312,7
17,19730029,32.4846883795,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714019699,5195862.887808631,103950919.66378,103950919.66378,0.0330340692058124,7
18,19732986,1624.379658265,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714055399,5197997.620025884,103960253.84773526,103960253.84773526,0.033055278057452,7
19,19733158,0.0,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714057487,5197997.620025884,103960253.84773526,103960253.84773526,0.033055278057452,7
20,19733797,5232203.755183357,52327143.16121498,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714065203,10518615.872828089,157785551.04656655,157785551.04656655,0.0587607282838783,7
21,19742984,7.212488050373402,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714176347,10392880.874056937,155893967.647637,155893967.647637,0.0587648187525264,7
22,19743843,0.0,0.0,0.0,16178.2925419,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714186667,10354108.165647076,155295698.7086695,155295698.7086695,0.0587774356513731,7
23,19743989,0.0,294840.1843326708,0.0,279005.8052881676,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714188455,10352732.84048773,155290819.35002887,155290819.35002887,0.0587655140564817,7
24,19750440,0.0,0.0,0.0020090289638355,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714266491,10800775.202979427,162007525.48893136,162007525.48893136,0.0587683290612536,7
25,19760232,0.0,0.0,1650.4684905658876,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714384799,10560901.113568882,158428447.084054,158428447.084054,0.0587542314068595,7
26,19762767,1973148.2663584244,2370409.1923615537,1972937.5317565517,2383374.8554375516,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714415471,10534743.260614203,158018415.35622987,158018415.35622987,0.0587673283696801,7
27,19762944,0.0,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714417595,10514969.954970375,157721716.98080438,157721716.98080438,0.0587674049913604,7
28,19766673,0.0,11970.834347943864,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714462559,10527452.494989064,157918719.9899698,157918719.9899698,0.0587601175788567,7
29,19767440,63.0226966088,0.0,0.0,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714471799,10083266.596893985,151254260.1047054,151254260.1047054,0.0587611853847259,7
30,19782169,0.0,0.0,772.0486143882731,0.0,0xbdfa7b7893081b35fb54027489e2bc7a38275129,weETH,Aave Ethereum weETH,Aave v3,1714649663,9878590.55259849,148187417.61617783,148187417.61617783,0.0587584163077901,7
