,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,15331596,0,0.0,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1660369110,0,0.0,0.0,,
1,15412419,0,1073400.0,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661476363,0,0.0,0.0,,
2,15413588,0,1217042.880937507,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661492711,0,1073400.0,1073400.0,,
3,15413965,0,4.5282052962,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661497500,0,2214139.2237375067,2214139.2237375067,,
4,15414275,0,1049.58,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661501956,0,2234509.8678236366,2234509.8678236366,,
5,15422266,0,4.648308407,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661612621,0,2220752.89068672,2220752.89068672,,
6,15422802,0,1394283.1905,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661619873,0,2065379.664644668,2065379.664644668,,
7,15426627,0,410.50324436303214,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661673644,0,3459352.814593747,3459352.814593747,,
8,15430961,0,142.19698338138,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661732895,0,3435490.266407471,3435490.266407471,,
9,15438070,0,0.0,0,161.66807013303833,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661830951,0,3259304.285514064,3259304.285514064,,
10,15438703,0,47.09151667804192,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661839356,0,3705440.3868072014,3705440.3868072014,,
11,15439048,0,0.0,0,46.63034272,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661844119,0,3733389.321332389,3733389.321332389,,
12,15451573,0,4.9681332352741245,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662017240,0,3696781.0754018417,3696781.0754018417,,
13,15457633,0,266.60029814643246,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662100758,0,3423584.542392815,3423584.542392815,,
14,15466221,0,0.0,0,417.2552297454968,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662219723,0,3500526.3346601846,3500526.3346601846,,
15,15468752,0,472.0099437310428,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662254622,0,3491851.2283689985,3491851.2283689985,,
16,15474082,0,14.53963113,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662328506,0,3572502.2205173555,3572502.2205173555,,
17,15480302,0,55.42827835397653,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662415327,0,3608195.827917028,3608195.827917028,,
18,15489264,0,435.99154751695926,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662539317,0,3593124.9817708447,3593124.9817708447,,
19,15494045,0,44574.024531529314,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662605123,0,3619022.715354863,3619022.715354863,,
20,15499596,0,212.80601161682773,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662681756,0,3681532.454839821,3681532.454839821,,
21,15502536,0,101.08,0,101.08,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662723401,0,3809636.9724072143,3809636.9724072143,,
22,15502851,0,1871.9673533011703,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662727923,0,3809535.8924072143,3809535.8924072143,,
