,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20243751,0,0.0,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720224047,0,0.0,0.0,,
1,20277971,0,3361.281480203324,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720637063,0,0.0,0.0,,
2,20278345,0,58507.49763353658,0,58507.49763271144,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720641563,0,61856.37650511236,61856.37650511236,,
3,20278359,0,58507.49763271144,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720641743,0,3348.8788724009164,3348.8788724009164,,
4,20281060,0,2167.471677766728,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720674371,0,61856.37650511236,61856.37650511236,,
5,20292929,0,1256.626777,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720817483,0,63368.52670864559,63368.52670864559,,
6,20297727,0,65144.2006,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720875395,0,64228.606691533125,64228.606691533125,,
7,20304865,0,6984.3589923209165,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1720961579,0,131737.10336402786,131737.10336402786,,
8,20309478,0,0.0,0,63136.454935250025,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721017139,0,139560.7869402329,139560.7869402329,,
9,20317585,0,0.0,0,70393.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721114987,0,83663.61380292989,83663.61380292989,,
10,20342677,0,42394.40412,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721417411,0,15009.243976025551,15009.243976025551,,
11,20361162,0,6551.96462330592,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721640335,0,57460.01089565721,57460.01089565721,,
12,20379216,0,198.6323984,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721858099,0,64306.89797147029,64306.89797147029,,
13,20379554,0,13348.53,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721862179,0,60961.081202967995,60961.081202967995,,
14,20380071,0,0.0,0,53508.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721868443,0,73979.9489014986,73979.9489014986,,
15,20382791,0,3380.52,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840514910771af9ca656af840dff83e8264ecf986ca,LINK,Compound V3 USDT - ChainLink Token,Compound III,1721901179,0,22131.73745025745,22131.73745025745,,
