,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20243802,100985.08735,300930.43383103533,0.0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720224659,100985.08735,368520.4526920352,368520.4526920352,1.6167678370848,3.1715735237712
1,20275211,1000.0086,0.0,0.0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720603811,100985.10197484032,469505.56724701775,469505.56724701775,1.2690203114736,2.8120379454288
2,20275936,0.0,0.0,0.0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720612535,102035.04261682004,469650.5892613326,469650.5892613326,1.2818183645232,2.8252698329232
3,20277745,54995.6,0.0,0.0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720634351,127026.73768594896,468614.7666292952,468614.7666292952,1.5993046004832,3.1535183122992
4,20278028,44796.416,105775.06682563935,0.0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720637747,201821.4892490992,541394.3847790164,541394.3847790164,2.1994073450784,3.7739635239888
5,20278325,39996.8,558791.8873914544,0.0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720641323,241818.82089456415,833207.8098152581,833207.8098152581,1.7123351748192,3.2703804349488
6,20278632,876529.872,547873.6450257261,0.0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720645031,1118353.3961332748,1551073.1227665164,1551073.1227665164,4.2540128761824,5.8982166989856
7,20278830,213976.2985055617,399967.9999990001,0.0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720647407,1318113.9989034832,2081035.1170539453,2081035.1170539453,3.737021313816,5.3637000011568
8,20279130,62260.42239870952,2.99975900008,0.0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720651055,1334438.3136018233,2081043.6065527312,2081043.6065527312,3.7832873946768,5.4115344240624
9,20279485,166844.4087944068,2499.27311115448,0.0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840dac17f958d2ee523a2206206994597c13d831ec7,USDT,Compound V3 USDT - Tether USD,Compound III,1720655339,1475373.2117339172,2083558.450511118,2083558.450511118,4.1778054951552,5.819426018136
