,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20243751,0,0.0,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1720224047,0,0.0,0.0,,
1,20290741,0,685043.0991105653,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1720791155,0,0.0,0.0,,
2,20292502,0,3649.5538918779207,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1720812323,0,685043.0991105653,685043.0991105653,,
3,20312140,0,58051.323040383606,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1721049263,0,711053.4143759519,711053.4143759519,,
4,20313157,0,0.0,0,57709.498352502545,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1721061539,0,790431.7638844822,790431.7638844822,,
5,20345990,0,843.9216442885739,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1721457347,0,728076.0805649511,728076.0805649511,,
6,20396960,0,7569.693914022308,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1722072203,0,696170.6477730601,696170.6477730601,,
7,20408322,0,150097.1661881,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1722209087,0,679742.8549117624,679742.8549117624,,
8,20411121,0,1308.18675788,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1722242867,0,809954.1866795962,809954.1866795962,,
9,20443463,0,0.0,0,6563.962951081067,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1722633167,0,848063.6347598181,848063.6347598181,,
10,20445396,0,2005.1154396247357,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1722656531,0,718061.361394216,718061.361394216,,
11,20446274,0,22574.689047784348,0,22574.68904732837,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1722667139,0,742699.0395720557,742699.0395720557,,
12,20459061,0,0.0,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1722821087,0,582800.4172927336,582800.4172927336,,
13,20461707,0,0.0,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1722852971,0,478608.76186894014,478608.76186894014,,
14,20471088,0,9540.110720884071,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1722966083,0,516733.9523570248,516733.9523570248,,
15,20474545,0,138795.56065759592,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1723007807,0,518738.0180931896,518738.0180931896,,
16,20481594,0,824974.5788187971,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1723092731,0,666674.6536932732,666674.6536932732,,
17,20489860,0,674.02592944493,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1723192247,0,1486684.0614130537,1486684.0614130537,,
18,20492665,0,18.3392286,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1723226075,0,1559711.117714116,1559711.117714116,,
19,20499856,0,9320.91,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1723312715,0,1537619.3172310384,1537619.3172310384,,
20,20507129,0,5652.426053959077,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1723400543,0,1572310.4536465586,1572310.4536465586,,
21,20508522,0,594.1870473205323,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1723417307,0,1557932.6960106664,1557932.6960106664,,
22,20519396,0,0.0,0,4520.08444446,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1723548407,0,1509537.9311472988,1509537.9311472988,,
23,20526774,0,11095.857114560376,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1723637339,0,1551484.8458596712,1551484.8458596712,,
24,20572244,0,617.7293635812,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1724186015,0,1639160.8304683084,1639160.8304683084,,
25,20572437,0,1666.7355439417051,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1724188355,0,1587952.0143253747,1587952.0143253747,,
26,20583188,0,997.1104369859456,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1724318159,0,1590154.1071884905,1590154.1071884905,,
27,20604176,0,0.0,0,270.2924,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1724571635,0,1771000.5164518747,1771000.5164518747,,
28,20606759,0,7300.522412480457,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1724602835,0,1726561.5230838251,1726561.5230838251,,
29,20609791,0,0.0,0,0.0,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1724639375,0,1730899.6348691792,1730899.6348691792,,
30,20611621,0,0.0,0,1991.9144,0x3afdc9bca9213a35503b077a6072f3d0d5ab08401f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDT - Uniswap,Compound III,1724661503,0,1692291.3591237657,1692291.3591237657,,
