,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20311923,0,0.0,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,,Compound III,1721046635,0,0.0,0.0,,
1,20312488,0,3411.100002396096,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,,Compound III,1721053439,0,0.0,0.0,,
2,20321486,0,3206.370772688552,0,3214.4165116815,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,,Compound III,1721161979,0,6734.614173843151,6734.614173843151,,
3,20321679,0,131587.54859264987,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,,Compound III,1721164307,0,101564.68391975138,101564.68391975138,,
4,20323641,0,1073190.569244145,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,,Compound III,1721187899,0,1114200.8758496928,1114200.8758496928,,
5,20324037,0,252638.8213494151,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,,Compound III,1721192663,0,1209471.9397925106,1209471.9397925106,,
6,20326287,0,2080547.1025118504,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,,Compound III,1721219771,0,1463260.6939983561,1463260.6939983561,,
7,20326637,0,440935.92892606906,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,,Compound III,1721223983,0,3919513.516695624,3919513.516695624,,
8,20333546,0,481518.8172129869,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,,Compound III,1721307395,0,4339018.226475437,4339018.226475437,,
9,20333613,0,147857.47160374385,0,0.0,0xa17581a9e3356d9a858b789d68b4d866e593ae94bf5495efe5db9ce00f80364c8b423567e58d2110,ezETH,,Compound III,1721308199,0,4532068.737664596,4532068.737664596,,
