,blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
0,20411383,0,0.0,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc37f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,,Compound III,1722246047,0,0.0,0.0,,
1,20419198,0,11785.41160456406,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc37f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,,Compound III,1722340391,0,8631.911094860723,8631.911094860723,,
2,20419237,0,6287.437229899085,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc37f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,,Compound III,1722340871,0,11785.41160456406,11785.41160456406,,
3,20428423,0,83884.04667335968,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc37f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,,Compound III,1722451715,0,18064.74907023916,18064.74907023916,,
4,20431610,0,6279.868989724792,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc37f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,,Compound III,1722490139,0,101840.7907331157,101840.7907331157,,
5,20441946,0,4610.205033191357,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc37f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,,Compound III,1722614819,0,103325.62766820187,103325.62766820187,,
6,20446650,0,532.6963424807534,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc37f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,,Compound III,1722671663,0,102634.77598422284,102634.77598422284,,
7,20450187,0,2010.8713548228257,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc37f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,,Compound III,1722714275,0,102634.77598422284,102634.77598422284,,
8,20451920,0,43427.69141389498,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc37f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,,Compound III,1722735155,0,101694.55489938529,101694.55489938529,,
9,20452701,0,8550.998177275,0,0.0,0xc3d688b66703497daa19211eedff47f25384cdc37f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,,Compound III,1722744551,0,145123.83510983983,145123.83510983983,,
