blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
15331596,0,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1660369110,0,0,0,null,null
15412419,0,1073400,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661476363,0,0,0,null,null
15413588,0,1217042.88093750677634854084839842,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661492711,0,1073400,1073400,null,null
15413965,0,4.5282052962,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661497500,0,2214139.22373750677634854084839842,2214139.22373750677634854084839842,null,null
15414275,0,1049.58,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661501956,0,2234509.86782363631480303032711554,2234509.86782363631480303032711554,null,null
15422266,0,4.648308407,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661612621,0,2220752.89068672028890927894,2220752.89068672028890927894,null,null
15422802,0,1394283.1905,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661619873,0,2065379.66464466828895447582175071,2065379.66464466828895447582175071,null,null
15426627,0,410.5032443630322371882,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661673644,0,3459352.81459374697839236441611155,3459352.81459374697839236441611155,null,null
15430961,0,142.1969833813799971186181868,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661732895,0,3435490.26640747110212840915,3435490.26640747110212840915,null,null
15438070,0,0,0,161.668070133038313417187008,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661830951,0,3259304.28551406391498997070293242,3259304.28551406391498997070293242,null,null
15438703,0,47.09151667804192,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661839356,0,3705440.3868072022637964009047072,3705440.3868072022637964009047072,null,null
15439048,0,0,0,46.63034272,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1661844119,0,3733389.32133238877501480661813846,3733389.32133238877501480661813846,null,null
15451573,0,4.96813323527412461955,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662017240,0,3696781.07540184214369873886,3696781.07540184214369873886,null,null
15457633,0,266.6002981464324688867,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662100758,0,3423584.54239281481880252934,3423584.54239281481880252934,null,null
15466221,0,0,0,417.2552297454967509823847778,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662219723,0,3500526.33466018497954640202,3500526.33466018497954640202,null,null
15468752,0,472.0099437310428,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662254622,0,3491851.22836899839586993041438805,3491851.22836899839586993041438805,null,null
15474082,0,14.53963113,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662328506,0,3572502.22051735542001537076573652,3572502.22051735542001537076573652,null,null
15480302,0,55.4282783539765277981211969,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662415327,0,3608195.8279170279875149067542893,3608195.8279170279875149067542893,null,null
15489264,0,435.99154751695929866104846815,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662539317,0,3593124.98177084487436973627389095,3593124.98177084487436973627389095,null,null
15494045,0,44574.02453152931177723458490112,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662605123,0,3619022.71535486339241790383726156,3619022.71535486339241790383726156,null,null
15499596,0,212.8060116168277368,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3c00e94cb662c3520282e6f5717214004a7f26888,COMP,Compound V3 USDC - Compound,Compound III,1662681756,0,3681532.45483982063088640774099176,3681532.45483982063088640774099176,null,null
