blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
15331596,0,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1660369110,0,0,0,null,null
15412562,27130.55315243,10960.36284285081139,210.99653682980236,31.74229919572166,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661478646,26919.76602615114906,10469.95810894980856,10469.95810894980856,73.445744919816,48.5785905656112
15412869,1199.980236,12132.79247761668724,0,99.99901098916274,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661482792,28121.37495632611419,22961.55682893035236,22961.55682893035236,19.5886206985536,14.9178879332352
15413113,27999.53884,319648.92418050906405,0,282909.72209213353276,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661485843,56121.27988929646366,69702.00712403492655,69702.00712403492655,2.806406788968,4.4290042385616
15413396,399.993412,29104.54063532068235,999.98353,699.87219591508219,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661489847,55521.70662143082887,82552.35143437828182,82552.35143437828182,2.1858316962624,3.8539725918912
15413612,1539974.6362,2045591.63771682863598,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661493070,1595496.92642681868982,2090374.93943070124969,2090374.93943070124969,2.4805908767952,4.17140555724
15413729,100.99833653,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661494481,1595501.54608773162143,2133702.4045525974513,2133702.4045525974513,2.4302264499072,4.1171669422128
15414344,299.995059,49999.17649900001647,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661502982,1595917.81355169357103,2133715.25041602259605,2133715.25041602259605,2.4308458610976,4.1178340042992
15414662,302.99250681,1021.26012056878173,201.99690105624484,21.27660156860056,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661507308,1595927.67925120282389,2184722.29533915626724,2184722.29533915626724,2.3741072107488,4.056730837776
15414907,0,32202.67158400004125,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661510846,1595989.65699986057875,2184668.58135451564625,2184668.58135451564625,2.3742577825344,4.0568929927344
15415112,0,0,101.00743227154125,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661513692,1595996.920983208905,2216877.0721584629625,2216877.0721584629625,2.3397733935936,4.0197559594608
15415231,0,0,0,999.96645268225125,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661515333,1595901.703303100235,2216881.75321236152375,2216881.75321236152375,2.339628860952,4.0196003103792
15415703,5899.756625,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661521445,1601314.919158734885,2215892.65001455152375,2215892.65001455152375,2.3486126379552,4.0292751452112
15416025,0,0.99995775004125,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661525840,1601817.24729584445125,2215894.5445174000575,2215894.5445174000575,2.3493473826048,4.03006640868
15416266,418.866221055625,99.99587400004125,149.99386949764875,99.99588799946375,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661529246,1602201.183918805435,2215907.69605387679875,2215907.69605387679875,2.3498965473552,4.0306578159024
15416646,0,0,199.99175,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661534508,1602102.08901563881375,2215908.42257190669375,2215908.42257190669375,2.3497504379136,4.0305004670304
15416929,249.9896875,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661538684,1601912.8716741761275,2215917.11053151357625,2215917.11053151357625,2.3494637062944,4.0301916822864
15417146,0,0,245.01687563695125,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661541642,1602171.41042401275875,2215924.004608121185,2215924.004608121185,2.3498355851136,4.0305921642576
15418111,0,26409.3563591111625,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661554465,1601958.06945669068875,2218659.43633890759,2218659.43633890759,2.346625910952,4.027135594752
15418707,1999.9175,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661563260,1601958.70157661466625,2242359.41462647457,2242359.41462647457,2.32182483372,4.0004267408928
15419043,0,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661567851,1603976.49164134095875,2242373.934535503615,2242373.934535503615,2.324734297776,4.0035600096336
15419556,0,80.7014089295575,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661575101,1603976.49164134095875,2242373.934535503615,2242373.934535503615,2.324734297776,4.0035600096336
15420016,8699.641125,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661581628,1603900.59656614195625,2242480.3360122616425,2242480.3360122616425,2.3245139998944,4.0033227643056
15420482,0,1679.52086990618875,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661588493,1612613.5270819319725,2242491.12468021073125,2242491.12468021073125,2.3371303015152,4.0169095516368
15420928,0,117014.86671548170092,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661594445,1612627.62828923317625,2244182.05455047624125,2244182.05455047624125,2.3353897571424,4.015035121176
15421952,3000.27597,0,3000.27783317137737,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661608721,1615882.40548188240268,2361528.73438748019859,2361528.73438748019859,2.2238212611456,3.8948844339072
15422104,0,0,1952.19048948489876,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661610697,1612883.13149004589582,2361529.57202252715901,2361529.57202252715901,2.2170084633792,3.8875475740464
15422669,4000.36796,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661617718,1610934.87271420606754,2361532.85650163860124,2361532.85650163860124,2.2170084633792,3.8875475740464
15423026,1500137.985,2000283.98919699981602,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661622919,3115091.43809941296004,4361732.07921368670814,4361732.07921368670814,2.3211070680528,3.9996537651504
15423235,0,500045.99499899990801,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661625773,3115103.47227933534531,4361841.86702913889497,4361841.86702913889497,2.3210576132976,3.999600504
15424053,1200110.388,4693.43170806990801,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661637083,4315260.51093333427768,4861927.74402854656366,4861927.74402854656366,6.1024651753968,6.4890407324448
15424153,0,26207.76383344114397,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661638818,4315281.03212990551259,4872848.83596838658165,4872848.83596838658165,6.0230650455792,6.4394156481552
15424409,0,250.02299649990801,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661642451,4315291.27988350965648,4892861.49941396215515,4892861.49941396215515,5.878262260296,6.3489139097184
15425334,0,10000.91989899990801,400.036796,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661655032,4315028.17766896314862,4893255.26637925347969,4893255.26637925347969,5.8732726375296,6.3457953935184
15425528,0,517.24966942044308,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661657569,4315032.08495836163932,4903260.28722346463802,4903260.28722346463802,5.8013299864656,6.3008312385744
15425821,0,10676.58745594138993,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661662255,4315053.95732321541179,4903800.42060076374107,4903800.42060076374107,5.7976311164112,6.2985194447904
15426364,0,148013.34173190853163,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661669919,4315094.34235089239466,4914519.25341949860023,4914519.25341949860023,5.7211918764048,6.2507449182096
15426605,0,199803.91745674962815,3204.19064538558881,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661673373,4312464.02850257757774,5262427.20121283415338,5262427.20121283415338,3.379277418624,4.7870483817024
15427089,2000.18398,1101.10127898981602,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661679997,4312015.37056733038041,5263559.08737246465691,5263559.08737246465691,3.3688189583424,4.7805118456032
15427647,0,30000.72509899997583,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661687712,4314023.97361472915348,5263566.32950460711425,5263566.32950460711425,3.3840380679552,4.790023790688
15427734,0,39583.33355104834365,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661688904,4313781.97329629193402,5293253.68514438463015,5293253.68514438463015,3.1983391645056,4.6739619728784
15428129,0,100.00241599997583,101.02908681400965,10676.28667061201127,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661693888,4313706.2588903189721,5332957.71816666868398,5332957.71816666868398,2.9550756355632,4.521922268472
15429230,0,95.00229514997583,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661708840,4313719.3966578511386,5322292.04563159412814,5322292.04563159412814,3.0200127250608,4.562507949408
15430031,0,1396254.09307377316476,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661720290,4313883.45131895646092,6218762.80577617121304,6218762.80577617121304,2.2544872081344,3.9279092989248
15430089,0,800019.33599899997583,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661721079,4313883.76295748858219,6718775.14862840335086,6718775.14862840335086,2.0867080532688,3.7472240549808
15430950,0,403.74981139708101,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661732722,4313887.80730523810469,7518797.99232618235707,7518797.99232618235707,1.8646777541232,3.5081145015696
15431283,0,0,0,2000568.28081966587501,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661737406,4313958.91625389985379,5518949.37275730850575,5518949.37275730850575,2.540522137176,4.235946914088
15432798,100.002417,0,100.002417,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661758128,4314183.96509119878345,5518795.27988097370191,5518795.27988097370191,2.5406084417472,4.2360398569872
15433099,0,4915.87516583102784,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661762037,4314087.73520637868242,5518798.17426592929546,5518798.17426592929546,2.5405504375824,4.235977393632
15433952,99.999196,299997.58799900000804,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661774308,4314035.73927778779184,5823600.46823678549756,5823600.46823678549756,2.4075511734384,4.0927474158912
15434706,0,57020.25591945649736,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661784435,4314142.27223125595944,5823605.65661107063292,5823605.65661107063292,2.4076084806576,4.0928091318432
15435778,7999.93568,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc3a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Compound V3 USDC - USD Coin,Compound III,1661799207,4314198.97315737684816,5880670.9373555246268,5880670.9373555246268,2.3842766908944,4.0676825873232
