blockNumber,hourlyBorrowUSD,hourlyDepositUSD,hourlyRepayUSD,hourlyWithdrawUSD,id,inputToken,name,protocol,timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD,lenderRate,borrowRate
15331596,0,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1660369110,0,0,0,null,null
15412370,0,0,0,0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661475734,0,0,0,null,null
15412970,0,4989.228653124926688256347,0,0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661483988,0,0,0,null,null
15418707,0,3621.63374319067946880688548882,0,0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661563260,0,4989.228653124926688256347,4989.228653124926688256347,null,null
15419026,0,4962.01487526061573821396164829,0,0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661567624,0,8035.83604616512838919505841268,8035.83604616512838919505841268,null,null
15422266,0,6.07326083,0,0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661612621,0,12899.83427604829848728166995403,12899.83427604829848728166995403,null,null
15426481,0,0,0,4900.49012284158880236882230514,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1661671467,0,12817.72777575760947009377439413,12817.72777575760947009377439413,null,null
15451573,0,4.8890597035826712936443904,0,0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1662017240,0,7845.43645045484988401949648684,7845.43645045484988401949648684,null,null
15475141,0,838.24673043,0,0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1662343049,0,7820.03413236364264570689456768,7820.03413236364264570689456768,null,null
15475666,0,0,0,831.663,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1662350576,0,9284.97589722808187001981936626,9284.97589722808187001981936626,null,null
15477005,0,4495.43250933592524695497181772,0,0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1662369775,0,8380.387139050607083757466,8380.387139050607083757466,null,null
15513631,0,12602.26450621261686088788037875,0,0,0xc3d688b66703497daa19211eedff47f25384cdc31f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Compound V3 USDC - Uniswap,Compound III,1662882223,0,12700.28988547639234061180225208,12700.28988547639234061180225208,null,null
